case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla2_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla2+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla2.v,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla2_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.209,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla2; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla2_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla2+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla2.v,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla2_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.216,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla2_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla2+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla2.v,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla2_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.282,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla2; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.216,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d13.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.267,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla2_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla2+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla2.v,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla2_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla2; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla2_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla2+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla2.v,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla2_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.237,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla2_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla2+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla2.v,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla2_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.268,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla2; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla6_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla6+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla6.v,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla6_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.196,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla6_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla6.v,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla6_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla6; flow=wreduce_abc_g_aig
