case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla2_abc_g_aig,1,88,14,1232,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla2_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla2; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla2_wreduce_abc_g_aig,1,88,14,1232,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla2_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla2_synth_preset_d13,1,88,14,1232,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla2_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla2; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,1,88,14,1232,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_wreduce_abc_g_aig,1,88,14,1232,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d13,1,87,16,1392,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla2_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla2_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla2; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla2_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla2_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla2_synth_preset_d13,1,93,14,1302,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla2_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla2; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla6_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla6_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla6_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla6_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla6_synth_preset_d13,1,88,16,1408,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla6_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla6; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla2_abc_g_aig,1,88,14,1232,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla2_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla2; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla2_wreduce_abc_g_aig,1,88,14,1232,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla2_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla2_synth_preset_d13,1,88,14,1232,student/work/ex260_ex264_frontend_smul_order_start_refine_20260609_0604/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla2_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla2; flow=synth_preset_d13
