case,candidate_id,hypothesis,function_guess,variant,classification,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,verilog_path,aig_path,source_csv,notes
ex280,ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,synthflow_exact,152,31,4712,2415,1.951139,0,0,student/seeds/unknown/ex280_ex299_current/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/seeds/unknown/ex280_ex299_current/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,synthflow_exact,161,34,5474,2336,2.343322,0,0,student/seeds/unknown/ex280_ex299_current/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/seeds/unknown/ex280_ex299_current/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex282,ex282_prefix_parity_full_clamp_simplified_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,synthflow_exact,176,36,6336,2704,2.343195,0,0,student/seeds/unknown/ex280_ex299_current/ex282/verilog/ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/seeds/unknown/ex280_ex299_current/ex282/aigs/ex282_prefix_parity_full_clamp_simplified_basic_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex283,ex283_prefix_parity_reduce_full_clamp_simplified_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,synthflow_exact,181,36,6516,3168,2.056818,0,0,student/seeds/unknown/ex280_ex299_current/ex283/verilog/ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/seeds/unknown/ex280_ex299_current/ex283/aigs/ex283_prefix_parity_reduce_full_clamp_simplified_basic_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex284,ex284_prefix_parity_full_clamp_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,synthflow_exact,200,39,7800,4240,1.839623,0,0,student/seeds/unknown/ex280_ex299_current/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/seeds/unknown/ex280_ex299_current/ex284/aigs/ex284_prefix_parity_full_clamp_basic_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex285,ex285_decision_tree_greedy_synth_preset,unknown_12x12,unknown_12x12,synth_preset,synthflow_exact,775,17,13175,5499,2.395890,0,0,student/seeds/unknown/ex280_ex299_current/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/seeds/unknown/ex280_ex299_current/ex285/aigs/ex285_decision_tree_greedy_synth_preset.aig,student/results/current_best_by_case.csv,Yosys synth preset with flatten
ex286,ex286_interleave_f00_k4_abc_g_aig,unknown_symmetry_cofactor_classonehot,unknown_symmetry_cofactor_classonehot,abc_g_aig,synthflow_exact,1447,15,21705,2376,9.135101,0,0,student/seeds/unknown/ex280_ex299_current/ex286/verilog/ex286_unknown_symcof_interleave_f00_k4.v,student/seeds/unknown/ex280_ex299_current/ex286/aigs/ex286_interleave_f00_k4_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex287,ex287_interleave_f00_k5_abc_g_aig,unknown_symmetry_cofactor_classonehot,unknown_symmetry_cofactor_classonehot,abc_g_aig,synthflow_exact,1832,15,27480,5782,4.752681,0,0,student/seeds/unknown/ex280_ex299_current/ex287/verilog/ex287_unknown_symcof_interleave_f00_k5.v,student/seeds/unknown/ex280_ex299_current/ex287/aigs/ex287_interleave_f00_k5_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex288,ex288_unknown_symcof_keybdd_selected_interleave_f10_k6_keybdd_7_abc_g_aig,unknown_symcof_keybdd_selected,unknown_symcof_keybdd_selected,abc_g_aig,synthflow_exact,2257,14,31598,16394,1.927412,0,0,student/seeds/unknown/ex280_ex299_current/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6_onehot_group_keybdd_7.v,student/seeds/unknown/ex280_ex299_current/ex288/aigs/ex288_unknown_symcof_keybdd_selected_interleave_f10_k6_keybdd_7_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex289,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig,unknown_duality_symcof,unknown_duality_symcof,abc_g_aig,synthflow_exact,1047,19,19893,13620,1.460573,1,0,student/seeds/unknown/ex280_ex299_current/ex289/verilog/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor.v,student/seeds/unknown/ex280_ex299_current/ex289/aigs/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex290,ex290_rotate_high_split_default_abc_g_aig,unknown_12x12,unknown_12x12,abc_g_aig,synthflow_exact,4428,14,61992,42328,1.464562,1,0,student/seeds/unknown/ex280_ex299_current/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/seeds/unknown/ex280_ex299_current/ex290/aigs/ex290_rotate_high_split_default_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex291,ex291_rotate_high_split_default_synth_preset,unknown_13x13,unknown_13x13,synth_preset,synthflow_exact,6503,15,97545,66850,1.459162,1,0,student/seeds/unknown/ex280_ex299_current/ex291/verilog/ex291_unknown_13x13_rotate_high_split_default.v,student/seeds/unknown/ex280_ex299_current/ex291/aigs/ex291_rotate_high_split_default_synth_preset.aig,student/results/current_best_by_case.csv,Yosys synth preset with flatten
ex292,ex292_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig,unknown_shared_bdd_14x14,unknown_shared_bdd_14x14,abc_g_aig,synthflow_exact,6770,21,142170,84854,1.675466,0,0,student/seeds/unknown/ex280_ex299_current/ex292/verilog/ex292_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/seeds/unknown/ex280_ex299_current/ex292/aigs/ex292_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex293,ex293_rotate_low_split_default_synth_preset,unknown_15x15,unknown_15x15,synth_preset,synthflow_exact,8054,18,144972,112966,1.283324,1,0,student/seeds/unknown/ex280_ex299_current/ex293/verilog/ex293_unknown_15x15_rotate_low_split_default.v,student/seeds/unknown/ex280_ex299_current/ex293/aigs/ex293_rotate_low_split_default_synth_preset.aig,student/results/current_best_by_case.csv,Yosys synth preset with flatten
ex294,ex294_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8_synth_preset,unknown_shared_bdd_16x16,unknown_shared_bdd_16x16,synth_preset,synthflow_exact,10726,23,246698,133365,1.849796,0,0,student/seeds/unknown/ex280_ex299_current/ex294/verilog/ex294_unknown_shared_bdd_16x16_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8.v,student/seeds/unknown/ex280_ex299_current/ex294/aigs/ex294_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8_synth_preset.aig,student/results/current_best_by_case.csv,Yosys synth preset with flatten
ex295,ex295_low_split_default_abc_g_aig,unknown_12x12,unknown_12x12,abc_g_aig,synthflow_exact,8653,16,138448,68064,2.034086,0,0,student/seeds/unknown/ex280_ex299_current/ex295/verilog/ex295_unknown_12x12_low_split_default.v,student/seeds/unknown/ex280_ex299_current/ex295/aigs/ex295_low_split_default_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
ex296,ex296_high_split_default_abc_g_aig,unknown_13x13,unknown_13x13,abc_g_aig,synthflow_exact,8987,16,143792,104025,1.382283,1,0,student/seeds/unknown/ex280_ex299_current/ex296/verilog/ex296_unknown_13x13_high_split_default.v,student/seeds/unknown/ex280_ex299_current/ex296/aigs/ex296_high_split_default_abc_g_aig.aig,student/results/current_best_by_case.csv,Yosys abc gate set aig
