case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex280,1,ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig,152,31,4712,2415,1.951139,ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig
ex281,1,ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig,161,34,5474,2336,2.343322,ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig
ex282,1,ex282_prefix_parity_full_clamp_simplified_basic_abc_g_aig,176,36,6336,2704,2.343195,ex282_prefix_parity_full_clamp_simplified_basic_abc_g_aig
ex283,1,ex283_prefix_parity_reduce_full_clamp_simplified_basic_abc_g_aig,181,36,6516,3168,2.056818,ex283_prefix_parity_reduce_full_clamp_simplified_basic_abc_g_aig
ex284,1,ex284_prefix_parity_full_clamp_basic_abc_g_aig,200,39,7800,4240,1.839623,ex284_prefix_parity_full_clamp_basic_abc_g_aig
ex285,1,ex285_decision_tree_greedy_synth_preset,775,17,13175,5499,2.395890,ex285_decision_tree_greedy_synth_preset
ex286,1,ex286_interleave_f00_k4_abc_g_aig,1447,15,21705,2376,9.135101,ex286_interleave_f00_k4_abc_g_aig
ex287,1,ex287_interleave_f00_k5_abc_g_aig,1832,15,27480,5782,4.752681,ex287_interleave_f00_k5_abc_g_aig
ex288,1,ex288_unknown_symcof_keybdd_selected_interleave_f10_k6_keybdd_7_abc_g_aig,2257,14,31598,16394,1.927412,ex288_unknown_symcof_keybdd_selected_interleave_f10_k6_keybdd_7_abc_g_aig
ex289,1,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig,1047,19,19893,13620,1.460573,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig
ex290,1,ex290_rotate_high_split_default_abc_g_aig,4428,14,61992,42328,1.464562,ex290_rotate_high_split_default_abc_g_aig
ex291,1,ex291_rotate_high_split_default_synth_preset,6503,15,97545,66850,1.459162,ex291_rotate_high_split_default_synth_preset
ex292,1,ex292_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig,6770,21,142170,84854,1.675466,ex292_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig
ex293,1,ex293_rotate_low_split_default_synth_preset,8054,18,144972,112966,1.283324,ex293_rotate_low_split_default_synth_preset
ex294,1,ex294_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8_synth_preset,10726,23,246698,133365,1.849796,ex294_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8_synth_preset
ex295,1,ex295_low_split_default_abc_g_aig,8653,16,138448,68064,2.034086,ex295_low_split_default_abc_g_aig
ex296,1,ex296_high_split_default_abc_g_aig,8987,16,143792,104025,1.382283,ex296_high_split_default_abc_g_aig
ex297,1,ex297_low_split_default_abc_g_aig,32422,18,583596,225900,2.583426,ex297_low_split_default_abc_g_aig
ex298,1,ex298_rotate_high_split_default_synth_preset,33981,19,645639,442296,1.459744,ex298_rotate_high_split_default_synth_preset
ex299,1,ex299_high_split_default_abc_g_aig,118397,22,2604734,1013807,2.569260,ex299_high_split_default_abc_g_aig
