case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex282,ex282_unknown_bit_hybrid_primary_12_13_abc_g_aig,797,35,27895,2704,10.316198,26635,1260,0,primary_12_13_abc_g_aig,Yosys abc gate set aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_11_12_13_14_abc_g_aig,1005,33,33165,3168,10.468750,29785,3380,0,primary_11_12_13_14_abc_g_aig,Yosys abc gate set aig,Yosys abc gate set aig
ex284,ex284_unknown_bit_hybrid_primary_12_13_14_15_abc_g_aig,1003,39,39117,4240,9.225708,37791,1326,0,primary_12_13_14_15_abc_g_aig,Yosys abc gate set aig,Yosys abc gate set aig
