case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex282,ex282_unknown_bit_hybrid_primary_12_13_abc_g_aig,_synthflow,primary_12_13_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_12_13_abc_g_aig.aig,797,35,27895,Yosys abc gate set aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_11_12_13_14_abc_g_aig,_synthflow,primary_11_12_13_14_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_11_12_13_14.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex283/aigs/ex283_unknown_bit_hybrid_primary_11_12_13_14_abc_g_aig.aig,1005,33,33165,Yosys abc gate set aig,Yosys abc gate set aig
ex284,ex284_unknown_bit_hybrid_primary_12_13_14_15_abc_g_aig,_synthflow,primary_12_13_14_15_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex284/verilog/ex284_unknown_bit_hybrid_primary_12_13_14_15.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex284/aigs/ex284_unknown_bit_hybrid_primary_12_13_14_15_abc_g_aig.aig,1003,39,39117,Yosys abc gate set aig,Yosys abc gate set aig
