case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex282,ex282_unknown_bit_hybrid_primary_0_1_2_3_abc_g_aig,_synthflow,primary_0_1_2_3_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_0_1_2_3.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_0_1_2_3_abc_g_aig.aig,1,1,1,816,36,29376,2.012,Yosys abc gate set aig,Yosys abc gate set aig
ex282,ex282_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_abc_g_aig,_synthflow,primary_0_1_2_3_4_5_6_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_0_1_2_3_4_5_6.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_abc_g_aig.aig,1,1,1,863,35,30205,2.135,Yosys abc gate set aig,Yosys abc gate set aig
ex282,ex282_unknown_bit_hybrid_primary_10_11_12_13_abc_g_aig,_synthflow,primary_10_11_12_13_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_10_11_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_10_11_12_13_abc_g_aig.aig,1,1,1,866,34,29444,2.092,Yosys abc gate set aig,Yosys abc gate set aig
ex282,ex282_unknown_bit_hybrid_primary_12_13_abc_g_aig,_synthflow,primary_12_13_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_12_13_abc_g_aig.aig,1,1,1,797,35,27895,2.024,Yosys abc gate set aig,Yosys abc gate set aig
ex282,ex282_unknown_bit_hybrid_primary_7_8_9_10_11_12_13_abc_g_aig,_synthflow,primary_7_8_9_10_11_12_13_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_7_8_9_10_11_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_7_8_9_10_11_12_13_abc_g_aig.aig,1,1,1,947,32,30304,2.124,Yosys abc gate set aig,Yosys abc gate set aig
ex282,ex282_unknown_bit_hybrid_primary_8_9_10_11_12_13_abc_g_aig,_synthflow,primary_8_9_10_11_12_13_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex282/verilog/ex282_unknown_bit_hybrid_primary_8_9_10_11_12_13.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex282/aigs/ex282_unknown_bit_hybrid_primary_8_9_10_11_12_13_abc_g_aig.aig,1,1,1,939,32,30048,2.091,Yosys abc gate set aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_0_1_2_3_abc_g_aig,_synthflow,primary_0_1_2_3_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_0_1_2_3.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex283/aigs/ex283_unknown_bit_hybrid_primary_0_1_2_3_abc_g_aig.aig,1,1,1,908,39,35412,2.817,Yosys abc gate set aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7_abc_g_aig,_synthflow,primary_0_1_2_3_4_5_6_7_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex283/aigs/ex283_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7_abc_g_aig.aig,1,1,1,1006,35,35210,2.970,Yosys abc gate set aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_11_12_13_14_abc_g_aig,_synthflow,primary_11_12_13_14_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_11_12_13_14.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex283/aigs/ex283_unknown_bit_hybrid_primary_11_12_13_14_abc_g_aig.aig,1,1,1,1005,33,33165,2.900,Yosys abc gate set aig,Yosys abc gate set aig
ex283,ex283_unknown_bit_hybrid_primary_13_14_abc_g_aig,_synthflow,primary_13_14_abc_g_aig,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_20260608_2340/ex283/verilog/ex283_unknown_bit_hybrid_primary_13_14.v,student/work/ex282_ex284_frontend_davio_classonehot_bithybrid_synthflow_20260608_2345/ex283/aigs/ex283_unknown_bit_hybrid_primary_13_14_abc_g_aig.aig,1,1,1,926,37,34262,2.865,Yosys abc gate set aig,Yosys abc gate set aig
