case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_wallace_square_counter4_csel4_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4_csel4+abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_counter4_csel4.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_counter4_csel4_abc_g_aig.aig,1,1,1,200,23,4600,2076,2.215800,0,0,0.311,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_counter4_csel4; flow=abc_g_aig
ex270,ex270_square_wallace_square_counter4_csel4_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4_csel4+wreduce_abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_counter4_csel4.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_counter4_csel4_wreduce_abc_g_aig.aig,1,1,1,199,23,4577,2076,2.204721,0,0,0.295,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_counter4_csel4; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_counter4_csel4_synth_preset,unsigned_square_x_times_x,wallace_square_counter4_csel4+synth_preset,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_counter4_csel4.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_counter4_csel4_synth_preset.aig,1,1,1,198,23,4554,2076,2.193642,0,0,0.369,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_counter4_csel4; flow=synth_preset
ex270,ex270_square_wallace_square_counter4_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4_csel6+abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_counter4_csel6.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_counter4_csel6_abc_g_aig.aig,1,1,1,207,22,4554,2076,2.193642,0,0,0.285,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_counter4_csel6; flow=abc_g_aig
ex270,ex270_square_wallace_square_counter4_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4_csel6+wreduce_abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_counter4_csel6.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_counter4_csel6_wreduce_abc_g_aig.aig,1,1,1,205,22,4510,2076,2.172447,0,0,0.297,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_counter4_csel6; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_counter4_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_counter4_csel6+synth_preset,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_counter4_csel6.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_counter4_csel6_synth_preset.aig,1,1,1,202,22,4444,2076,2.140655,0,0,0.369,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_counter4_csel6; flow=synth_preset
ex270,ex270_square_wallace_square_counter4_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4_csel8+abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_counter4_csel8.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_counter4_csel8_abc_g_aig.aig,1,1,1,201,23,4623,2076,2.226879,0,0,0.272,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_counter4_csel8; flow=abc_g_aig
ex270,ex270_square_wallace_square_counter4_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4_csel8+wreduce_abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_counter4_csel8.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_counter4_csel8_wreduce_abc_g_aig.aig,1,1,1,204,23,4692,2076,2.260116,0,0,0.315,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_counter4_csel8; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_counter4_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_counter4_csel8+synth_preset,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_counter4_csel8.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_counter4_csel8_synth_preset.aig,1,1,1,201,23,4623,2076,2.226879,0,0,0.351,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_counter4_csel8; flow=synth_preset
ex270,ex270_square_wallace_square_outside_csel5_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel5+abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_abc_g_aig.aig,1,1,1,191,17,3247,2076,1.564066,0,0,0.250,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_csel5_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel5+wreduce_abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_wreduce_abc_g_aig.aig,1,1,1,194,17,3298,2076,1.588632,0,0,0.263,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_csel5_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel5+synth_preset,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_synth_preset.aig,1,1,1,191,17,3247,2076,1.564066,0,0,0.338,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=synth_preset
ex270,ex270_square_wallace_square_outside_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel6.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel6_abc_g_aig.aig,1,1,1,188,19,3572,2076,1.720617,0,0,0.255,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel6.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel6_wreduce_abc_g_aig.aig,1,1,1,189,19,3591,2076,1.729769,0,0,0.273,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel6; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel6.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel6_synth_preset.aig,1,1,1,186,20,3720,2076,1.791908,0,0,0.339,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel6; flow=synth_preset
ex270,ex270_square_wallace_square_outside_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel8.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel8_abc_g_aig.aig,1,1,1,189,23,4347,2076,2.093931,0,0,0.266,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel8; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+wreduce_abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel8.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel8_wreduce_abc_g_aig.aig,1,1,1,189,23,4347,2076,2.093931,0,0,0.262,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel8; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel8+synth_preset,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel8.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel8_synth_preset.aig,1,1,1,184,22,4048,2076,1.949904,0,0,0.364,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel8; flow=synth_preset
ex273,ex273_square_wallace_square_counter4_csel4_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4_csel4+abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex273/verilog/ex273_square_wallace_square_counter4_csel4.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex273/aigs/ex273_square_wallace_square_counter4_csel4_abc_g_aig.aig,1,1,1,829,45,37305,15078,2.474135,0,0,0.988,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4_csel4; flow=abc_g_aig
ex273,ex273_square_wallace_square_counter4_csel4_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4_csel4+wreduce_abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex273/verilog/ex273_square_wallace_square_counter4_csel4.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex273/aigs/ex273_square_wallace_square_counter4_csel4_wreduce_abc_g_aig.aig,1,1,1,825,45,37125,15078,2.462197,0,0,1.036,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4_csel4; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_counter4_csel4_synth_preset,unsigned_square_x_times_x,wallace_square_counter4_csel4+synth_preset,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex273/verilog/ex273_square_wallace_square_counter4_csel4.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex273/aigs/ex273_square_wallace_square_counter4_csel4_synth_preset.aig,1,1,1,823,45,37035,15078,2.456228,0,0,1.128,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4_csel4; flow=synth_preset
ex273,ex273_square_wallace_square_counter4_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4_csel6+abc_g_aig,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex273/verilog/ex273_square_wallace_square_counter4_csel6.v,student/work/ex270_ex273_ex274_square_counter4_20260609_1138/ex273/aigs/ex273_square_wallace_square_counter4_csel6_abc_g_aig.aig,1,1,1,846,45,38070,15078,2.524871,0,0,1.017,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4_csel6; flow=abc_g_aig
