case,domain,candidate_id,equivalent,area,delay,adp,reference_adp,current_frontend_adp,verilog_path,aig_path,log_path,method_signature,agent_id,run_id,notes
ex240,float_fp8,ex240_round20_current_anchor_same_grs_diff_param8,1,590,51,30090,13299,30090,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/fp8-wide-r20/ex240/verilog/ex240_round20_current_anchor_same_grs_diff_param8.v,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/fp8-wide-r20/ex240/aigs/ex240_round20_current_anchor_same_grs_diff_param8.aig,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/fp8-wide-r20/ex240/logs/ex240_round20_current_anchor_same_grs_diff_param8.official_evaluate.log,ex240|E4M3FN packed add|round20 current anchor same GRS plus compact diff normalizer|shared byte decode gap clamp and sign magnitude selection|official_evaluate_replay|exact_e4m3fn_add_high_plus_low|split_same_diff_paths,fp8-wide-r20,ex200_ex299_frontend_refgap_round20_20260613_0015,official evaluate.py OK
ex247,float_fp8,ex247_round20_boundary_shell_mux_default,1,369,25,9225,2975,8349,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/fp8-tight-r20/ex247/verilog/ex247_round20_boundary_shell_mux.v,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/fp8-tight-r20/ex247/aigs/ex247_round20_boundary_shell_mux_default.aig,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/fp8-tight-r20/ex247/logs/ex247_round20_boundary_shell_mux_default.official_evaluate.log,ex247|E5M2FN packed low-over-high division|round20 explicit special-shell boundary-region mux|shared sign exponent significand decode plus denominator-nested boundary attributes and two-stage zero/saturate/core magnitude mux|yosys_default_official_evaluate|exact_e5m2fn_div_low_over_high|special_shell_region_grouped_magnitude_output,fp8-tight-r20,ex200_ex299_frontend_refgap_round20_20260613_0015,official evaluate.py status OK
ex297,unknown,ex297_r20_symbol_plane_split_control_abc_g_aig,,31923,20,638460,225900,569592,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/unknown-b-r20/ex297/verilog/ex297_r20_symbol_plane_split_control.v,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/unknown-b-r20/ex297/aigs/ex297.aig,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/unknown-b-r20/ex297/logs/ex297_r20_symbol_plane_split_control.evaluate.log,ex297|cyclic_2bit_symbol_ring_descriptor|symbol_plane_split_control|shared_symbol_plane_selectors|yosys_abc_g_aig|official_truth_exact_partition|all_outputs_grouped,,ex200_ex299_frontend_refgap_round20_20260613_0015,Equivalent official row; nonwinning versus current frontend ADP 569592
ex299,unknown,ex299_r20_symbol_plane_split_control_abc_g_aig,,119217,24,2861208,1013807,2487261,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/unknown-b-r20/ex299/verilog/ex299_r20_symbol_plane_split_control.v,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/unknown-b-r20/ex299/aigs/ex299.aig,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015/unknown-b-r20/ex299/logs/ex299_r20_symbol_plane_split_control.evaluate.log,ex299|cyclic_2bit_symbol_ring_descriptor|symbol_plane_split_control|shared_symbol_plane_selectors|yosys_abc_g_aig|official_truth_exact_partition|all_outputs_grouped,,ex200_ex299_frontend_refgap_round20_20260613_0015,Equivalent official row; nonwinning versus current frontend ADP 2487261
