case,status,evaluate_area,evaluate_delay,evaluate_adp,selection_area,selection_delay,selection_adp,qor_match,candidate_id,aig_path
ex227,OK,40629,22,893838,40629,22,893838,1,ex227_positive_default_exp_mant_case_abc_g_aig,student/new_seeds/fp16/ex220_ex239_current/ex227/aigs/ex227_positive_default_exp_mant_case_abc_g_aig.aig
ex228,OK,6627,20,132540,6627,20,132540,1,ex228_semantic_sign_exp_field_defaults_abc_g_aig,student/new_seeds/fp16/ex220_ex239_current/ex228/aigs/ex228_semantic_sign_exp_field_defaults_abc_g_aig.aig
ex229,OK,3957,16,63312,3957,16,63312,1,ex229_odd_nested_low9_hi6_abc_g_aig,student/new_seeds/fp16/ex220_ex239_current/ex229/aigs/ex229_odd_nested_low9_hi6_abc_g_aig.aig
ex230,OK,6969,20,139380,6969,20,139380,1,ex230_exp_mant_pair_case_abc_g_aig,student/new_seeds/fp16/ex220_ex239_current/ex230/aigs/ex230_exp_mant_pair_case_abc_g_aig.aig
ex231,OK,1163,14,16282,1163,14,16282,1,ex231_abc_g_aig_abc_g_aig,student/new_seeds/fp16/ex220_ex239_current/ex231/aigs/ex231_abc_g_aig_abc_g_aig.aig
ex232,OK,1240,13,16120,1240,13,16120,1,ex232_attr_abc_g_aig,student/new_seeds/fp16/ex220_ex239_current/ex232/aigs/ex232_attr_abc_g_aig.aig
ex233,OK,1530,15,22950,1530,15,22950,1,ex233_abc_g_aig_abc_g_aig,student/new_seeds/fp16/ex220_ex239_current/ex233/aigs/ex233_abc_g_aig_abc_g_aig.aig
ex234,OK,1278,14,17892,1278,14,17892,1,ex234_boundary_wordmode_mh5_abc_g_aig,student/new_seeds/fp16/ex220_ex239_current/ex234/aigs/ex234_boundary_wordmode_mh5_abc_g_aig.aig
ex235,OK,1628,14,22792,1628,14,22792,1,ex235_direct_special_low8_hi6_synth_preset,student/new_seeds/fp16/ex220_ex239_current/ex235/aigs/ex235_direct_special_low8_hi6_synth_preset.aig
ex236,OK,1432,15,21480,1432,15,21480,1,ex236_core_clamp_hi6_abc_g_aig,student/new_seeds/fp16/ex220_ex239_current/ex236/aigs/ex236_core_clamp_hi6_abc_g_aig.aig
ex237,OK,1889,16,30224,1889,16,30224,1,ex237_direct_special_low10_hi6_synth_preset,student/new_seeds/fp16/ex220_ex239_current/ex237/aigs/ex237_direct_special_low10_hi6_synth_preset.aig
ex238,OK,1502,15,22530,1502,15,22530,1,ex238_r27_core_boundary_low12_hi6_synth_preset_recheck,student/new_seeds/fp16/ex220_ex239_current/ex238/aigs/ex238_r27_core_boundary_low12_hi6_synth_preset_recheck.aig
ex239,OK,2026,16,32416,2026,16,32416,1,ex239_direct_special_low7_hi6_abc_g_aig,student/new_seeds/fp16/ex220_ex239_current/ex239/aigs/ex239_direct_special_low7_hi6_abc_g_aig.aig
