domain,bundle,bundle_type,case,candidate_id,artifact_role,file_type,new_path,sha256,source_path,source_csv,source_run,source_priority,method_signature,area,delay,adp,reference_adp,is_current_best,selection_reason
bf16,ex200_ex219_current,current,ex200,ex200_bf16_sparse_residual_hilo3_abc_g_aig,current_best,verilog,student/new_seeds/bf16/ex200_ex219_current/ex200/verilog/ex200_bf16_sparse_residual_hilo3_abc_g_aig.v,65c76d666b63628d895292628e869fff62d763d0de60ba292bba1bef56343846,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex200/verilog/ex200_bf16_sparse_residual_hilo3.v,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex299_frontend_refgap_round2_20260612_1512,1,ex200|bf16_exp_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,3627,15,54405,40052,1,current_best
bf16,ex200_ex219_current,current,ex200,ex200_bf16_sparse_residual_hilo3_abc_g_aig,current_best,aig,student/new_seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_sparse_residual_hilo3_abc_g_aig.aig,fd790e28901e1175fd8f81ab84b88929923478b4f59e83755456a817078c4a0d,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex200/aigs/ex200_bf16_sparse_residual_hilo3_abc_g_aig.aig,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex299_frontend_refgap_round2_20260612_1512,1,ex200|bf16_exp_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,3627,15,54405,40052,1,current_best
bf16,ex200_ex219_current,current,ex200,ex200_bf16_sparse_residual_hilo3_abc_g_aig,current_best,metadata,student/new_seeds/bf16/ex200_ex219_current/ex200/metadata/ex200_bf16_sparse_residual_hilo3_abc_g_aig.json,d820afdca391f390646fcdef6b98150ba4421b0e71380e27fe3549cfa4102d76,,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex299_frontend_refgap_round2_20260612_1512,1,ex200|bf16_exp_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,3627,15,54405,40052,1,current_best
bf16,ex200_ex219_backend_candidates_20260614_2011,backend_candidates,ex200,ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2,backend_start_diverse_noncurrent,verilog,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/verilog/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.v,17fbc8cc8c7bf77781fe3311172c9bbae432a601b9c7dfc44121eea5c940c0a1,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/verilog/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.v,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,frontend_bf16_unknown_struct_round94_20260614_0552,3,ex200|shared_bf16_exp_field_shell|sep_fields_e4_m3_s0_bits_14_bh2|shared sign_exp special/default shell; mantissa hi3 residual; bit14 split|yosys_abc_g_AND_aigmap|DAZ_exp_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,3650,16,58400,40052,0,backend_start_diverse_noncurrent
bf16,ex200_ex219_backend_candidates_20260614_2011,backend_candidates,ex200,ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2,backend_start_diverse_noncurrent,aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/aigs/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.aig,c7029113828c76737de5e3ed35bfab6efd3eddab81ad46f7d1b7a50476885cf6,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/aigs/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.aig,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,frontend_bf16_unknown_struct_round94_20260614_0552,3,ex200|shared_bf16_exp_field_shell|sep_fields_e4_m3_s0_bits_14_bh2|shared sign_exp special/default shell; mantissa hi3 residual; bit14 split|yosys_abc_g_AND_aigmap|DAZ_exp_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,3650,16,58400,40052,0,backend_start_diverse_noncurrent
bf16,ex200_ex219_backend_candidates_20260614_2011,backend_candidates,ex200,ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2,backend_start_diverse_noncurrent,metadata,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/metadata/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.json,37ff16f4db16261df2b5cd6c505b9bb5850815aad07167de6427f335950a748a,,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,frontend_bf16_unknown_struct_round94_20260614_0552,3,ex200|shared_bf16_exp_field_shell|sep_fields_e4_m3_s0_bits_14_bh2|shared sign_exp special/default shell; mantissa hi3 residual; bit14 split|yosys_abc_g_AND_aigmap|DAZ_exp_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,3650,16,58400,40052,0,backend_start_diverse_noncurrent
bf16,ex200_ex219_backend_candidates_20260614_2011,backend_candidates,ex200,ex200_selected_highbits_low12_hilo3_abc_g_aig,backend_start_diverse_noncurrent,verilog,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/verilog/ex200_selected_highbits_low12_hilo3_abc_g_aig.v,f0a9b53f335e6e0d57d3e125380e71a35ecac060315df9b0554f81df4db6392d,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unary-r3/ex200/verilog/ex200_selected_highbits_low12_hilo3.v,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round3_20260612_1554/agent_shards/unary-r3/candidates.csv,ex200_ex299_frontend_refgap_round3_20260612_1554,3,ex200|bf16_exp_selected_bit_residual_predicate|low12_hilo3_highbits_15_12_runs|shared_sign_exp_decode_highbit_predicates_low12_hilo|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_selected_highbits_low12,3895,15,58425,40052,0,backend_start_diverse_noncurrent
bf16,ex200_ex219_backend_candidates_20260614_2011,backend_candidates,ex200,ex200_selected_highbits_low12_hilo3_abc_g_aig,backend_start_diverse_noncurrent,aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/aigs/ex200_selected_highbits_low12_hilo3_abc_g_aig.aig,9013e0059321c772237230b6c65704b39b175b3f6de8bfc26bbbf2cb88fe1e8b,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unary-r3/ex200/aigs/ex200_selected_highbits_low12_hilo3_abc_g_aig.aig,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round3_20260612_1554/agent_shards/unary-r3/candidates.csv,ex200_ex299_frontend_refgap_round3_20260612_1554,3,ex200|bf16_exp_selected_bit_residual_predicate|low12_hilo3_highbits_15_12_runs|shared_sign_exp_decode_highbit_predicates_low12_hilo|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_selected_highbits_low12,3895,15,58425,40052,0,backend_start_diverse_noncurrent
bf16,ex200_ex219_backend_candidates_20260614_2011,backend_candidates,ex200,ex200_selected_highbits_low12_hilo3_abc_g_aig,backend_start_diverse_noncurrent,metadata,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/metadata/ex200_selected_highbits_low12_hilo3_abc_g_aig.json,2954730dddd978f253afd6112e5b2f46e90159a92a1fdd740d419770e26bff27,,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round3_20260612_1554/agent_shards/unary-r3/candidates.csv,ex200_ex299_frontend_refgap_round3_20260612_1554,3,ex200|bf16_exp_selected_bit_residual_predicate|low12_hilo3_highbits_15_12_runs|shared_sign_exp_decode_highbit_predicates_low12_hilo|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_selected_highbits_low12,3895,15,58425,40052,0,backend_start_diverse_noncurrent
bf16,ex200_ex219_backend_candidates_20260614_2011,backend_candidates,ex200,ex200_semantic_default_one_casez_saturation_replay_abc_g_aig,backend_start_diverse_noncurrent,verilog,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/verilog/ex200_semantic_default_one_casez_saturation_replay_abc_g_aig.v,4e42b786d41a4c71d59f79e843df360f9b2221fe3183e895e9ab957617d9a5a1,student/seeds/bf16/ex200_ex219_current/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round8_20260612_1826/agent_shards/mixed-r8/candidates.csv,ex200_ex299_frontend_refgap_round8_20260612_1826,3,ex200|bf16_exp_semantic_shell_replay|default_one_casez_saturation_source_replay|shared sign/exponent saturation decode plus active mantissa cases|abc_g_aig|DAZ+exp+BF16_RNE+FTZ|full word semantic shell,3702,16,59232,40052,0,backend_start_diverse_noncurrent
bf16,ex200_ex219_backend_candidates_20260614_2011,backend_candidates,ex200,ex200_semantic_default_one_casez_saturation_replay_abc_g_aig,backend_start_diverse_noncurrent,aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/aigs/ex200_semantic_default_one_casez_saturation_replay_abc_g_aig.aig,44657ea40f3a1e0439b3b15fabf48eb6212bd87233b99a146a1fc3c1a6bc4157,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex200/aigs/ex200_semantic_default_one_casez_saturation_replay_abc_g_aig.aig,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round8_20260612_1826/agent_shards/mixed-r8/candidates.csv,ex200_ex299_frontend_refgap_round8_20260612_1826,3,ex200|bf16_exp_semantic_shell_replay|default_one_casez_saturation_source_replay|shared sign/exponent saturation decode plus active mantissa cases|abc_g_aig|DAZ+exp+BF16_RNE+FTZ|full word semantic shell,3702,16,59232,40052,0,backend_start_diverse_noncurrent
bf16,ex200_ex219_backend_candidates_20260614_2011,backend_candidates,ex200,ex200_semantic_default_one_casez_saturation_replay_abc_g_aig,backend_start_diverse_noncurrent,metadata,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/metadata/ex200_semantic_default_one_casez_saturation_replay_abc_g_aig.json,f2c55a3d9e2282fab45f4ab7d712de5899f0da17526c4adc66414e2a59ee01b9,,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round8_20260612_1826/agent_shards/mixed-r8/candidates.csv,ex200_ex299_frontend_refgap_round8_20260612_1826,3,ex200|bf16_exp_semantic_shell_replay|default_one_casez_saturation_source_replay|shared sign/exponent saturation decode plus active mantissa cases|abc_g_aig|DAZ+exp+BF16_RNE+FTZ|full word semantic shell,3702,16,59232,40052,0,backend_start_diverse_noncurrent
