domain,case,current_candidate_id,current_area,current_delay,current_adp,reference_adp,gap_to_reference,ratio_to_reference,current_source_run,current_source_csv,current_verilog_path,current_aig_path,candidate_target,candidate_count,candidate_insufficient,candidate_shortfall_reason,candidate_ids,backend_priority_score
bf16,ex200,ex200_bf16_sparse_residual_hilo3_abc_g_aig,3627,15,54405,40052,14353,1.358359,ex200_ex299_frontend_refgap_round2_20260612_1512,student/frontend_campaigns/frontend_best_registry.csv,student/new_seeds/bf16/ex200_ex219_current/ex200/verilog/ex200_bf16_sparse_residual_hilo3_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_sparse_residual_hilo3_abc_g_aig.aig,6,6,0,,ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2;ex200_selected_highbits_low12_hilo3_abc_g_aig;ex200_semantic_default_one_casez_saturation_replay_abc_g_aig;ex200_semantic_exp_default_one_casez_all_special_abc_g_aig;ex200_semantic_exp_default_one_parallel_casez_saturation_synth_preset;ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,19496.528638
bf16,ex201,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,1647,14,23058,16300,6758,1.414601,ex200_ex219_current,student/frontend_campaigns/frontend_best_registry.csv,student/new_seeds/bf16/ex200_ex219_current/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.v,student/new_seeds/bf16/ex200_ex219_current/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.aig,6,4,1,valid distinct non-current frontend candidates below target count,ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1;ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp;ex201_bf16_exp2_hilo2_field_mode;ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1,9559.875092
bf16,ex202,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,3478,16,55648,43344,12304,1.283869,ex200_ex219_current,student/frontend_campaigns/frontend_best_registry.csv,student/new_seeds/bf16/ex200_ex219_current/ex202/verilog/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.v,student/new_seeds/bf16/ex200_ex219_current/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.aig,6,4,1,valid distinct non-current frontend candidates below target count,ex202_bf16_exp10_hilo3_field_mode_formula_bits_14;ex202_bf16_exp10_sep_fields_e3_m3_s0;ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4;ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15,15796.719085
bf16,ex203,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,4544,17,77248,56948,20300,1.356466,ex200_ex219_current,student/frontend_campaigns/frontend_best_registry.csv,student/new_seeds/bf16/ex200_ex219_current/ex203/verilog/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.v,student/new_seeds/bf16/ex200_ex219_current/ex203/aigs/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.aig,6,4,1,valid distinct non-current frontend candidates below target count,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_pla;ex203_bf16_log_sep_fields_e2_m3_s3;ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2;ex203_bf16_log_hilo3_word_mode_bits_14_bh3,27536.250615
bf16,ex204,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig,1536,16,24576,15180,9396,1.618972,ex200_ex299_frontend_refgap_round24_20260613_0435,student/frontend_campaigns/frontend_best_registry.csv,student/new_seeds/bf16/ex200_ex219_current/ex204/verilog/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_current/ex204/aigs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.aig,6,6,0,,ex204_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_gates;ex204_arithbase_delta_hilo3_bits_11_14_replay_abc_g_aig;ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_11_bh2_abc_g_aig;ex204_r26_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_pla_abc_g_gates;ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_14_bh2_abc_g_aig;ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_gates,15211.864032
bf16,ex205,ex205_r27_seedcopy_synth_preset_aig,4410,16,70560,47128,23432,1.497199,ex200_ex299_frontend_refgap_round27_20260613_0613,student/frontend_campaigns/frontend_best_registry.csv,student/new_seeds/bf16/ex200_ex219_current/ex205/verilog/ex205_r27_seedcopy_synth_preset_aig.v,student/new_seeds/bf16/ex200_ex219_current/ex205/aigs/ex205_r27_seedcopy_synth_preset_aig.aig,6,6,0,,ex205_r97_sf_e3m3_b14_15_abc_g_aig;ex205_r27_seedcopy_abc_g_aig;ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig;ex205_r95_bf16_log10_transform_source_reuse_out_sign_abc_g_aig;ex205_r95_bf16_log10_sep_fields_e4_m3_s0_bits_15_bh1_abc_g_aig;ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig,35082.369717
bf16,ex206,ex206_bf16_sin_odd_pos_fullword_h4,26872,21,564312,539049,25263,1.046866,ex200_ex219_current,student/frontend_campaigns/frontend_best_registry.csv,student/new_seeds/bf16/ex200_ex219_current/ex206/verilog/ex206_bf16_sin_odd_pos_fullword_h4.v,student/new_seeds/bf16/ex200_ex219_current/ex206/aigs/ex206_bf16_sin_odd_pos_fullword_h4.aig,4,4,0,,ex206_bf16_sin_split_sign_word_mixed_h5_h6special;ex206_bf16_sin_split_sign_word_h4_first;ex206_bf16_sin_split_sign_word_h4;ex206_bf16_sin_split_sign_word_h6,26446.972457
bf16,ex207,ex207_bf16_tan_odd_pos_fullword_expflip_h4,29873,21,627333,627817,-484,0.999229,ex200_ex219_current,student/frontend_campaigns/frontend_best_registry.csv,student/new_seeds/bf16/ex200_ex219_current/ex207/verilog/ex207_bf16_tan_odd_pos_fullword_expflip_h4.v,student/new_seeds/bf16/ex200_ex219_current/ex207/aigs/ex207_bf16_tan_odd_pos_fullword_expflip_h4.aig,4,4,0,,ex207_bf16_tan_split_sign_word_mixed_h5_h6special;ex207_bf16_tan_split_sign_word_h5;ex207_bf16_tan_split_sign_word_h4_first;ex207_bf16_tan_r94_odd_pos_passthrough_descriptor_h4,0.000000
bf16,ex208,ex208_bf16_sinh_default_in_const_excepts_h4,2167,15,32505,24505,8000,1.326464,ex200_ex219_current,student/frontend_campaigns/frontend_best_registry.csv,student/new_seeds/bf16/ex200_ex219_current/ex208/verilog/ex208_bf16_sinh_default_in_const_excepts_h4.v,student/new_seeds/bf16/ex200_ex219_current/ex208/aigs/ex208_bf16_sinh_default_in_const_excepts_h4.aig,6,6,0,,ex208_bf16_sinh_legacy_split_sign_exp_mant_case;ex208_bf16_sinh_default_in_const_excepts_h3_manual_bits_15;ex208_bf16_sinh_odd_pos_fields_e3_m3;ex208_bf16_sinh_default_in_excepts_h3;ex208_bf16_sinh_r94_default_in_const_excepts_h4_manual_bits_15;ex208_bf16_sinh_r94_default_in_const_excepts_h4_first,10611.711896
bf16,ex209,ex209_bf16_tanh_sign_exp_default_expr_casez,756,13,9828,7320,2508,1.342623,ex200_ex219_current,student/frontend_campaigns/frontend_best_registry.csv,student/new_seeds/bf16/ex200_ex219_current/ex209/verilog/ex209_bf16_tanh_sign_exp_default_expr_casez.v,student/new_seeds/bf16/ex200_ex219_current/ex209/aigs/ex209_bf16_tanh_sign_exp_default_expr_casez.aig,6,6,0,,ex209_bf16_tanh_legacy_sign_exp_default_expr_case;ex209_bf16_tanh_default_in_const_excepts_h4_manual_bits_15;ex209_bf16_tanh_default_in_excepts_h3;ex209_bf16_tanh_r94_sign_exp_default_expr_casez_manual_bits_15;ex209_bf16_tanh_r94_default_in_const_excepts_h4_first;ex209_bf16_tanh_default_in_const_excepts_h3_manual_bits_15,3367.298361
