case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_highbit_correction_default,unsigned low5_high5:a*b,highbit_correction+default,student/work/ex256_frontend_umul_highbit_correction_20260609_0040/ex256/verilog/ex256_umul_highbit_correction.v,student/work/ex256_frontend_umul_highbit_correction_20260609_0040/ex256/aigs/ex256_umul_highbit_correction_default.aig,1,1,1,150,27,4050,1911,2.119309,0,0,0.287,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=highbit_correction; flow=default
ex256,ex256_umul_highbit_correction_abc_g_aig,unsigned low5_high5:a*b,highbit_correction+abc_g_aig,student/work/ex256_frontend_umul_highbit_correction_20260609_0040/ex256/verilog/ex256_umul_highbit_correction.v,student/work/ex256_frontend_umul_highbit_correction_20260609_0040/ex256/aigs/ex256_umul_highbit_correction_abc_g_aig.aig,1,1,1,150,27,4050,1911,2.119309,0,0,0.250,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=highbit_correction; flow=abc_g_aig
ex256,ex256_umul_highbit_correction_synth_preset,unsigned low5_high5:a*b,highbit_correction+synth_preset,student/work/ex256_frontend_umul_highbit_correction_20260609_0040/ex256/verilog/ex256_umul_highbit_correction.v,student/work/ex256_frontend_umul_highbit_correction_20260609_0040/ex256/aigs/ex256_umul_highbit_correction_synth_preset.aig,1,1,1,156,23,3588,1911,1.877551,0,0,0.283,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=highbit_correction; flow=synth_preset
ex256,ex256_umul_highbit_correction_abc_g_aig_d20,unsigned low5_high5:a*b,highbit_correction+abc_g_aig_d20,student/work/ex256_frontend_umul_highbit_correction_20260609_0040/ex256/verilog/ex256_umul_highbit_correction.v,student/work/ex256_frontend_umul_highbit_correction_20260609_0040/ex256/aigs/ex256_umul_highbit_correction_abc_g_aig_d20.aig,1,1,1,150,27,4050,1911,2.119309,0,0,0.241,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=highbit_correction; flow=abc_g_aig_d20
ex256,ex256_umul_highbit_correction_synth_preset_d20,unsigned low5_high5:a*b,highbit_correction+synth_preset_d20,student/work/ex256_frontend_umul_highbit_correction_20260609_0040/ex256/verilog/ex256_umul_highbit_correction.v,student/work/ex256_frontend_umul_highbit_correction_20260609_0040/ex256/aigs/ex256_umul_highbit_correction_synth_preset_d20.aig,1,1,1,156,23,3588,1911,1.877551,0,0,0.285,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=highbit_correction; flow=synth_preset_d20
