case,function_guess,best_adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,best_candidate_id,source_run,status
ex200,bf16_exp_daz_rne_ftz,63189,40052,1.577674,0,0,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,ex200_frontend_bf16_semantic_20260605_0748,above_1p5_reference
ex201,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,23058,16300,1.414601,1,0,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,ex201_ex204_frontend_semantic_continue_20260605_1732,within_1p5_reference
ex202,DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,55648,43344,1.283869,1,0,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,ex201_ex204_frontend_semantic_continue_20260605_1732,within_1p5_reference
ex203,DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,77248,56948,1.356466,1,0,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,ex201_ex204_frontend_semantic_continue_20260605_1732,within_1p5_reference
ex204,DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN,26265,15180,1.730237,0,0,ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14,ex201_ex204_frontend_semantic_continue_20260605_1732,above_1p5_reference
ex205,log10,75871,47128,1.609892,0,0,ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1,ex205_ex209_frontend_bf16_semantic_20260606_0946,above_1p5_reference
ex206,sin,564312,539049,1.046866,1,0,ex206_bf16_sin_odd_pos_fullword_h4,ex205_ex209_frontend_bf16_semantic_20260606_0946,within_1p5_reference
ex207,tan,627333,627817,0.999229,1,1,ex207_bf16_tan_odd_pos_fullword_expflip_h4,ex205_ex209_frontend_bf16_semantic_20260606_0946,beats_reference
ex208,sinh,32505,24505,1.326464,1,0,ex208_bf16_sinh_default_in_const_excepts_h4,ex205_ex209_frontend_bf16_semantic_20260606_0946,within_1p5_reference
ex209,tanh,9828,7320,1.342623,1,0,ex209_bf16_tanh_sign_exp_default_expr_casez,ex205_ex209_frontend_bf16_semantic_20260606_0946,within_1p5_reference
ex210,sigmoid,33480,27053,1.237571,1,0,ex210_bf16_sigmoid_const_default_3f80_h3,ex210_ex214_frontend_bf16_semantic_20260606_1315,within_1p5_reference
ex211,reciprocal,3003,2136,1.405899,1,0,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut,ex210_ex214_frontend_bf16_semantic_20260606_1315,within_1p5_reference
ex212,square,3091,2304,1.341580,1,0,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1,ex210_ex214_frontend_bf16_semantic_20260606_1315,within_1p5_reference
ex213,sqrt,3806,2900,1.312414,1,0,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1,ex210_ex214_frontend_bf16_semantic_20260606_1315,within_1p5_reference
ex214,reciprocal_square,3707,2424,1.529290,0,0,ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_fix,ex210_ex214_frontend_bf16_semantic_20260606_1315,above_1p5_reference
ex215,reciprocal_sqrt,4680,3150,1.485714,1,0,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12,ex215_ex219_frontend_bf16_deep2_20260606_1726,within_1p5_reference
ex216,cube,5772,3357,1.719392,0,0,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13,ex215_ex219_frontend_bf16_deep2_20260606_1726,above_1p5_reference
ex217,cbrt,8099,5785,1.400000,1,0,ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15,ex215_ex219_frontend_bf16_deep2_20260606_1726,within_1p5_reference
ex218,reciprocal_cube,6071,3222,1.884233,0,0,ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9,ex215_ex219_frontend_bf16_deep2_20260606_1726,above_1p5_reference
ex219,reciprocal_cbrt,9345,5640,1.656915,0,0,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9,ex215_ex219_frontend_bf16_deep2_20260606_1726,above_1p5_reference
