case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex267,ex267_udiv_radix4_shift_subtract_default,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+default,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/aigs/ex267_udiv_radix4_shift_subtract_default.aig,1,1,1,204,28,5712,2651,2.154659,0,0,0.362,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=default
ex267,ex267_udiv_radix4_shift_subtract_wreduce_default,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+wreduce_default,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/aigs/ex267_udiv_radix4_shift_subtract_wreduce_default.aig,1,1,1,204,26,5304,2651,2.000754,0,0,0.402,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=wreduce_default
ex267,ex267_udiv_radix4_shift_subtract_arith_wreduce_aig,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+arith_wreduce_aig,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/aigs/ex267_udiv_radix4_shift_subtract_arith_wreduce_aig.aig,1,1,1,198,28,5544,2651,2.091286,0,0,0.379,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=arith_wreduce_aig
ex267,ex267_udiv_radix4_shift_subtract_synth_preset_d18,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+synth_preset_d18,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/aigs/ex267_udiv_radix4_shift_subtract_synth_preset_d18.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.430,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset_d18
ex267,ex267_udiv_radix4_shift_subtract_synth_preset_d20,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+synth_preset_d20,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/aigs/ex267_udiv_radix4_shift_subtract_synth_preset_d20.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.432,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset_d20
ex267,ex267_udiv_radix4_shift_subtract_synth_preset_d24,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+synth_preset_d24,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/aigs/ex267_udiv_radix4_shift_subtract_synth_preset_d24.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.426,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset_d24
ex267,ex267_udiv_radix4_shift_subtract_synth_preset_d28,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+synth_preset_d28,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/aigs/ex267_udiv_radix4_shift_subtract_synth_preset_d28.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.433,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset_d28
ex267,ex267_udiv_radix4_shift_subtract_synth_preset_d32,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+synth_preset_d32,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex267/aigs/ex267_udiv_radix4_shift_subtract_synth_preset_d32.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.428,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset_d32
ex269,ex269_udiv_radix4_shift_subtract_default,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract+default,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex269/verilog/ex269_udiv_radix4_shift_subtract.v,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex269/aigs/ex269_udiv_radix4_shift_subtract_default.aig,1,1,1,399,45,17955,11760,1.526786,0,0,0.574,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract; flow=default
ex269,ex269_udiv_radix4_shift_subtract_wreduce_default,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract+wreduce_default,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex269/verilog/ex269_udiv_radix4_shift_subtract.v,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex269/aigs/ex269_udiv_radix4_shift_subtract_wreduce_default.aig,1,1,1,401,42,16842,11760,1.432143,1,0,0.641,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract; flow=wreduce_default
ex269,ex269_udiv_radix4_shift_subtract_arith_wreduce_aig,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract+arith_wreduce_aig,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex269/verilog/ex269_udiv_radix4_shift_subtract.v,student/work/ex267_ex269_frontend_udiv_radix4_flowcheck_20260609_1150/ex269/aigs/ex269_udiv_radix4_shift_subtract_arith_wreduce_aig.aig,1,1,1,382,44,16808,11760,1.429252,1,0,0.576,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract; flow=arith_wreduce_aig
