case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex240,4,ex240_semantic_add_same_grs_diff_param8_parallel_synth_preset_aig,590,51,30090,13299,2.262576,ex240_semantic_add_same_grs_diff_param8_parallel_synth_preset_aig; ex240_semantic_add_same_grs_diff_param8_abc_g_aig; ex240_semantic_add_same_grs_diff_param8_parallel_abc_g_aig; ex240_semantic_add_same_grs_diff_param8_parallel_synth_preset
ex241,4,ex241_semantic_mul_product_param_exception_synth_preset,534,40,21360,7224,2.956811,ex241_semantic_mul_product_param_exception_synth_preset; ex241_semantic_mul_product_param_exception_synth_preset_aig; ex241_semantic_mul_product_param_exception_abc_g_aig; ex241_semantic_mul_product_param_exception_default
ex242,4,ex242_semantic_div_formula_exception_compact_synth_preset_aig,1028,25,25700,11900,2.159664,ex242_semantic_div_formula_exception_compact_synth_preset_aig; ex242_semantic_div_formula_exception_synth_preset_aig; ex242_semantic_div_field_sparse_synth_preset_aig; ex242_semantic_div_field_table_synth_preset_aig
ex243,4,ex243_semantic_fmod_modsig_table_synth_preset_aig,2167,29,62843,53227,1.180660,ex243_semantic_fmod_modsig_table_synth_preset_aig; ex243_semantic_fmod_modsig_table_synth_preset; ex243_semantic_fmod_modsig_table_abc_g_aig; ex243_semantic_fmod_modsig_formula_norm_synth_preset_aig
ex244,4,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset,307,34,10438,4272,2.443352,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset; ex244_semantic_hypot_threshold_packed_synth_preset_aig; ex244_semantic_hypot_threshold_packed_synth_preset; ex244_semantic_hypot_sig_gap_threshold_abc_g_aig
ex245,4,ex245_truth_bdd_interleave_synth_preset_aig,1481,23,34063,11050,3.082624,ex245_truth_bdd_interleave_synth_preset_aig; ex245_truth_bdd_interleave_abc_g_aig; ex245_truth_bdd_interleave_default; ex245_semantic_add_mag_bdd_interleave_synth_preset_aig
ex246,4,ex246_semantic_mul_product_dc_seed12_set13to13_synth_preset_aig,341,22,7502,2805,2.674510,ex246_semantic_mul_product_dc_seed12_set13to13_synth_preset_aig; ex246_semantic_mul_product_dc_seed12_set13to14_synth_preset_aig; ex246_semantic_mul_product_dc_seed12_set19to18_synth_preset_aig; ex246_semantic_mul_product_dc_seed12_set19to20_synth_preset_aig
ex247,4,ex247_semantic_div_bound_smallpat_nested_den_parallel_synth_preset_aig,365,25,9125,2975,3.067227,ex247_semantic_div_bound_smallpat_nested_den_parallel_synth_preset_aig; ex247_ex247_semantic_div_sigpair_class_synth_aig_D12; ex247_semantic_div_sigpair_class_parallel_synth_preset_aig; ex247_semantic_div_sigpair_ordered_sat_attr_denmux_synth_preset_aig
ex248,4,ex248_semantic_fmod_modsig_nested_delta_synth_preset_aig,476,32,15232,4180,3.644019,ex248_semantic_fmod_modsig_nested_delta_synth_preset_aig; ex248_semantic_fmod_modsig_nested_delta_synth_preset; ex248_semantic_fmod_modsig_nested_delta_abc_g_aig; ex248_truth_bdd_interleave_abc_g_aig
ex249,4,ex249_semantic_hypot_threshold_case_synth_preset_aig,164,29,4756,2079,2.287638,ex249_semantic_hypot_threshold_case_synth_preset_aig; ex249_semantic_hypot_threshold_case_synth_preset; ex249_semantic_hypot_threshold_formula_synth_preset_aig; ex249_semantic_hypot_threshold_formula_abc_g_aig
ex250,4,ex250_semantic_fp4_dot2_magprod_qcase_synthD20_aig,413,41,16933,20355,0.831884,ex250_semantic_fp4_dot2_magprod_qcase_synthD20_aig; ex250_semantic_fp4_dot2_magprod_qunrolled_norm_synthD20_aig; ex250_semantic_fp4_dot2_prodtable_qcase_synth_preset_aig; ex250_semantic_fp4_dot2_prodtable_qcase_synth_preset
ex251,4,ex251_semantic_int3_dot2_arith_qcase_synth_preset_aig,450,42,18900,39270,0.481283,ex251_semantic_int3_dot2_prodtable_qcase_abc_g_aig; ex251_semantic_int3_dot2_prodtable_qrange_synth_preset_aig; ex251_semantic_int3_dot2_arith_qcase_synth_preset_aig; ex251_semantic_int3_dot2_arith_qcase_synth_preset
ex252,4,ex252_semantic_u2_dot4_balanced_qcase_abcD15_aig,145,21,3045,2603,1.169804,ex252_semantic_u2_dot4_balanced_qcase_abcD15_aig; ex252_semantic_u2_dot4_balanced_qcase_abcD20_aig; ex252_semantic_u2_dot4_balanced_qcase_parallel_abcD15_aig; ex252_semantic_u2_dot4_balanced_threshold_fields_abcD15_aig
ex253,4,ex253_semantic_u2_sum8_popcount_bitformula_default,127,19,2413,1845,1.307859,ex253_semantic_u2_sum8_popcount_bitformula_default; ex253_semantic_u2_sum8_popcount_threshold_fields_abcD15_aig; ex253_semantic_u2_sum8_balanced_laneqcase_abcD15_aig; ex253_semantic_u2_sum8_balanced_laneqcase_abcD20_aig
ex254,4,ex254_semantic_e4add_fp4product_grs_abcD15_aig,664,56,37184,38220,0.972894,ex254_semantic_e4add_fp4product_grs_abcD15_aig; ex254_semantic_e4acc_fp4prod_prodtable_qnorm_synthD20_aig; ex254_semantic_e4acc_fp4prod_prodtable_qnorm_synth_preset_aig; ex254_semantic_e4acc_fp4prod_prodtable_qnorm_abcD15_aig
