case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex268,ex268_udiv_denom_lz_range_lowrestoring_synth_preset,unsigned low7_high7:a/b dbz=max,denom_lz_range_lowrestoring+synth_preset,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/verilog/ex268_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/aigs/ex268_udiv_denom_lz_range_lowrestoring_synth_preset.aig,324,57,18468,7446,2.480258,0,0,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset
ex269,ex269_udiv_denom_lz_range_lowrestoring_synth_preset,unsigned low8_high8:a/b dbz=max,denom_lz_range_lowrestoring+synth_preset,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/verilog/ex269_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/aigs/ex269_udiv_denom_lz_range_lowrestoring_synth_preset.aig,460,74,34040,11760,2.894558,0,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset
