case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex268,ex268_udiv_denom_lz_range_lowrestoring_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_lz_range_lowrestoring+abc_g_aig,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/verilog/ex268_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/aigs/ex268_udiv_denom_lz_range_lowrestoring_abc_g_aig.aig,1,1,1,340,55,18700,7446,2.511416,0,0,0.576,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=abc_g_aig
ex268,ex268_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_lz_range_lowrestoring+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/verilog/ex268_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/aigs/ex268_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig.aig,1,1,1,340,55,18700,7446,2.511416,0,0,0.569,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_lz_range_lowrestoring_synth_preset,unsigned low7_high7:a/b dbz=max,denom_lz_range_lowrestoring+synth_preset,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/verilog/ex268_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/aigs/ex268_udiv_denom_lz_range_lowrestoring_synth_preset.aig,1,1,1,324,57,18468,7446,2.480258,0,0,0.594,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset
ex268,ex268_udiv_denom_lz_range_lowrestoring_synth_preset_d18,unsigned low7_high7:a/b dbz=max,denom_lz_range_lowrestoring+synth_preset_d18,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/verilog/ex268_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/aigs/ex268_udiv_denom_lz_range_lowrestoring_synth_preset_d18.aig,1,1,1,324,57,18468,7446,2.480258,0,0,0.592,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset_d18
ex268,ex268_udiv_denom_lz_range_lowrestoring_synth_preset_d24,unsigned low7_high7:a/b dbz=max,denom_lz_range_lowrestoring+synth_preset_d24,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/verilog/ex268_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/aigs/ex268_udiv_denom_lz_range_lowrestoring_synth_preset_d24.aig,1,1,1,324,57,18468,7446,2.480258,0,0,0.611,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset_d24
ex269,ex269_udiv_denom_lz_range_lowrestoring_abc_g_aig,unsigned low8_high8:a/b dbz=max,denom_lz_range_lowrestoring+abc_g_aig,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/verilog/ex269_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/aigs/ex269_udiv_denom_lz_range_lowrestoring_abc_g_aig.aig,1,1,1,479,73,34967,11760,2.973384,0,0,0.725,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=abc_g_aig
ex269,ex269_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,denom_lz_range_lowrestoring+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/verilog/ex269_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/aigs/ex269_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig.aig,1,1,1,477,74,35298,11760,3.001531,0,0,0.734,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=wreduce_abc_g_aig
ex269,ex269_udiv_denom_lz_range_lowrestoring_synth_preset,unsigned low8_high8:a/b dbz=max,denom_lz_range_lowrestoring+synth_preset,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/verilog/ex269_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/aigs/ex269_udiv_denom_lz_range_lowrestoring_synth_preset.aig,1,1,1,460,74,34040,11760,2.894558,0,0,0.717,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset
ex269,ex269_udiv_denom_lz_range_lowrestoring_synth_preset_d18,unsigned low8_high8:a/b dbz=max,denom_lz_range_lowrestoring+synth_preset_d18,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/verilog/ex269_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/aigs/ex269_udiv_denom_lz_range_lowrestoring_synth_preset_d18.aig,1,1,1,460,74,34040,11760,2.894558,0,0,0.728,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset_d18
ex269,ex269_udiv_denom_lz_range_lowrestoring_synth_preset_d24,unsigned low8_high8:a/b dbz=max,denom_lz_range_lowrestoring+synth_preset_d24,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/verilog/ex269_udiv_denom_lz_range_lowrestoring.v,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/aigs/ex269_udiv_denom_lz_range_lowrestoring_synth_preset_d24.aig,1,1,1,460,74,34040,11760,2.894558,0,0,0.719,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset_d24
