case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex268,ex268_udiv_denom_lz_range_lowrestoring_abc_g_aig,1,340,55,18700,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/aigs/ex268_udiv_denom_lz_range_lowrestoring_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=abc_g_aig
ex268,ex268_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig,1,340,55,18700,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/aigs/ex268_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_lz_range_lowrestoring_synth_preset,1,324,57,18468,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/aigs/ex268_udiv_denom_lz_range_lowrestoring_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset
ex268,ex268_udiv_denom_lz_range_lowrestoring_synth_preset_d18,1,324,57,18468,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/aigs/ex268_udiv_denom_lz_range_lowrestoring_synth_preset_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset_d18
ex268,ex268_udiv_denom_lz_range_lowrestoring_synth_preset_d24,1,324,57,18468,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex268/aigs/ex268_udiv_denom_lz_range_lowrestoring_synth_preset_d24.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset_d24
ex269,ex269_udiv_denom_lz_range_lowrestoring_abc_g_aig,1,479,73,34967,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/aigs/ex269_udiv_denom_lz_range_lowrestoring_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=abc_g_aig
ex269,ex269_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig,1,477,74,35298,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/aigs/ex269_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=wreduce_abc_g_aig
ex269,ex269_udiv_denom_lz_range_lowrestoring_synth_preset,1,460,74,34040,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/aigs/ex269_udiv_denom_lz_range_lowrestoring_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset
ex269,ex269_udiv_denom_lz_range_lowrestoring_synth_preset_d18,1,460,74,34040,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/aigs/ex269_udiv_denom_lz_range_lowrestoring_synth_preset_d18.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset_d18
ex269,ex269_udiv_denom_lz_range_lowrestoring_synth_preset_d24,1,460,74,34040,student/work/ex268_ex269_frontend_udiv_lz_lowrestoring_20260609_0945/ex269/aigs/ex269_udiv_denom_lz_range_lowrestoring_synth_preset_d24.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset_d24
