case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,notes
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_15_mode,bf16_exp2,hybrid_pair_table_bits_9_15_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_mode.aig,1,1,1,1595,15,23925,1.758,base pair table with bits 9_15 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_25_mode,bf16_exp2,hybrid_pair_table_bits_9_25_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_25_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_25_mode.aig,1,1,1,1592,16,25472,1.934,base pair table with bits 9_25 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_31_mode,bf16_exp2,hybrid_pair_table_bits_9_31_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_31_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_31_mode.aig,1,1,1,1595,15,23925,1.755,base pair table with bits 9_31 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_mode,bf16_exp2,hybrid_pair_table_bits_9_15_25_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_mode.aig,1,1,1,1605,15,24075,1.826,base pair table with bits 9_15_25 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_15_31_mode,bf16_exp2,hybrid_pair_table_bits_9_15_31_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_31_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_31_mode.aig,1,1,1,1604,16,25664,1.768,base pair table with bits 9_15_31 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_25_31_mode,bf16_exp2,hybrid_pair_table_bits_9_25_31_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_25_31_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_25_31_mode.aig,1,1,1,1605,15,24075,1.812,base pair table with bits 9_25_31 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_31_mode,bf16_exp2,hybrid_pair_table_bits_9_15_25_31_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_31_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_25_31_mode.aig,1,1,1,1589,16,25424,1.837,base pair table with bits 9_15_25_31 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_14_mode,bf16_exp2,hybrid_pair_table_bits_9_14_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_14_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_14_mode.aig,1,1,1,1613,16,25808,1.799,base pair table with bits 9_14 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_17_mode,bf16_exp2,hybrid_pair_table_bits_9_17_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_17_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_17_mode.aig,1,1,1,1622,16,25952,1.871,base pair table with bits 9_17 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_19_mode,bf16_exp2,hybrid_pair_table_bits_9_19_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_19_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_19_mode.aig,1,1,1,1601,17,27217,1.865,base pair table with bits 9_19 replaced by bit-mode tables
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_30_mode,bf16_exp2,hybrid_pair_table_bits_9_30_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_30_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_30_mode.aig,1,1,1,1612,16,25792,1.780,base pair table with bits 9_30 replaced by bit-mode tables
