case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,notes
ex201,ex201_bf16_exp2_hybrid_pair_table_bit12_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit12_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit12_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit12_mode.aig,1,1,1601,16,25616,base pair table with bit 12 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit13_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit13_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit13_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit13_mode.aig,1,1,1615,16,25840,base pair table with bit 13 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit14_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit14_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit14_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit14_mode.aig,1,1,1589,16,25424,base pair table with bit 14 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit15_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit15_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit15_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit15_mode.aig,1,1,1613,15,24195,base pair table with bit 15 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit16_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit16_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit16_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit16_mode.aig,1,1,1603,16,25648,base pair table with bit 16 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit17_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit17_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit17_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit17_mode.aig,1,1,1586,16,25376,base pair table with bit 17 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit18_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit18_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit18_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit18_mode.aig,1,1,1611,16,25776,base pair table with bit 18 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit19_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit19_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit19_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit19_mode.aig,1,1,1592,16,25472,base pair table with bit 19 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit20_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit20_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit20_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit20_mode.aig,1,1,1595,16,25520,base pair table with bit 20 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit21_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit21_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit21_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit21_mode.aig,1,1,1599,16,25584,base pair table with bit 21 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit22_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit22_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit22_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit22_mode.aig,1,1,1596,16,25536,base pair table with bit 22 replaced by bit-mode table
