case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,notes
ex203,ex203_bf16_log_sign_exp_mant_bit0_override,bf16_log,sign_exp_mant_bit0_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bit0_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bit0_override.aig,1,1,1,4618,18,83124,8.824,sign_exp_mant base with output bit 0 overridden by bit-mode table
ex203,ex203_bf16_log_sign_exp_mant_bit1_override,bf16_log,sign_exp_mant_bit1_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bit1_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bit1_override.aig,1,1,1,4528,18,81504,8.400,sign_exp_mant base with output bit 1 overridden by bit-mode table
ex203,ex203_bf16_log_sign_exp_mant_bit2_override,bf16_log,sign_exp_mant_bit2_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bit2_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bit2_override.aig,1,1,1,4568,18,82224,8.292,sign_exp_mant base with output bit 2 overridden by bit-mode table
ex203,ex203_bf16_log_sign_exp_mant_bit3_override,bf16_log,sign_exp_mant_bit3_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bit3_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bit3_override.aig,1,1,1,4558,19,86602,7.736,sign_exp_mant base with output bit 3 overridden by bit-mode table
ex203,ex203_bf16_log_sign_exp_mant_bit4_override,bf16_log,sign_exp_mant_bit4_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bit4_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bit4_override.aig,1,1,1,4560,18,82080,7.341,sign_exp_mant base with output bit 4 overridden by bit-mode table
ex203,ex203_bf16_log_sign_exp_mant_bit5_override,bf16_log,sign_exp_mant_bit5_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bit5_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bit5_override.aig,1,1,1,4561,18,82098,7.343,sign_exp_mant base with output bit 5 overridden by bit-mode table
ex203,ex203_bf16_log_sign_exp_mant_bit6_override,bf16_log,sign_exp_mant_bit6_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bit6_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bit6_override.aig,1,1,1,4596,18,82728,6.799,sign_exp_mant base with output bit 6 overridden by bit-mode table
ex203,ex203_bf16_log_sign_exp_mant_bit7_override,bf16_log,sign_exp_mant_bit7_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bit7_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bit7_override.aig,1,1,1,4575,19,86925,7.122,sign_exp_mant base with output bit 7 overridden by bit-mode table
ex203,ex203_bf16_log_sign_exp_mant_bit8_override,bf16_log,sign_exp_mant_bit8_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bit8_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bit8_override.aig,1,1,1,4602,19,87438,6.678,sign_exp_mant base with output bit 8 overridden by bit-mode table
ex203,ex203_bf16_log_sign_exp_mant_bit9_override,bf16_log,sign_exp_mant_bit9_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/verilog/ex203_bf16_log_sign_exp_mant_bit9_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex203/aigs/ex203_bf16_log_sign_exp_mant_bit9_override.aig,1,1,1,4624,18,83232,6.561,sign_exp_mant base with output bit 9 overridden by bit-mode table
