case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,notes
ex202,ex202_bf16_exp10_field_default_bit0_override,bf16_exp10,field_default_bit0_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bit0_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bit0_override.aig,1,1,1,3677,17,62509,3.507,field-default base with output bit 0 overridden by bit-mode table
ex202,ex202_bf16_exp10_field_default_bit1_override,bf16_exp10,field_default_bit1_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bit1_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bit1_override.aig,1,1,1,3700,18,66600,3.497,field-default base with output bit 1 overridden by bit-mode table
ex202,ex202_bf16_exp10_field_default_bit2_override,bf16_exp10,field_default_bit2_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bit2_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bit2_override.aig,1,1,1,3728,17,63376,3.535,field-default base with output bit 2 overridden by bit-mode table
ex202,ex202_bf16_exp10_field_default_bit3_override,bf16_exp10,field_default_bit3_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bit3_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bit3_override.aig,1,1,1,3723,18,67014,3.522,field-default base with output bit 3 overridden by bit-mode table
ex202,ex202_bf16_exp10_field_default_bit4_override,bf16_exp10,field_default_bit4_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bit4_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bit4_override.aig,1,1,1,3694,17,62798,3.442,field-default base with output bit 4 overridden by bit-mode table
ex202,ex202_bf16_exp10_field_default_bit5_override,bf16_exp10,field_default_bit5_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bit5_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bit5_override.aig,1,1,1,3660,17,62220,3.363,field-default base with output bit 5 overridden by bit-mode table
ex202,ex202_bf16_exp10_field_default_bit6_override,bf16_exp10,field_default_bit6_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bit6_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bit6_override.aig,1,1,1,3733,17,63461,3.458,field-default base with output bit 6 overridden by bit-mode table
ex202,ex202_bf16_exp10_field_default_bit7_override,bf16_exp10,field_default_bit7_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bit7_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bit7_override.aig,1,1,1,3823,17,64991,3.454,field-default base with output bit 7 overridden by bit-mode table
ex202,ex202_bf16_exp10_field_default_bit8_override,bf16_exp10,field_default_bit8_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bit8_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bit8_override.aig,1,1,1,3779,17,64243,3.360,field-default base with output bit 8 overridden by bit-mode table
ex202,ex202_bf16_exp10_field_default_bit9_override,bf16_exp10,field_default_bit9_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bit9_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bit9_override.aig,1,1,1,3715,18,66870,3.254,field-default base with output bit 9 overridden by bit-mode table
