case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,notes
ex204,ex204_bf16_log2_delta_pair_bits_2_11_override,bf16_log2,delta_pair_bits_2_11_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_11_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_11_override.aig,1,1,1,1670,18,30060,7.530,delta-pair base with bits 2_11 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_12_override,bf16_log2,delta_pair_bits_2_12_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_12_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_12_override.aig,1,1,1,1670,18,30060,7.544,delta-pair base with bits 2_12 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_27_override,bf16_log2,delta_pair_bits_2_27_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_27_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_27_override.aig,1,1,1,1689,18,30402,7.591,delta-pair base with bits 2_27 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_28_override,bf16_log2,delta_pair_bits_2_28_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_28_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_28_override.aig,1,1,1,1689,18,30402,7.525,delta-pair base with bits 2_28 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_29_override,bf16_log2,delta_pair_bits_2_29_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_29_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_29_override.aig,1,1,1,1689,18,30402,7.481,delta-pair base with bits 2_29 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_11_12_override,bf16_log2,delta_pair_bits_2_11_12_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_11_12_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_11_12_override.aig,1,1,1,1660,18,29880,7.416,delta-pair base with bits 2_11_12 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_27_28_29_override,bf16_log2,delta_pair_bits_2_27_28_29_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_27_28_29_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_27_28_29_override.aig,1,1,1,1657,18,29826,7.575,delta-pair base with bits 2_27_28_29 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_11_27_override,bf16_log2,delta_pair_bits_2_11_27_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_11_27_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_11_27_override.aig,1,1,1,1670,18,30060,7.553,delta-pair base with bits 2_11_27 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_12_27_override,bf16_log2,delta_pair_bits_2_12_27_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_12_27_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_12_27_override.aig,1,1,1,1673,18,30114,7.610,delta-pair base with bits 2_12_27 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_11_12_27_override,bf16_log2,delta_pair_bits_2_11_12_27_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_11_12_27_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_11_12_27_override.aig,1,1,1,1673,18,30114,7.466,delta-pair base with bits 2_11_12_27 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_11_12_27_28_29_override,bf16_log2,delta_pair_bits_2_11_12_27_28_29_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_11_12_27_28_29_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_11_12_27_28_29_override.aig,1,1,1,1668,18,30024,7.813,delta-pair base with bits 2_11_12_27_28_29 overridden
ex204,ex204_bf16_log2_delta_pair_bits_1_2_override,bf16_log2,delta_pair_bits_1_2_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_1_2_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_1_2_override.aig,1,1,1,1670,18,30060,9.142,delta-pair base with bits 1_2 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_16_override,bf16_log2,delta_pair_bits_2_16_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_16_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_16_override.aig,1,1,1,1657,18,29826,7.469,delta-pair base with bits 2_16 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_17_override,bf16_log2,delta_pair_bits_2_17_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_17_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_17_override.aig,1,1,1,1657,18,29826,7.265,delta-pair base with bits 2_17 overridden
ex204,ex204_bf16_log2_delta_pair_bits_2_18_override,bf16_log2,delta_pair_bits_2_18_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/verilog/ex204_bf16_log2_delta_pair_bits_2_18_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex204/aigs/ex204_bf16_log2_delta_pair_bits_2_18_override.aig,1,1,1,1657,18,29826,7.489,delta-pair base with bits 2_18 overridden
