case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex294,ex294_unknown_bit_hybrid_primary_1_2_6_7_12_13,unknown_bit_hybrid,primary_1_2_6_7_12_13,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/verilog/ex294_unknown_bit_hybrid_primary_1_2_6_7_12_13.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/aigs/ex294_unknown_bit_hybrid_primary_1_2_6_7_12_13.aig,1,1,1,15468,22,340296,44.196,primary_bits=1:2:6:7:12:13; secondary_bits=0:3:4:5:8:9:10:11:14:15; hash=cc520646fe3a,bit-hybrid of two verified exact Verilog sources
ex294,ex294_unknown_bit_hybrid_primary_6_7_12_13,unknown_bit_hybrid,primary_6_7_12_13,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/verilog/ex294_unknown_bit_hybrid_primary_6_7_12_13.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/aigs/ex294_unknown_bit_hybrid_primary_6_7_12_13.aig,1,1,1,14201,22,312422,42.173,primary_bits=6:7:12:13; secondary_bits=0:1:2:3:4:5:8:9:10:11:14:15; hash=8394fc1e594e,bit-hybrid of two verified exact Verilog sources
ex294,ex294_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7,unknown_bit_hybrid,primary_0_1_2_3_4_5_6_7,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/verilog/ex294_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/aigs/ex294_unknown_bit_hybrid_primary_0_1_2_3_4_5_6_7.aig,1,1,1,16328,24,391872,44.616,primary_bits=0:1:2:3:4:5:6:7; secondary_bits=8:9:10:11:12:13:14:15; hash=24921a3abb98,bit-hybrid of two verified exact Verilog sources
ex294,ex294_unknown_bit_hybrid_primary_8_9_10_11_12_13_14_15,unknown_bit_hybrid,primary_8_9_10_11_12_13_14_15,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/verilog/ex294_unknown_bit_hybrid_primary_8_9_10_11_12_13_14_15.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/aigs/ex294_unknown_bit_hybrid_primary_8_9_10_11_12_13_14_15.aig,1,1,1,16293,23,374739,43.865,primary_bits=8:9:10:11:12:13:14:15; secondary_bits=0:1:2:3:4:5:6:7; hash=31417c4d9fdb,bit-hybrid of two verified exact Verilog sources
ex294,ex294_unknown_bit_hybrid_primary_6_7_8_9_10_11_12_13,unknown_bit_hybrid,primary_6_7_8_9_10_11_12_13,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/verilog/ex294_unknown_bit_hybrid_primary_6_7_8_9_10_11_12_13.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/aigs/ex294_unknown_bit_hybrid_primary_6_7_8_9_10_11_12_13.aig,1,1,1,16317,22,358974,44.117,primary_bits=6:7:8:9:10:11:12:13; secondary_bits=0:1:2:3:4:5:14:15; hash=227b885a06e5,bit-hybrid of two verified exact Verilog sources
ex294,ex294_unknown_bit_hybrid_primary_10_11_12_13_14_15,unknown_bit_hybrid,primary_10_11_12_13_14_15,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/verilog/ex294_unknown_bit_hybrid_primary_10_11_12_13_14_15.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex294/aigs/ex294_unknown_bit_hybrid_primary_10_11_12_13_14_15.aig,1,1,1,15512,22,341264,43.319,primary_bits=10:11:12:13:14:15; secondary_bits=0:1:2:3:4:5:6:7:8:9; hash=fb0ef6d358cb,bit-hybrid of two verified exact Verilog sources
