case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex292,ex292_unknown_bit_hybrid_primary_4_5_6_7_8,unknown_bit_hybrid,primary_4_5_6_7_8,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_4_5_6_7_8.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_4_5_6_7_8.aig,1,1,1,8926,23,205298,12.125,primary_bits=4:5:6:7:8; secondary_bits=0:1:2:3:9:10:11:12:13; hash=38f576b6b71f,bit-hybrid of two verified exact Verilog sources
ex292,ex292_unknown_bit_hybrid_primary_3_4_5_6_7_8_9,unknown_bit_hybrid,primary_3_4_5_6_7_8_9,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_3_4_5_6_7_8_9.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_3_4_5_6_7_8_9.aig,1,1,1,9246,20,184920,12.373,primary_bits=3:4:5:6:7:8:9; secondary_bits=0:1:2:10:11:12:13; hash=e0e81d0fe30c,bit-hybrid of two verified exact Verilog sources
ex292,ex292_unknown_bit_hybrid_primary_5_6_7_8,unknown_bit_hybrid,primary_5_6_7_8,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_5_6_7_8.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_5_6_7_8.aig,1,1,1,8646,21,181566,12.032,primary_bits=5:6:7:8; secondary_bits=0:1:2:3:4:9:10:11:12:13; hash=b3518993e679,bit-hybrid of two verified exact Verilog sources
ex292,ex292_unknown_bit_hybrid_primary_4_5_6_7_8_9_10_11,unknown_bit_hybrid,primary_4_5_6_7_8_9_10_11,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_4_5_6_7_8_9_10_11.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_4_5_6_7_8_9_10_11.aig,1,1,1,9228,20,184560,11.986,primary_bits=4:5:6:7:8:9:10:11; secondary_bits=0:1:2:3:12:13; hash=69e0c7f5373d,bit-hybrid of two verified exact Verilog sources
ex292,ex292_unknown_bit_hybrid_primary_0_1_2_3_4_5_6,unknown_bit_hybrid,primary_0_1_2_3_4_5_6,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_0_1_2_3_4_5_6.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_0_1_2_3_4_5_6.aig,1,1,1,8994,20,179880,11.766,primary_bits=0:1:2:3:4:5:6; secondary_bits=7:8:9:10:11:12:13; hash=20759a135f15,bit-hybrid of two verified exact Verilog sources
ex292,ex292_unknown_bit_hybrid_primary_7_8_9_10_11_12_13,unknown_bit_hybrid,primary_7_8_9_10_11_12_13,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/verilog/ex292_unknown_bit_hybrid_primary_7_8_9_10_11_12_13.v,student/work/ex292_ex294_frontend_split_bdd_bit_hybrid_20260608_1628/ex292/aigs/ex292_unknown_bit_hybrid_primary_7_8_9_10_11_12_13.aig,1,1,1,8784,21,184464,11.843,primary_bits=7:8:9:10:11:12:13; secondary_bits=0:1:2:3:4:5:6; hash=4b23164749a5,bit-hybrid of two verified exact Verilog sources
