case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_csa_androws_default,unsigned low4_high4:a*b,csa_androws+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_androws_default.aig,1,1,1,112,14,1568,836,1.875598,0,0,0.189,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=default
ex255,ex255_umul_csa_androws_abc_g_aig,unsigned low4_high4:a*b,csa_androws+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_androws_abc_g_aig.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.194,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig
ex255,ex255_umul_csa_androws_synth_preset,unsigned low4_high4:a*b,csa_androws+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_androws_synth_preset.aig,1,1,1,86,16,1376,836,1.645933,0,0,0.250,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=synth_preset
ex255,ex255_umul_csa_concat_default,unsigned low4_high4:a*b,csa_concat+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_default.aig,1,1,1,112,14,1568,836,1.875598,0,0,0.191,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=default
ex255,ex255_umul_csa_concat_abc_g_aig,unsigned low4_high4:a*b,csa_concat+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_abc_g_aig.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.189,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=abc_g_aig
ex255,ex255_umul_csa_concat_synth_preset,unsigned low4_high4:a*b,csa_concat+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_synth_preset.aig,1,1,1,86,16,1376,836,1.645933,0,0,0.251,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=synth_preset
ex255,ex255_umul_csa_concat_rev_default,unsigned low4_high4:a*b,csa_concat_rev+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_rev_default.aig,1,1,1,103,17,1751,836,2.094498,0,0,0.189,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_rev; flow=default
ex255,ex255_umul_csa_concat_rev_abc_g_aig,unsigned low4_high4:a*b,csa_concat_rev+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_rev_abc_g_aig.aig,1,1,1,91,17,1547,836,1.850478,0,0,0.223,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_rev; flow=abc_g_aig
ex255,ex255_umul_csa_concat_rev_synth_preset,unsigned low4_high4:a*b,csa_concat_rev+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_rev_synth_preset.aig,1,1,1,91,17,1547,836,1.850478,0,0,0.226,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_rev; flow=synth_preset
ex255,ex255_umul_csa_concat_evenodd_default,unsigned low4_high4:a*b,csa_concat_evenodd+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_evenodd_default.aig,1,1,1,112,14,1568,836,1.875598,0,0,0.191,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_evenodd; flow=default
ex255,ex255_umul_csa_concat_evenodd_abc_g_aig,unsigned low4_high4:a*b,csa_concat_evenodd+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_evenodd_abc_g_aig.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.189,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_evenodd; flow=abc_g_aig
ex255,ex255_umul_csa_concat_evenodd_synth_preset,unsigned low4_high4:a*b,csa_concat_evenodd+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_evenodd_synth_preset.aig,1,1,1,86,16,1376,836,1.645933,0,0,0.246,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_evenodd; flow=synth_preset
ex255,ex255_umul_csa_concat_outside_default,unsigned low4_high4:a*b,csa_concat_outside+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_outside_default.aig,1,1,1,107,16,1712,836,2.047847,0,0,0.187,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_outside; flow=default
ex255,ex255_umul_csa_concat_outside_abc_g_aig,unsigned low4_high4:a*b,csa_concat_outside+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_outside_abc_g_aig.aig,1,1,1,87,16,1392,836,1.665072,0,0,0.186,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_outside; flow=abc_g_aig
ex255,ex255_umul_csa_concat_outside_synth_preset,unsigned low4_high4:a*b,csa_concat_outside+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_outside_synth_preset.aig,1,1,1,87,16,1392,836,1.665072,0,0,0.247,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_outside; flow=synth_preset
ex255,ex255_umul_csa_concat_center_default,unsigned low4_high4:a*b,csa_concat_center+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_center_default.aig,1,1,1,108,14,1512,836,1.808612,0,0,0.191,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_center; flow=default
