case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex256,ex256_umul_csa_concat_abc_g_aig,1,151,21,3171,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat; flow=abc_g_aig
ex256,ex256_umul_csa_concat_synth_preset,1,150,21,3150,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat; flow=synth_preset
ex256,ex256_umul_csa_concat_rev_default,1,197,24,4728,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_rev_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_rev; flow=default
ex256,ex256_umul_csa_concat_rev_abc_g_aig,1,165,24,3960,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_rev_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_rev; flow=abc_g_aig
ex256,ex256_umul_csa_concat_rev_synth_preset,1,159,21,3339,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_rev_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_rev; flow=synth_preset
ex256,ex256_umul_csa_concat_evenodd_default,1,205,21,4305,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_evenodd_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_evenodd; flow=default
ex256,ex256_umul_csa_concat_evenodd_abc_g_aig,1,162,21,3402,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_evenodd_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_evenodd; flow=abc_g_aig
ex256,ex256_umul_csa_concat_evenodd_synth_preset,1,162,21,3402,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_evenodd_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_evenodd; flow=synth_preset
ex256,ex256_umul_csa_concat_outside_default,1,193,20,3860,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_outside_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_outside; flow=default
ex256,ex256_umul_csa_concat_outside_abc_g_aig,1,166,20,3320,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_outside_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_outside; flow=abc_g_aig
ex256,ex256_umul_csa_concat_outside_synth_preset,1,161,22,3542,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_outside_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_outside; flow=synth_preset
ex256,ex256_umul_csa_concat_center_default,1,199,22,4378,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_center_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_center; flow=default
ex256,ex256_umul_csa_concat_center_abc_g_aig,1,161,22,3542,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_center_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_center; flow=abc_g_aig
ex256,ex256_umul_csa_concat_center_synth_preset,1,161,22,3542,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_center_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_center; flow=synth_preset
ex257,ex257_umul_csa_androws_default,1,313,25,7825,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_androws_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_androws; flow=default
ex257,ex257_umul_csa_androws_abc_g_aig,1,241,25,6025,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_androws_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_androws; flow=abc_g_aig
ex257,ex257_umul_csa_androws_synth_preset,1,238,24,5712,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_androws_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_androws; flow=synth_preset
ex257,ex257_umul_csa_concat_default,1,305,25,7625,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat; flow=default
ex257,ex257_umul_csa_concat_abc_g_aig,1,241,25,6025,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat; flow=abc_g_aig
ex257,ex257_umul_csa_concat_synth_preset,1,238,24,5712,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat; flow=synth_preset
ex257,ex257_umul_csa_concat_rev_default,1,313,26,8138,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_rev_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_rev; flow=default
ex257,ex257_umul_csa_concat_rev_abc_g_aig,1,250,26,6500,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_rev_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_rev; flow=abc_g_aig
ex257,ex257_umul_csa_concat_rev_synth_preset,1,247,25,6175,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_rev_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_rev; flow=synth_preset
ex257,ex257_umul_csa_concat_evenodd_default,1,316,26,8216,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_evenodd_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_evenodd; flow=default
ex257,ex257_umul_csa_concat_evenodd_abc_g_aig,1,255,26,6630,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_evenodd_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_evenodd; flow=abc_g_aig
ex257,ex257_umul_csa_concat_evenodd_synth_preset,1,256,26,6656,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_evenodd_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_evenodd; flow=synth_preset
ex257,ex257_umul_csa_concat_outside_default,1,314,26,8164,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_outside_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_outside; flow=default
ex257,ex257_umul_csa_concat_outside_abc_g_aig,1,245,26,6370,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_outside_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_outside; flow=abc_g_aig
ex257,ex257_umul_csa_concat_outside_synth_preset,1,246,25,6150,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_outside_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_outside; flow=synth_preset
ex257,ex257_umul_csa_concat_center_default,1,301,24,7224,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_center_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_center; flow=default
ex257,ex257_umul_csa_concat_center_abc_g_aig,1,245,24,5880,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_center_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_center; flow=abc_g_aig
ex257,ex257_umul_csa_concat_center_synth_preset,1,245,26,6370,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_center_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_center; flow=synth_preset
ex258,ex258_umul_csa_androws_default,1,464,29,13456,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_androws_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_androws; flow=default
ex258,ex258_umul_csa_androws_abc_g_aig,1,347,29,10063,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_androws_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_androws; flow=abc_g_aig
ex258,ex258_umul_csa_androws_synth_preset,1,350,29,10150,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_androws_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_androws; flow=synth_preset
ex258,ex258_umul_csa_concat_default,1,432,29,12528,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat; flow=default
ex258,ex258_umul_csa_concat_abc_g_aig,1,344,29,9976,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat; flow=abc_g_aig
ex258,ex258_umul_csa_concat_synth_preset,1,350,29,10150,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat; flow=synth_preset
ex258,ex258_umul_csa_concat_rev_default,1,429,33,14157,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_rev_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_rev; flow=default
ex258,ex258_umul_csa_concat_rev_abc_g_aig,1,360,33,11880,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_rev_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_rev; flow=abc_g_aig
ex258,ex258_umul_csa_concat_rev_synth_preset,1,368,31,11408,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_rev_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_rev; flow=synth_preset
ex258,ex258_umul_csa_concat_evenodd_default,1,444,30,13320,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_evenodd_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_evenodd; flow=default
ex258,ex258_umul_csa_concat_evenodd_abc_g_aig,1,365,30,10950,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_evenodd_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_evenodd; flow=abc_g_aig
ex258,ex258_umul_csa_concat_evenodd_synth_preset,1,369,34,12546,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_evenodd_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_evenodd; flow=synth_preset
ex258,ex258_umul_csa_concat_outside_default,1,448,31,13888,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_outside_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_outside; flow=default
ex258,ex258_umul_csa_concat_outside_abc_g_aig,1,358,31,11098,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_outside_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_outside; flow=abc_g_aig
ex258,ex258_umul_csa_concat_outside_synth_preset,1,362,30,10860,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_outside_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_outside; flow=synth_preset
ex258,ex258_umul_csa_concat_center_default,1,442,32,14144,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_center_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_center; flow=default
ex258,ex258_umul_csa_concat_center_abc_g_aig,1,372,32,11904,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_center_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_center; flow=abc_g_aig
ex258,ex258_umul_csa_concat_center_synth_preset,1,371,31,11501,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex258/aigs/ex258_umul_csa_concat_center_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_concat_center; flow=synth_preset
ex259,ex259_umul_csa_androws_default,1,639,34,21726,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_androws_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_androws; flow=default
