case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd_wordmux+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_abc_g_aig.aig,1,1,1,154,13,2002,848,2.360849,0,0,0.232,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd_wordmux; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd_wordmux+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_wreduce_abc_g_aig.aig,1,1,1,154,13,2002,848,2.360849,0,0,0.235,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd_wordmux+synth_preset,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_synth_preset.aig,1,1,1,153,13,1989,848,2.345519,0,0,0.308,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd_wordmux; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd_wordmux+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_synth_preset_d8.aig,1,1,1,153,13,1989,848,2.345519,0,0,0.310,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd_wordmux; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd_wordmux+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_synth_preset_d10.aig,1,1,1,153,13,1989,848,2.345519,0,0,0.306,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd_wordmux; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_bitbdd_wordmux+synth_preset_d12,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/verilog/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/aigs/ex266_udiv_ex266_cof_bhi2_bitbdd_wordmux_synth_preset_d12.aig,1,1,1,153,13,1989,848,2.345519,0,0,0.309,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_bitbdd_wordmux; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_bitbdd_wordmux+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux_abc_g_aig.aig,1,1,1,158,11,1738,848,2.049528,0,0,0.244,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_bitbdd_wordmux; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_bitbdd_wordmux+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux_wreduce_abc_g_aig.aig,1,1,1,158,11,1738,848,2.049528,0,0,0.253,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_bitbdd_wordmux+synth_preset,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux_synth_preset.aig,1,1,1,153,10,1530,848,1.804245,0,0,0.319,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_bitbdd_wordmux; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_bitbdd_wordmux+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux_synth_preset_d8.aig,1,1,1,153,10,1530,848,1.804245,0,0,0.322,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_bitbdd_wordmux; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a43_bitbdd_wordmux+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_cofactor_wordmux_20260609_1128/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wordmux_synth_preset_d10.aig,1,1,1,153,10,1530,848,1.804245,0,0,0.322,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_bitbdd_wordmux; flow=synth_preset_d10
