case,feature_set,degree,lane,feature_count,monomial_count,exact,solution_terms,solution,notes
ex286,input_lane_parity,1,0,4,5,0,,,lane parity in feature monomial span
ex286,input_lane_parity,1,1,4,5,0,,,lane parity in feature monomial span
ex286,input_lane_parity,1,2,4,5,0,,,lane parity in feature monomial span
ex286,input_lane_parity,1,3,4,5,0,,,lane parity in feature monomial span
ex286,input_lane_parity,2,0,4,11,0,,,lane parity in feature monomial span
ex286,input_lane_parity,2,1,4,11,0,,,lane parity in feature monomial span
ex286,input_lane_parity,2,2,4,11,0,,,lane parity in feature monomial span
ex286,input_lane_parity,2,3,4,11,0,,,lane parity in feature monomial span
ex286,home_lane_parity,1,0,4,5,0,,,lane parity in feature monomial span
ex286,home_lane_parity,1,1,4,5,0,,,lane parity in feature monomial span
ex286,home_lane_parity,1,2,4,5,0,,,lane parity in feature monomial span
ex286,home_lane_parity,1,3,4,5,0,,,lane parity in feature monomial span
ex286,home_lane_parity,2,0,4,11,0,,,lane parity in feature monomial span
ex286,home_lane_parity,2,1,4,11,0,,,lane parity in feature monomial span
ex286,home_lane_parity,2,2,4,11,0,,,lane parity in feature monomial span
ex286,home_lane_parity,2,3,4,11,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,1,0,9,10,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,1,1,9,10,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,1,2,9,10,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,1,3,9,10,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,2,0,9,46,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,2,1,9,46,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,2,2,9,46,0,,,lane parity in feature monomial span
ex286,home_lane_count_bits,2,3,9,46,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,1,0,15,16,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,1,1,15,16,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,1,2,15,16,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,1,3,15,16,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,2,0,15,121,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,2,1,15,121,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,2,2,15,121,0,,,lane parity in feature monomial span
ex286,raw_pair_signals,2,3,15,121,0,,,lane parity in feature monomial span
ex286,bucket_count_bits,1,0,12,13,0,,,lane parity in feature monomial span
ex286,bucket_count_bits,1,1,12,13,0,,,lane parity in feature monomial span
ex286,bucket_count_bits,1,2,12,13,0,,,lane parity in feature monomial span
ex286,bucket_count_bits,1,3,12,13,0,,,lane parity in feature monomial span
ex286,bucket_count_bits,2,0,12,79,0,,,lane parity in feature monomial span
ex286,bucket_count_bits,2,1,12,79,0,,,lane parity in feature monomial span
ex286,bucket_count_bits,2,2,12,79,0,,,lane parity in feature monomial span
ex286,bucket_count_bits,2,3,12,79,0,,,lane parity in feature monomial span
ex286,bucket_count_bits_selectors,1,0,15,16,0,,,lane parity in feature monomial span
ex286,bucket_count_bits_selectors,1,1,15,16,0,,,lane parity in feature monomial span
ex286,bucket_count_bits_selectors,1,2,15,16,0,,,lane parity in feature monomial span
ex286,bucket_count_bits_selectors,1,3,15,16,0,,,lane parity in feature monomial span
ex286,bucket_count_bits_selectors,2,0,15,121,0,,,lane parity in feature monomial span
ex286,bucket_count_bits_selectors,2,1,15,121,0,,,lane parity in feature monomial span
ex286,bucket_count_bits_selectors,2,2,15,121,0,,,lane parity in feature monomial span
ex286,bucket_count_bits_selectors,2,3,15,121,0,,,lane parity in feature monomial span
ex287,input_lane_parity,1,0,4,5,0,,,lane parity in feature monomial span
ex287,input_lane_parity,1,1,4,5,0,,,lane parity in feature monomial span
ex287,input_lane_parity,1,2,4,5,0,,,lane parity in feature monomial span
ex287,input_lane_parity,1,3,4,5,0,,,lane parity in feature monomial span
ex287,input_lane_parity,2,0,4,11,0,,,lane parity in feature monomial span
ex287,input_lane_parity,2,1,4,11,0,,,lane parity in feature monomial span
ex287,input_lane_parity,2,2,4,11,0,,,lane parity in feature monomial span
ex287,input_lane_parity,2,3,4,11,0,,,lane parity in feature monomial span
ex287,home_lane_parity,1,0,4,5,0,,,lane parity in feature monomial span
ex287,home_lane_parity,1,1,4,5,0,,,lane parity in feature monomial span
ex287,home_lane_parity,1,2,4,5,0,,,lane parity in feature monomial span
ex287,home_lane_parity,1,3,4,5,0,,,lane parity in feature monomial span
ex287,home_lane_parity,2,0,4,11,0,,,lane parity in feature monomial span
ex287,home_lane_parity,2,1,4,11,0,,,lane parity in feature monomial span
ex287,home_lane_parity,2,2,4,11,0,,,lane parity in feature monomial span
ex287,home_lane_parity,2,3,4,11,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,1,0,8,9,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,1,1,8,9,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,1,2,8,9,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,1,3,8,9,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,2,0,8,37,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,2,1,8,37,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,2,2,8,37,0,,,lane parity in feature monomial span
ex287,home_lane_count_bits,2,3,8,37,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,1,0,17,18,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,1,1,17,18,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,1,2,17,18,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,1,3,17,18,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,2,0,17,154,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,2,1,17,154,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,2,2,17,154,0,,,lane parity in feature monomial span
ex287,raw_pair_signals,2,3,17,154,0,,,lane parity in feature monomial span
ex287,bucket_count_bits,1,0,12,13,0,,,lane parity in feature monomial span
ex287,bucket_count_bits,1,1,12,13,0,,,lane parity in feature monomial span
ex287,bucket_count_bits,1,2,12,13,0,,,lane parity in feature monomial span
ex287,bucket_count_bits,1,3,12,13,0,,,lane parity in feature monomial span
ex287,bucket_count_bits,2,0,12,79,0,,,lane parity in feature monomial span
ex287,bucket_count_bits,2,1,12,79,0,,,lane parity in feature monomial span
ex287,bucket_count_bits,2,2,12,79,0,,,lane parity in feature monomial span
ex287,bucket_count_bits,2,3,12,79,0,,,lane parity in feature monomial span
ex287,bucket_count_bits_selectors,1,0,16,17,0,,,lane parity in feature monomial span
ex287,bucket_count_bits_selectors,1,1,16,17,0,,,lane parity in feature monomial span
ex287,bucket_count_bits_selectors,1,2,16,17,0,,,lane parity in feature monomial span
ex287,bucket_count_bits_selectors,1,3,16,17,0,,,lane parity in feature monomial span
ex287,bucket_count_bits_selectors,2,0,16,137,0,,,lane parity in feature monomial span
ex287,bucket_count_bits_selectors,2,1,16,137,0,,,lane parity in feature monomial span
ex287,bucket_count_bits_selectors,2,2,16,137,0,,,lane parity in feature monomial span
ex287,bucket_count_bits_selectors,2,3,16,137,0,,,lane parity in feature monomial span
ex288,input_lane_parity,1,0,4,5,0,,,lane parity in feature monomial span
ex288,input_lane_parity,1,1,4,5,0,,,lane parity in feature monomial span
ex288,input_lane_parity,1,2,4,5,0,,,lane parity in feature monomial span
ex288,input_lane_parity,1,3,4,5,0,,,lane parity in feature monomial span
ex288,input_lane_parity,2,0,4,11,0,,,lane parity in feature monomial span
ex288,input_lane_parity,2,1,4,11,0,,,lane parity in feature monomial span
ex288,input_lane_parity,2,2,4,11,0,,,lane parity in feature monomial span
ex288,input_lane_parity,2,3,4,11,0,,,lane parity in feature monomial span
ex288,home_lane_parity,1,0,4,5,0,,,lane parity in feature monomial span
ex288,home_lane_parity,1,1,4,5,0,,,lane parity in feature monomial span
ex288,home_lane_parity,1,2,4,5,0,,,lane parity in feature monomial span
ex288,home_lane_parity,1,3,4,5,0,,,lane parity in feature monomial span
ex288,home_lane_parity,2,0,4,11,0,,,lane parity in feature monomial span
ex288,home_lane_parity,2,1,4,11,0,,,lane parity in feature monomial span
ex288,home_lane_parity,2,2,4,11,0,,,lane parity in feature monomial span
ex288,home_lane_parity,2,3,4,11,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,1,0,10,11,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,1,1,10,11,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,1,2,10,11,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,1,3,10,11,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,2,0,10,56,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,2,1,10,56,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,2,2,10,56,0,,,lane parity in feature monomial span
ex288,home_lane_count_bits,2,3,10,56,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,1,0,18,19,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,1,1,18,19,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,1,2,18,19,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,1,3,18,19,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,2,0,18,172,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,2,1,18,172,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,2,2,18,172,0,,,lane parity in feature monomial span
ex288,raw_pair_signals,2,3,18,172,0,,,lane parity in feature monomial span
ex288,bucket_count_bits,1,0,13,14,0,,,lane parity in feature monomial span
ex288,bucket_count_bits,1,1,13,14,0,,,lane parity in feature monomial span
ex288,bucket_count_bits,1,2,13,14,0,,,lane parity in feature monomial span
ex288,bucket_count_bits,1,3,13,14,0,,,lane parity in feature monomial span
ex288,bucket_count_bits,2,0,13,92,0,,,lane parity in feature monomial span
ex288,bucket_count_bits,2,1,13,92,0,,,lane parity in feature monomial span
ex288,bucket_count_bits,2,2,13,92,0,,,lane parity in feature monomial span
ex288,bucket_count_bits,2,3,13,92,0,,,lane parity in feature monomial span
ex288,bucket_count_bits_selectors,1,0,16,17,0,,,lane parity in feature monomial span
ex288,bucket_count_bits_selectors,1,1,16,17,0,,,lane parity in feature monomial span
ex288,bucket_count_bits_selectors,1,2,16,17,0,,,lane parity in feature monomial span
ex288,bucket_count_bits_selectors,1,3,16,17,0,,,lane parity in feature monomial span
ex288,bucket_count_bits_selectors,2,0,16,137,0,,,lane parity in feature monomial span
ex288,bucket_count_bits_selectors,2,1,16,137,0,,,lane parity in feature monomial span
ex288,bucket_count_bits_selectors,2,2,16,137,0,,,lane parity in feature monomial span
ex288,bucket_count_bits_selectors,2,3,16,137,0,,,lane parity in feature monomial span
ex289,input_lane_parity,1,0,4,5,0,,,lane parity in feature monomial span
ex289,input_lane_parity,1,1,4,5,0,,,lane parity in feature monomial span
ex289,input_lane_parity,1,2,4,5,0,,,lane parity in feature monomial span
ex289,input_lane_parity,1,3,4,5,0,,,lane parity in feature monomial span
ex289,input_lane_parity,2,0,4,11,0,,,lane parity in feature monomial span
ex289,input_lane_parity,2,1,4,11,0,,,lane parity in feature monomial span
ex289,input_lane_parity,2,2,4,11,0,,,lane parity in feature monomial span
ex289,input_lane_parity,2,3,4,11,0,,,lane parity in feature monomial span
ex289,home_lane_parity,1,0,4,5,0,,,lane parity in feature monomial span
ex289,home_lane_parity,1,1,4,5,0,,,lane parity in feature monomial span
ex289,home_lane_parity,1,2,4,5,0,,,lane parity in feature monomial span
ex289,home_lane_parity,1,3,4,5,0,,,lane parity in feature monomial span
ex289,home_lane_parity,2,0,4,11,0,,,lane parity in feature monomial span
ex289,home_lane_parity,2,1,4,11,0,,,lane parity in feature monomial span
ex289,home_lane_parity,2,2,4,11,0,,,lane parity in feature monomial span
ex289,home_lane_parity,2,3,4,11,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,1,0,10,11,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,1,1,10,11,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,1,2,10,11,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,1,3,10,11,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,2,0,10,56,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,2,1,10,56,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,2,2,10,56,0,,,lane parity in feature monomial span
ex289,home_lane_count_bits,2,3,10,56,0,,,lane parity in feature monomial span
ex289,raw_pair_signals,1,0,20,21,0,,,lane parity in feature monomial span
