case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_mtbdd+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/verilog/ex266_udiv_ex266_cof_bhi2_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_abc_g_aig.aig,1,1,1,151,12,1812,848,2.136792,0,0,0.270,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_mtbdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/verilog/ex266_udiv_ex266_cof_bhi2_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_wreduce_abc_g_aig.aig,1,1,1,155,12,1860,848,2.193396,0,0,0.262,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_mtbdd+synth_preset,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/verilog/ex266_udiv_ex266_cof_bhi2_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset.aig,1,1,1,151,13,1963,848,2.314858,0,0,0.342,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_mtbdd+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/verilog/ex266_udiv_ex266_cof_bhi2_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d8.aig,1,1,1,151,13,1963,848,2.314858,0,0,0.344,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_mtbdd+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/verilog/ex266_udiv_ex266_cof_bhi2_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d10.aig,1,1,1,151,13,1963,848,2.314858,0,0,0.345,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_mtbdd+synth_preset_d12,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/verilog/ex266_udiv_ex266_cof_bhi2_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d12.aig,1,1,1,151,13,1963,848,2.314858,0,0,0.343,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_mtbdd+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/verilog/ex266_udiv_ex266_cof_bhi3_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_abc_g_aig.aig,1,1,1,162,12,1944,848,2.292453,0,0,0.269,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_mtbdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/verilog/ex266_udiv_ex266_cof_bhi3_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_wreduce_abc_g_aig.aig,1,1,1,158,13,2054,848,2.422170,0,0,0.271,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_mtbdd+synth_preset,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/verilog/ex266_udiv_ex266_cof_bhi3_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset.aig,1,1,1,162,12,1944,848,2.292453,0,0,0.365,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_mtbdd+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/verilog/ex266_udiv_ex266_cof_bhi3_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d8.aig,1,1,1,162,12,1944,848,2.292453,0,0,0.351,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi3_mtbdd+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/verilog/ex266_udiv_ex266_cof_bhi3_mtbdd.v,student/work/ex266_frontend_udiv_cofactor_mtbdd_fix_20260609_1050/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d10.aig,1,1,1,162,12,1944,848,2.292453,0,0,0.353,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset_d10
