case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex270,ex270_square_direct_square_synth_preset,unsigned_square_x_times_x,direct_square+synth_preset,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex270/aigs/ex270_square_direct_square_synth_preset.aig,252,33,8316,2076,4.005780,0,0,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=synth_preset
ex271,ex271_square_direct_square_synth_preset,unsigned_square_x_times_x,direct_square+synth_preset,student/work/ex270_ex274_square_directflows_20260609_1138/ex271/verilog/ex271_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex271/aigs/ex271_square_direct_square_synth_preset.aig,516,35,18060,5542,3.258751,0,0,semantic_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=direct_square; flow=synth_preset
ex272,ex272_square_direct_square_synth_preset,unsigned_square_x_times_x,direct_square+synth_preset,student/work/ex270_ex274_square_directflows_20260609_1138/ex272/verilog/ex272_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex272/aigs/ex272_square_direct_square_synth_preset.aig,764,43,32852,10880,3.019485,0,0,semantic_rtl,exact unsigned 12-bit square x*x over 4096 inputs; source=direct_square; flow=synth_preset
ex273,ex273_square_direct_square_synth_preset,unsigned_square_x_times_x,direct_square+synth_preset,student/work/ex270_ex274_square_directflows_20260609_1138/ex273/verilog/ex273_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex273/aigs/ex273_square_direct_square_synth_preset.aig,1178,61,71858,15078,4.765751,0,0,semantic_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=direct_square; flow=synth_preset
ex274,ex274_square_direct_square_synth_preset,unsigned_square_x_times_x,direct_square+synth_preset,student/work/ex270_ex274_square_directflows_20260609_1138/ex274/verilog/ex274_square_direct_square.v,student/work/ex270_ex274_square_directflows_20260609_1138/ex274/aigs/ex274_square_direct_square_synth_preset.aig,1543,68,104924,21630,4.850855,0,0,semantic_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=direct_square; flow=synth_preset
