case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex276,ex276_isqrt_anfhi1_p4ge_abc_g_aig,unsigned_floor_isqrt,anfhi1_p4ge+abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi1_p4ge_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.267,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi1_p4ge; flow=abc_g_aig
ex276,ex276_isqrt_anfhi1_p4ge_wreduce_abc_g_aig,unsigned_floor_isqrt,anfhi1_p4ge+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi1_p4ge_wreduce_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.258,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi1_p4ge; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_anfhi1_p4ge_arith_wreduce_aig,unsigned_floor_isqrt,anfhi1_p4ge+arith_wreduce_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi1_p4ge_arith_wreduce_aig.aig,1,1,1,110,12,1320,632,2.088608,0,0,0.297,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi1_p4ge; flow=arith_wreduce_aig
ex276,ex276_isqrt_anfhi1_p4ge_synth_preset,unsigned_floor_isqrt,anfhi1_p4ge+synth_preset,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi1_p4ge_synth_preset.aig,1,1,1,108,10,1080,632,1.708861,0,0,0.340,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi1_p4ge; flow=synth_preset
ex276,ex276_isqrt_anfhi1_p4ge_synth_preset_d6,unsigned_floor_isqrt,anfhi1_p4ge+synth_preset_d6,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi1_p4ge_synth_preset_d6.aig,1,1,1,108,10,1080,632,1.708861,0,0,0.338,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi1_p4ge; flow=synth_preset_d6
ex276,ex276_isqrt_anfhi1_p4ge_synth_preset_d8,unsigned_floor_isqrt,anfhi1_p4ge+synth_preset_d8,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi1_p4ge_synth_preset_d8.aig,1,1,1,108,10,1080,632,1.708861,0,0,0.378,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi1_p4ge; flow=synth_preset_d8
ex276,ex276_isqrt_anfhi1_p4ge_synth_preset_d10,unsigned_floor_isqrt,anfhi1_p4ge+synth_preset_d10,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi1_p4ge_synth_preset_d10.aig,1,1,1,108,10,1080,632,1.708861,0,0,0.346,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi1_p4ge; flow=synth_preset_d10
ex276,ex276_isqrt_anfhi2_p4ge_abc_g_aig,unsigned_floor_isqrt,anfhi2_p4ge+abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi2_p4ge_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.311,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi2_p4ge; flow=abc_g_aig
ex276,ex276_isqrt_anfhi2_p4ge_wreduce_abc_g_aig,unsigned_floor_isqrt,anfhi2_p4ge+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi2_p4ge_wreduce_abc_g_aig.aig,1,1,1,114,11,1254,632,1.984177,0,0,0.261,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi2_p4ge; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_anfhi2_p4ge_arith_wreduce_aig,unsigned_floor_isqrt,anfhi2_p4ge+arith_wreduce_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi2_p4ge_arith_wreduce_aig.aig,1,1,1,109,12,1308,632,2.069620,0,0,0.273,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi2_p4ge; flow=arith_wreduce_aig
ex276,ex276_isqrt_anfhi2_p4ge_synth_preset,unsigned_floor_isqrt,anfhi2_p4ge+synth_preset,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi2_p4ge_synth_preset.aig,1,1,1,108,11,1188,632,1.879747,0,0,0.358,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi2_p4ge; flow=synth_preset
