case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex268,ex268_udiv_denom_lz_range_lowbdd_abc_g_aig,1,495,60,29700,student/work/ex268_ex269_frontend_udiv_lz_lowbdd_20260609_0935/ex268/aigs/ex268_udiv_denom_lz_range_lowbdd_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowbdd; flow=abc_g_aig
ex268,ex268_udiv_denom_lz_range_lowbdd_wreduce_abc_g_aig,1,495,60,29700,student/work/ex268_ex269_frontend_udiv_lz_lowbdd_20260609_0935/ex268/aigs/ex268_udiv_denom_lz_range_lowbdd_wreduce_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowbdd; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_lz_range_lowbdd_synth_preset,1,484,59,28556,student/work/ex268_ex269_frontend_udiv_lz_lowbdd_20260609_0935/ex268/aigs/ex268_udiv_denom_lz_range_lowbdd_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowbdd; flow=synth_preset
ex268,ex268_udiv_denom_lz_range_lowbdd_synth_preset_d18,1,484,59,28556,student/work/ex268_ex269_frontend_udiv_lz_lowbdd_20260609_0935/ex268/aigs/ex268_udiv_denom_lz_range_lowbdd_synth_preset_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowbdd; flow=synth_preset_d18
ex268,ex268_udiv_denom_lz_range_lowbdd_synth_preset_d24,1,484,59,28556,student/work/ex268_ex269_frontend_udiv_lz_lowbdd_20260609_0935/ex268/aigs/ex268_udiv_denom_lz_range_lowbdd_synth_preset_d24.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_lowbdd; flow=synth_preset_d24
ex269,ex269_udiv_denom_lz_range_lowbdd_abc_g_aig,1,1065,74,78810,student/work/ex268_ex269_frontend_udiv_lz_lowbdd_20260609_0935/ex269/aigs/ex269_udiv_denom_lz_range_lowbdd_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowbdd; flow=abc_g_aig
ex269,ex269_udiv_denom_lz_range_lowbdd_wreduce_abc_g_aig,1,1065,74,78810,student/work/ex268_ex269_frontend_udiv_lz_lowbdd_20260609_0935/ex269/aigs/ex269_udiv_denom_lz_range_lowbdd_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowbdd; flow=wreduce_abc_g_aig
ex269,ex269_udiv_denom_lz_range_lowbdd_synth_preset,1,1044,75,78300,student/work/ex268_ex269_frontend_udiv_lz_lowbdd_20260609_0935/ex269/aigs/ex269_udiv_denom_lz_range_lowbdd_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowbdd; flow=synth_preset
ex269,ex269_udiv_denom_lz_range_lowbdd_synth_preset_d18,1,1044,75,78300,student/work/ex268_ex269_frontend_udiv_lz_lowbdd_20260609_0935/ex269/aigs/ex269_udiv_denom_lz_range_lowbdd_synth_preset_d18.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowbdd; flow=synth_preset_d18
ex269,ex269_udiv_denom_lz_range_lowbdd_synth_preset_d24,1,1044,75,78300,student/work/ex268_ex269_frontend_udiv_lz_lowbdd_20260609_0935/ex269/aigs/ex269_udiv_denom_lz_range_lowbdd_synth_preset_d24.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_lowbdd; flow=synth_preset_d24
