case,class_key_count,representative_model,matches,total_classes,match_ratio,first_mismatch
ex286,4608,max_onehot_bitrev,38,4608,0.008247,"key=((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0));pred=0x1000;exp=0x40;class_size=1"
ex286,4608,max_onehot_rev_bitrev,38,4608,0.008247,"key=((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0));pred=0x1000;exp=0x40;class_size=1"
ex286,4608,max_center_bitrev,37,4608,0.008030,"key=((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0));pred=0x1000;exp=0x40;class_size=1"
ex286,4608,min_outside_bitrev,37,4608,0.008030,"key=((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0));pred=0x1000;exp=0x40;class_size=1"
ex286,4608,min_natural_bitrev,35,4608,0.007595,"key=((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0));pred=0x1000;exp=0x40;class_size=1"
ex286,4608,max_reverse_bitrev,35,4608,0.007595,"key=((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0));pred=0x1000;exp=0x40;class_size=1"
ex286,4608,min_onehot_bitrev,35,4608,0.007595,"key=((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0));pred=0x1000;exp=0x40;class_size=1"
ex286,4608,min_onehot_rev_bitrev,35,4608,0.007595,"key=((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0));pred=0x1000;exp=0x40;class_size=1"
ex286,4608,min_center_bitrev,26,4608,0.005642,"key=((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0));pred=0x1000;exp=0x40;class_size=1"
ex286,4608,max_outside_bitrev,26,4608,0.005642,"key=((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0));pred=0x1000;exp=0x40;class_size=1"
ex287,6912,max_natural,93,6912,0.013455,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
ex287,6912,min_reverse,93,6912,0.013455,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
ex287,6912,max_onehot,93,6912,0.013455,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
ex287,6912,max_onehot_rev,93,6912,0.013455,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
ex287,6912,max_center,67,6912,0.009693,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
ex287,6912,max_outside,66,6912,0.009549,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
ex287,6912,min_outside,58,6912,0.008391,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
ex287,6912,min_center,56,6912,0.008102,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
ex287,6912,min_natural,54,6912,0.007812,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
ex287,6912,max_reverse,54,6912,0.007812,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
