case,metric,key,value,detail
ex286,image_size_by_layer,all_layers,w0:1;w1:8;w2:36;w3:103;w4:219;w5:336;w6:417;w7:417;w8:336;w9:214;w10:102;w11:36;w12:7;w13:1,layer_size/image_size; fixed_rows=82/8192
ex286,preimage_distribution,all_outputs,1:402;2:823;3:155;4:347;5:47;6:184;7:18;8:107;9:6;10:53;11:1;12:30;14:20;15:1;16:22;18:6;20:6;24:2;28:1;32:2,unique_outputs=2233
ex286,layer_preimage_distribution,w0,1:1,image_size=1
ex286,layer_preimage_distribution,w1,1:4;2:3;3:1,image_size=8
ex286,layer_preimage_distribution,w2,1:17;2:9;3:4;4:1;5:3;6:2,image_size=36
ex286,layer_preimage_distribution,w3,1:31;2:30;3:11;4:15;5:2;6:10;7:1;8:2;9:1,image_size=103
ex286,layer_preimage_distribution,w4,1:50;2:76;3:22;4:28;5:5;6:16;7:2;8:10;10:3;12:4;14:3,image_size=219
ex286,layer_preimage_distribution,w5,1:58;2:122;3:18;4:50;5:7;6:36;7:3;8:17;9:1;10:8;12:6;14:3;16:5;20:2,image_size=336
ex286,layer_preimage_distribution,w6,1:50;2:169;3:19;4:78;5:4;6:29;7:3;8:22;9:1;10:20;12:5;14:4;15:1;16:6;18:2;20:2;24:1;32:1,image_size=417
ex286,layer_preimage_distribution,w7,1:49;2:169;3:20;4:66;5:5;6:44;7:2;8:29;9:2;10:9;12:6;14:4;16:6;18:3;24:1;28:1;32:1,image_size=417
ex286,layer_preimage_distribution,w8,1:47;2:123;3:26;4:65;5:8;6:27;7:1;8:13;9:1;10:6;12:7;14:5;16:5;20:2,image_size=336
ex286,layer_preimage_distribution,w9,1:46;2:77;3:21;4:27;5:6;6:10;7:3;8:12;10:7;11:1;12:2;14:1;18:1,image_size=214
ex286,layer_preimage_distribution,w10,1:30;2:33;3:6;4:13;5:6;6:10;7:2;8:2,image_size=102
ex286,layer_preimage_distribution,w11,1:15;2:10;3:5;4:4;5:1;7:1,image_size=36
ex286,layer_preimage_distribution,w12,1:3;2:2;3:2,image_size=7
ex286,layer_preimage_distribution,w13,1:1,image_size=1
ex286,bucket_key_class_output_membership,output_in_input_class,82/4608,"selectors=raw3:raw10:xor6_7; first_not_in=key=((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0));out=0x40;first_input=0x1"
ex287,image_size_by_layer,all_layers,w0:1;w1:7;w2:31;w3:88;w4:200;w5:326;w6:427;w7:445;w8:422;w9:318;w10:203;w11:98;w12:35;w13:7;w14:1,layer_size/image_size; fixed_rows=107/16384
ex287,preimage_distribution,all_outputs,1:175;2:566;3:110;4:685;5:24;6:249;7:12;8:370;9:5;10:63;12:121;14:12;16:105;18:1;20:21;24:40;28:2;32:27;40:6;48:9;64:6,unique_outputs=2609
ex287,layer_preimage_distribution,w0,1:1,image_size=1
ex287,layer_preimage_distribution,w1,1:3;2:2;3:1;4:1,image_size=7
ex287,layer_preimage_distribution,w2,1:7;2:13;3:3;4:3;5:1;7:2;8:1;10:1,image_size=31
ex287,layer_preimage_distribution,w3,1:13;2:17;3:5;4:23;5:4;6:17;8:6;10:1;12:1;18:1,image_size=88
ex287,layer_preimage_distribution,w4,1:17;2:61;3:9;4:47;5:2;6:15;7:1;8:24;10:2;12:12;16:5;20:4;24:1,image_size=200
ex287,layer_preimage_distribution,w5,1:18;2:64;3:10;4:109;5:2;6:41;8:34;10:13;12:4;14:4;16:12;20:1;24:8;32:3;40:2;48:1,image_size=326
ex287,layer_preimage_distribution,w6,1:18;2:87;3:11;4:112;5:5;6:22;7:3;8:86;9:2;10:3;12:36;16:25;20:5;24:3;28:1;32:2;48:4;64:2,image_size=427
ex287,layer_preimage_distribution,w7,1:17;2:68;3:20;4:113;5:5;6:58;8:70;10:18;12:20;14:5;16:16;24:15;32:15;40:3;64:2,image_size=445
ex287,layer_preimage_distribution,w8,1:17;2:83;3:14;4:116;5:3;6:28;7:3;8:74;9:2;10:4;12:28;16:30;20:8;24:3;28:1;32:2;48:4;64:2,image_size=422
ex287,layer_preimage_distribution,w9,1:19;2:70;3:11;4:82;6:40;8:44;10:16;12:4;14:3;16:14;24:9;32:5;40:1,image_size=318
ex287,layer_preimage_distribution,w10,1:15;2:61;3:11;4:49;5:1;6:15;7:1;8:27;9:1;10:2;12:13;16:3;20:3;24:1,image_size=203
ex287,layer_preimage_distribution,w11,1:18;2:25;3:7;4:25;5:1;6:12;8:4;10:3;12:3,image_size=98
ex287,layer_preimage_distribution,w12,1:7;2:15;3:6;4:4;6:1;7:2,image_size=35
ex287,layer_preimage_distribution,w13,1:4;3:2;4:1,image_size=7
ex287,layer_preimage_distribution,w14,1:1,image_size=1
ex287,bucket_key_class_output_membership,output_in_input_class,107/6912,"selectors=xor6_7:xor8_9:raw13:raw12; first_not_in=key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));out=0x40;first_input=0x1"
ex288,image_size_by_layer,all_layers,w0:1;w1:9;w2:45;w3:147;w4:364;w5:669;w6:989;w7:1173;w8:1170;w9:960;w10:660;w11:347;w12:147;w13:44;w14:8;w15:1,layer_size/image_size; fixed_rows=138/32768
ex288,preimage_distribution,all_outputs,1:898;2:2064;3:327;4:1209;5:214;6:640;7:92;8:400;9:59;10:205;11:38;12:179;13:18;14:80;15:7;16:117;17:8;18:23;19:4;20:35;21:1;22:12;24:42;26:8;28:16;30:1;32:14;34:2;36:12;40:1;44:5;52:1;64:2,unique_outputs=6734
ex288,layer_preimage_distribution,w0,1:1,image_size=1
ex288,layer_preimage_distribution,w1,1:5;2:2;3:2,image_size=9
ex288,layer_preimage_distribution,w2,1:19;2:12;3:4;4:3;5:4;6:3,image_size=45
ex288,layer_preimage_distribution,w3,1:41;2:40;3:20;4:12;5:9;6:9;7:7;8:5;9:3;11:1,image_size=147
ex288,layer_preimage_distribution,w4,1:72;2:117;3:17;4:58;5:17;6:32;7:9;8:15;9:4;10:7;11:3;12:5;13:2;14:3;16:2;17:1,image_size=364
ex288,layer_preimage_distribution,w5,1:90;2:223;3:38;4:121;5:16;6:69;7:5;8:28;9:8;10:15;11:5;12:14;13:4;14:9;15:1;16:6;17:1;18:3;20:4;21:1;24:4;26:2;28:1;34:1,image_size=669
ex288,layer_preimage_distribution,w6,1:109;2:296;3:51;4:204;5:19;6:90;7:11;8:63;9:9;10:34;11:5;12:32;13:2;14:14;15:1;16:24;17:1;19:1;20:5;22:1;24:9;28:2;32:4;36:1;44:1,image_size=989
ex288,layer_preimage_distribution,w7,1:113;2:357;3:43;4:233;5:27;6:113;7:13;8:81;9:11;10:45;11:6;12:46;14:12;15:2;16:23;17:1;18:6;19:1;20:8;22:5;24:10;26:3;28:4;30:1;36:4;40:1;44:2;52:1;64:1,image_size=1173
ex288,layer_preimage_distribution,w8,1:111;2:352;3:41;4:217;5:29;6:133;7:13;8:93;9:8;10:37;11:5;12:38;13:4;14:16;16:30;17:2;18:6;20:5;22:3;24:8;26:2;28:7;32:2;34:1;36:4;44:2;64:1,image_size=1170
ex288,layer_preimage_distribution,w9,1:111;2:296;3:33;4:177;5:33;6:88;7:13;8:72;9:6;10:30;11:5;12:26;13:2;14:13;15:3;16:19;18:4;19:1;20:4;24:10;26:1;28:2;32:8;36:3,image_size=960
ex288,layer_preimage_distribution,w10,1:99;2:215;3:34;4:101;5:26;6:67;7:6;8:26;9:4;10:21;11:6;12:13;13:3;14:9;16:12;18:4;19:1;20:9;22:3;24:1,image_size=660
ex288,layer_preimage_distribution,w11,1:71;2:91;3:24;4:62;5:19;6:24;7:9;8:13;9:5;10:14;11:2;12:5;13:1;14:4;16:1;17:2,image_size=347
ex288,layer_preimage_distribution,w12,1:37;2:47;3:13;4:14;5:12;6:11;7:6;8:4;9:1;10:2,image_size=147
ex288,layer_preimage_distribution,w13,1:14;2:14;3:6;4:6;5:3;6:1,image_size=44
ex288,layer_preimage_distribution,w14,1:4;2:2;3:1;4:1,image_size=8
ex288,layer_preimage_distribution,w15,1:1,image_size=1
ex288,bucket_key_class_output_membership,output_in_input_class,138/13824,"selectors=raw13:raw10:xor6_7; first_not_in=key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));out=0x4000;first_input=0x1"
ex289,image_size_by_layer,all_layers,w0:1;w1:8;w2:36;w3:111;w4:299;w5:542;w6:877;w7:1052;w8:1193;w9:1052;w10:877;w11:542;w12:299;w13:111;w14:36;w15:8;w16:1,layer_size/image_size; fixed_rows=162/65536
ex289,preimage_distribution,all_outputs,1:208;2:1069;3:76;4:1737;5:38;6:384;7:14;8:1510;9:8;10:108;11:2;12:475;14:30;16:800;18:8;20:76;24:100;28:8;32:272;48:12;64:100;128:10,unique_outputs=7045
ex289,layer_preimage_distribution,w0,1:1,image_size=1
ex289,layer_preimage_distribution,w1,1:4;2:2;4:2,image_size=8
ex289,layer_preimage_distribution,w2,2:20;4:8;6:8,image_size=36
ex289,layer_preimage_distribution,w3,1:15;2:8;3:3;4:43;5:5;6:2;7:1;8:28;12:4;16:2,image_size=111
ex289,layer_preimage_distribution,w4,2:106;4:54;6:17;8:90;10:1;16:23;24:8,image_size=299
ex289,layer_preimage_distribution,w5,1:23;2:99;3:7;4:130;5:1;6:43;7:5;8:89;9:4;10:8;12:35;14:6;16:62;20:2;24:2;32:22;48:4,image_size=542
ex289,layer_preimage_distribution,w6,1:23;2:131;3:6;4:233;5:1;6:41;7:1;8:180;10:5;11:1;12:96;14:1;16:97;20:13;24:4;28:3;32:24;64:17,image_size=877
ex289,layer_preimage_distribution,w7,1:24;2:114;3:22;4:251;5:10;6:54;8:215;10:30;12:44;14:8;16:159;18:4;20:5;24:34;32:52;48:2;64:20;128:4,image_size=1052
ex289,layer_preimage_distribution,w8,1:28;2:109;4:295;5:4;6:54;8:306;10:20;12:117;16:114;20:36;24:4;28:2;32:76;64:26;128:2,image_size=1193
ex289,layer_preimage_distribution,w9,1:24;2:114;3:22;4:251;5:10;6:54;8:215;10:30;12:44;14:8;16:159;18:4;20:5;24:34;32:52;48:2;64:20;128:4,image_size=1052
ex289,layer_preimage_distribution,w10,1:23;2:131;3:6;4:233;5:1;6:41;7:1;8:180;10:5;11:1;12:96;14:1;16:97;20:13;24:4;28:3;32:24;64:17,image_size=877
ex289,layer_preimage_distribution,w11,1:23;2:99;3:7;4:130;5:1;6:43;7:5;8:89;9:4;10:8;12:35;14:6;16:62;20:2;24:2;32:22;48:4,image_size=542
ex289,layer_preimage_distribution,w12,2:106;4:54;6:17;8:90;10:1;16:23;24:8,image_size=299
ex289,layer_preimage_distribution,w13,1:15;2:8;3:3;4:43;5:5;6:2;7:1;8:28;12:4;16:2,image_size=111
ex289,layer_preimage_distribution,w14,2:20;4:8;6:8,image_size=36
ex289,layer_preimage_distribution,w15,1:4;2:2;4:2,image_size=8
ex289,layer_preimage_distribution,w16,1:1,image_size=1
ex289,bucket_key_class_output_membership,output_in_input_class,162/20736,"selectors=xor10_11:xor6_7:raw15:raw14; first_not_in=key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));out=0x4000;first_input=0x1"
