case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,runtime_sec,notes
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_manual_sign_non_nan_fix12,bf16_cube,cube,aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_manual_sign_non_nan_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_manual_sign_non_nan_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_manual_sign_non_nan_fix12.aig,1,1,457,15,6855,12.216,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs; manual cube bit14 boundary exp>=128 or exp127 mant>=34; manual sign bit override sign && !is_nan
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_manual_sign_casez_fix12,bf16_cube,cube,aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_manual_sign_casez_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_manual_sign_casez_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_manual_sign_casez_fix12.aig,1,0,,,,12.001,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs; manual cube bit14 boundary exp>=128 or exp127 mant>=34; manual sign bit casez override
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_mod3_bit6_caseattrs_fix12,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_mod3_bit6_caseattrs_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_mod3_bit6_caseattrs_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_mod3_bit6_caseattrs_fix12.aig,1,1,685,16,10960,13.632,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; mod3/mant selected bit override bit=6 items=26; source case attributes parallel_case full_case
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9_mod3_bit6_fix12,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9_mod3_bit6_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9_mod3_bit6_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9_mod3_bit6_fix12.aig,1,1,654,16,10464,15.049,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=6 bit_hi_bits=cmp bit_items=684; source case attributes parallel_case full_case; mod3/mant selected bit override bit=6 items=26
ex215,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_runs_fix12,bf16_reciprocal_sqrt,reciprocal_sqrt,delta_pair_mode_hilo3_bits_9_runs_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex215/verilog/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_runs_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex215/aigs/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_runs_fix12.aig,1,1,464,13,6032,13.009,semantic model exact over 65536 inputs; delta pair base_policy=mode delta_mode=hilo3 items=29348; generic selected bit overrides bits=9 bit_hi_bits=runs bit_items=114
ex215,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_pla_fix12,bf16_reciprocal_sqrt,reciprocal_sqrt,delta_pair_mode_hilo3_bits_9_pla_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex215/verilog/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_pla_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex215/aigs/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_pla_fix12.aig,1,1,464,13,6032,14.094,semantic model exact over 65536 inputs; delta pair base_policy=mode delta_mode=hilo3 items=29348; generic selected bit overrides bits=9 bit_hi_bits=pla bit_items=81
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_manual_sign_casez_fix12,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_manual_sign_casez_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_manual_sign_casez_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_manual_sign_casez_fix12.aig,1,0,,,,17.105,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; manual sign bit casez override
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9_manual_sign_casez_fix12,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_15_cmp_caseattrs_fix9_manual_sign_casez_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9_manual_sign_casez_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9_manual_sign_casez_fix12.aig,1,0,,,,18.918,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=15 bit_hi_bits=cmp bit_items=10; source case attributes parallel_case full_case; manual sign bit casez override
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_fix5_manual_sign_casez_fix12,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_15_cmp_fix5_manual_sign_casez_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_fix5_manual_sign_casez_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_fix5_manual_sign_casez_fix12.aig,1,0,,,,17.716,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=15 bit_hi_bits=cmp bit_items=10; manual sign bit casez override
ex218,ex218_bf16_reciprocal_cube_legacy_sign_pair_case_manual_sign_casez_fix12,bf16_reciprocal_cube,reciprocal_cube,legacy_sign_pair_case_manual_sign_casez_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_sign_pair_case_manual_sign_casez_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_sign_pair_case_manual_sign_casez_fix12.aig,1,0,,,,13.239,semantic model exact over 65536 inputs; legacy bf16_verilog_search sign_pair_case; 32768; manual sign bit casez override
