case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex223,ex223_fp16_log_bitvec_bits11_12_t32,fp16_log,bitvec_bits11_12_t32,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex223/verilog/ex223_fp16_log_bitvec_bits11_12_t32.v,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex223/aigs/ex223_fp16_log_bitvec_bits11_12_t32.aig,1,1,1,11185,23,257255,120549,2.134028,0,0,structural_exact,"bitvec selected bits; table_items=31777; bits=12,11; threshold=32; const_groups=58; range_groups=6; table_groups=0; range_items=21; table_items=0",12.554,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=31777; bits=12,11; threshold=32; const_groups=58; range_groups=6; table_groups=0; range_items=21; table_items=0"
ex223,ex223_fp16_log_bitvec_sign_bit14_t16,fp16_log,bitvec_sign_bit14_t16,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex223/verilog/ex223_fp16_log_bitvec_sign_bit14_t16.v,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex223/aigs/ex223_fp16_log_bitvec_sign_bit14_t16.aig,1,1,1,11253,23,258819,120549,2.147002,0,0,structural_exact,"bitvec selected bits; table_items=31777; bits=15,14; threshold=16; const_groups=62; range_groups=2; table_groups=0; range_items=4; table_items=0",12.120,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=31777; bits=15,14; threshold=16; const_groups=62; range_groups=2; table_groups=0; range_items=4; table_items=0"
ex223,ex223_fp16_log_bitvec_sign_bits11_12_t32,fp16_log,bitvec_sign_bits11_12_t32,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex223/verilog/ex223_fp16_log_bitvec_sign_bits11_12_t32.v,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex223/aigs/ex223_fp16_log_bitvec_sign_bits11_12_t32.aig,1,1,1,11263,24,270312,120549,2.242341,0,0,structural_exact,"bitvec selected bits; table_items=31777; bits=15,12,11; threshold=32; const_groups=58; range_groups=6; table_groups=0; range_items=21; table_items=0",12.429,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=31777; bits=15,12,11; threshold=32; const_groups=58; range_groups=6; table_groups=0; range_items=21; table_items=0"
ex224,ex224_fp16_log2_bitvec_bits11_12_t32,fp16_log2,bitvec_bits11_12_t32,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex224/verilog/ex224_fp16_log2_bitvec_bits11_12_t32.v,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex224/aigs/ex224_fp16_log2_bitvec_bits11_12_t32.aig,1,1,1,6307,21,132447,64708,2.046841,0,0,structural_exact,"bitvec selected bits; table_items=31777; bits=12,11; threshold=32; const_groups=59; range_groups=5; table_groups=0; range_items=19; table_items=0",13.383,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=31777; bits=12,11; threshold=32; const_groups=59; range_groups=5; table_groups=0; range_items=19; table_items=0"
ex224,ex224_fp16_log2_bitvec_sign_bit14_t16,fp16_log2,bitvec_sign_bit14_t16,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex224/verilog/ex224_fp16_log2_bitvec_sign_bit14_t16.v,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex224/aigs/ex224_fp16_log2_bitvec_sign_bit14_t16.aig,1,1,1,6364,22,140008,64708,2.163689,0,0,structural_exact,"bitvec selected bits; table_items=31777; bits=15,14; threshold=16; const_groups=63; range_groups=1; table_groups=0; range_items=2; table_items=0",10.293,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=31777; bits=15,14; threshold=16; const_groups=63; range_groups=1; table_groups=0; range_items=2; table_items=0"
ex224,ex224_fp16_log2_bitvec_sign_bits11_12_t32,fp16_log2,bitvec_sign_bits11_12_t32,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex224/verilog/ex224_fp16_log2_bitvec_sign_bits11_12_t32.v,student/work/ex223_ex224_frontend_fp16_bitvec_20260607_0050/ex224/aigs/ex224_fp16_log2_bitvec_sign_bits11_12_t32.aig,1,1,1,6321,22,139062,64708,2.149070,0,0,structural_exact,"bitvec selected bits; table_items=31777; bits=15,12,11; threshold=32; const_groups=59; range_groups=5; table_groups=0; range_items=19; table_items=0",10.396,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=31777; bits=15,12,11; threshold=32; const_groups=59; range_groups=5; table_groups=0; range_items=19; table_items=0"
