case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex267,ex267_udiv_cof_bhi3_a_hi3_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi3_wordmux+abc_g_aig,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/verilog/ex267_udiv_cof_bhi3_a_hi3_wordmux.v,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/aigs/ex267_udiv_cof_bhi3_a_hi3_wordmux_abc_g_aig.aig,1,1,1,371,12,4452,2651,1.679366,0,0,0.368,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi3_wordmux; flow=abc_g_aig
ex267,ex267_udiv_cof_bhi3_a_hi3_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi3_wordmux+wreduce_abc_g_aig,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/verilog/ex267_udiv_cof_bhi3_a_hi3_wordmux.v,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/aigs/ex267_udiv_cof_bhi3_a_hi3_wordmux_wreduce_abc_g_aig.aig,1,1,1,371,12,4452,2651,1.679366,0,0,0.370,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi3_wordmux; flow=wreduce_abc_g_aig
ex267,ex267_udiv_cof_bhi4_a_hi3_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi4_a_hi3_wordmux+abc_g_aig,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/verilog/ex267_udiv_cof_bhi4_a_hi3_wordmux.v,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/aigs/ex267_udiv_cof_bhi4_a_hi3_wordmux_abc_g_aig.aig,1,1,1,376,11,4136,2651,1.560166,0,0,0.417,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi4_a_hi3_wordmux; flow=abc_g_aig
ex267,ex267_udiv_cof_bhi4_a_hi3_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi4_a_hi3_wordmux+wreduce_abc_g_aig,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/verilog/ex267_udiv_cof_bhi4_a_hi3_wordmux.v,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/aigs/ex267_udiv_cof_bhi4_a_hi3_wordmux_wreduce_abc_g_aig.aig,1,1,1,376,11,4136,2651,1.560166,0,0,0.435,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi4_a_hi3_wordmux; flow=wreduce_abc_g_aig
ex267,ex267_udiv_cof_bhi2_bmid2_a_hi3_wordmux_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_bmid2_a_hi3_wordmux+abc_g_aig,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/verilog/ex267_udiv_cof_bhi2_bmid2_a_hi3_wordmux.v,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/aigs/ex267_udiv_cof_bhi2_bmid2_a_hi3_wordmux_abc_g_aig.aig,1,1,1,498,12,5976,2651,2.254244,0,0,0.487,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi2_bmid2_a_hi3_wordmux; flow=abc_g_aig
ex267,ex267_udiv_cof_bhi2_bmid2_a_hi3_wordmux_wreduce_abc_g_aig,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_bmid2_a_hi3_wordmux+wreduce_abc_g_aig,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/verilog/ex267_udiv_cof_bhi2_bmid2_a_hi3_wordmux.v,student/work/ex267_frontend_udiv_deepest_selector_20260609_1755/ex267/aigs/ex267_udiv_cof_bhi2_bmid2_a_hi3_wordmux_wreduce_abc_g_aig.aig,1,1,1,498,12,5976,2651,2.254244,0,0,0.505,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=udiv_cof_bhi2_bmid2_a_hi3_wordmux; flow=wreduce_abc_g_aig
