case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_column_case_carry_abc_g_aig,unsigned low5_high5:a*b,column_case_carry+abc_g_aig,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_column_case_carry.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_column_case_carry_abc_g_aig.aig,1,1,1,201,34,6834,1911,3.576138,0,0,0.447,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=column_case_carry; flow=abc_g_aig
ex256,ex256_umul_column_case_carry_abc_g_aig_d13,unsigned low5_high5:a*b,column_case_carry+abc_g_aig_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_column_case_carry.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_column_case_carry_abc_g_aig_d13.aig,1,1,1,201,34,6834,1911,3.576138,0,0,0.425,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=column_case_carry; flow=abc_g_aig_d13
ex256,ex256_umul_column_case_carry_abc_g_aig_d14,unsigned low5_high5:a*b,column_case_carry+abc_g_aig_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_column_case_carry.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_column_case_carry_abc_g_aig_d14.aig,1,1,1,201,34,6834,1911,3.576138,0,0,0.427,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=column_case_carry; flow=abc_g_aig_d14
ex256,ex256_umul_column_case_carry_synth_preset_d13,unsigned low5_high5:a*b,column_case_carry+synth_preset_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_column_case_carry.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_column_case_carry_synth_preset_d13.aig,1,1,1,178,34,6052,1911,3.166928,0,0,0.522,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=column_case_carry; flow=synth_preset_d13
ex256,ex256_umul_column_case_carry_synth_preset_d14,unsigned low5_high5:a*b,column_case_carry+synth_preset_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_column_case_carry.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_column_case_carry_synth_preset_d14.aig,1,1,1,178,34,6052,1911,3.166928,0,0,0.527,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=column_case_carry; flow=synth_preset_d14
ex256,ex256_umul_column_case_carry_synth_preset_d18,unsigned low5_high5:a*b,column_case_carry+synth_preset_d18,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_column_case_carry.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_column_case_carry_synth_preset_d18.aig,1,1,1,178,34,6052,1911,3.166928,0,0,0.532,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=column_case_carry; flow=synth_preset_d18
ex256,ex256_umul_block_split_lo2_abc_g_aig,unsigned low5_high5:a*b,block_split_lo2+abc_g_aig,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo2_abc_g_aig.aig,1,1,1,152,21,3192,1911,1.670330,0,0,0.230,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo2; flow=abc_g_aig
ex256,ex256_umul_block_split_lo2_abc_g_aig_d13,unsigned low5_high5:a*b,block_split_lo2+abc_g_aig_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo2_abc_g_aig_d13.aig,1,1,1,152,21,3192,1911,1.670330,0,0,0.267,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo2; flow=abc_g_aig_d13
ex256,ex256_umul_block_split_lo2_abc_g_aig_d14,unsigned low5_high5:a*b,block_split_lo2+abc_g_aig_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo2_abc_g_aig_d14.aig,1,1,1,152,21,3192,1911,1.670330,0,0,0.232,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo2; flow=abc_g_aig_d14
ex256,ex256_umul_block_split_lo2_synth_preset_d13,unsigned low5_high5:a*b,block_split_lo2+synth_preset_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo2_synth_preset_d13.aig,1,1,1,157,21,3297,1911,1.725275,0,0,0.271,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo2; flow=synth_preset_d13
ex256,ex256_umul_block_split_lo2_synth_preset_d14,unsigned low5_high5:a*b,block_split_lo2+synth_preset_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo2_synth_preset_d14.aig,1,1,1,157,21,3297,1911,1.725275,0,0,0.274,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo2; flow=synth_preset_d14
