case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex285,ex285_unknown_symbdd_interleave_f10,unknown_symmetry_canonical_bdd,interleave_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/aigs/ex285_unknown_symbdd_interleave_f10.aig,1,1,1,1038,17,17646,0.855,pairs=4:5; order=interleave; invalid_policy=f10; bdd_nodes=595; hash=f0ea3df23118,unknown symmetry-canonical shared-BDD seed
ex285,ex285_unknown_symbdd_interleave_f00,unknown_symmetry_canonical_bdd,interleave_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_interleave_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/aigs/ex285_unknown_symbdd_interleave_f00.aig,1,1,1,1055,18,18990,0.880,pairs=4:5; order=interleave; invalid_policy=f00; bdd_nodes=591; hash=ac300c85ecf6,unknown symmetry-canonical shared-BDD seed
ex285,ex285_unknown_symbdd_interleave_zero,unknown_symmetry_canonical_bdd,interleave_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_interleave_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/aigs/ex285_unknown_symbdd_interleave_zero.aig,1,1,1,1048,17,17816,0.900,pairs=4:5; order=interleave; invalid_policy=zero; bdd_nodes=620; hash=905ff2af01d5,unknown symmetry-canonical shared-BDD seed
ex285,ex285_unknown_symbdd_sym_first_f10,unknown_symmetry_canonical_bdd,sym_first_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_sym_first_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/aigs/ex285_unknown_symbdd_sym_first_f10.aig,1,1,1,4178,20,83560,2.087,pairs=4:5; order=sym_first; invalid_policy=f10; bdd_nodes=2384; hash=e878c12ad789,unknown symmetry-canonical shared-BDD seed
ex285,ex285_unknown_symbdd_sym_first_f00,unknown_symmetry_canonical_bdd,sym_first_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_sym_first_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/aigs/ex285_unknown_symbdd_sym_first_f00.aig,1,1,1,4173,19,79287,1.916,pairs=4:5; order=sym_first; invalid_policy=f00; bdd_nodes=2372; hash=38dd8cd46a77,unknown symmetry-canonical shared-BDD seed
ex285,ex285_unknown_symbdd_sym_first_zero,unknown_symmetry_canonical_bdd,sym_first_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_sym_first_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/aigs/ex285_unknown_symbdd_sym_first_zero.aig,1,1,1,4173,19,79287,2.138,pairs=4:5; order=sym_first; invalid_policy=zero; bdd_nodes=2384; hash=ed95c089f252,unknown symmetry-canonical shared-BDD seed
ex285,ex285_unknown_symbdd_natural_f10,unknown_symmetry_canonical_bdd,natural_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_natural_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/aigs/ex285_unknown_symbdd_natural_f10.aig,1,1,1,4129,19,78451,2.226,pairs=4:5; order=natural; invalid_policy=f10; bdd_nodes=2492; hash=6cd03997363a,unknown symmetry-canonical shared-BDD seed
ex285,ex285_unknown_symbdd_natural_f00,unknown_symmetry_canonical_bdd,natural_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_natural_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/aigs/ex285_unknown_symbdd_natural_f00.aig,1,1,1,3978,19,75582,1.791,pairs=4:5; order=natural; invalid_policy=f00; bdd_nodes=2348; hash=69d4a3162982,unknown symmetry-canonical shared-BDD seed
ex285,ex285_unknown_symbdd_natural_zero,unknown_symmetry_canonical_bdd,natural_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_natural_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/aigs/ex285_unknown_symbdd_natural_zero.aig,1,1,1,3945,19,74955,1.836,pairs=4:5; order=natural; invalid_policy=zero; bdd_nodes=2492; hash=11f4bd9baabe,unknown symmetry-canonical shared-BDD seed
ex286,ex286_unknown_symbdd_interleave_f10,unknown_symmetry_canonical_bdd,interleave_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/aigs/ex286_unknown_symbdd_interleave_f10.aig,1,1,1,1477,18,26586,1.413,pairs=4:5; order=interleave; invalid_policy=f10; bdd_nodes=837; hash=a70b352c8a29,unknown symmetry-canonical shared-BDD seed
ex286,ex286_unknown_symbdd_interleave_f00,unknown_symmetry_canonical_bdd,interleave_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/aigs/ex286_unknown_symbdd_interleave_f00.aig,1,1,1,1465,19,27835,1.419,pairs=4:5; order=interleave; invalid_policy=f00; bdd_nodes=821; hash=5201c9c6d379,unknown symmetry-canonical shared-BDD seed
ex286,ex286_unknown_symbdd_interleave_zero,unknown_symmetry_canonical_bdd,interleave_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/aigs/ex286_unknown_symbdd_interleave_zero.aig,1,1,1,1436,18,25848,1.418,pairs=4:5; order=interleave; invalid_policy=zero; bdd_nodes=852; hash=72b92720987e,unknown symmetry-canonical shared-BDD seed
ex286,ex286_unknown_symbdd_sym_first_f10,unknown_symmetry_canonical_bdd,sym_first_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_sym_first_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/aigs/ex286_unknown_symbdd_sym_first_f10.aig,1,1,1,7065,21,148365,3.564,pairs=4:5; order=sym_first; invalid_policy=f10; bdd_nodes=4307; hash=86fc0addfe15,unknown symmetry-canonical shared-BDD seed
ex286,ex286_unknown_symbdd_sym_first_f00,unknown_symmetry_canonical_bdd,sym_first_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_sym_first_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/aigs/ex286_unknown_symbdd_sym_first_f00.aig,1,1,1,7129,21,149709,4.053,pairs=4:5; order=sym_first; invalid_policy=f00; bdd_nodes=4294; hash=cbe2afcd7cfb,unknown symmetry-canonical shared-BDD seed
ex286,ex286_unknown_symbdd_sym_first_zero,unknown_symmetry_canonical_bdd,sym_first_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_sym_first_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/aigs/ex286_unknown_symbdd_sym_first_zero.aig,1,1,1,7038,20,140760,3.556,pairs=4:5; order=sym_first; invalid_policy=zero; bdd_nodes=4307; hash=1c0493a4792a,unknown symmetry-canonical shared-BDD seed
ex286,ex286_unknown_symbdd_natural_f10,unknown_symmetry_canonical_bdd,natural_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_natural_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/aigs/ex286_unknown_symbdd_natural_f10.aig,1,1,1,6995,20,139900,3.520,pairs=4:5; order=natural; invalid_policy=f10; bdd_nodes=4418; hash=b5b110b66dc1,unknown symmetry-canonical shared-BDD seed
ex286,ex286_unknown_symbdd_natural_f00,unknown_symmetry_canonical_bdd,natural_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_natural_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/aigs/ex286_unknown_symbdd_natural_f00.aig,1,1,1,6945,21,145845,7.384,pairs=4:5; order=natural; invalid_policy=f00; bdd_nodes=4250; hash=f98d149f434e,unknown symmetry-canonical shared-BDD seed
ex286,ex286_unknown_symbdd_natural_zero,unknown_symmetry_canonical_bdd,natural_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_natural_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/aigs/ex286_unknown_symbdd_natural_zero.aig,1,1,1,6829,21,143409,4.070,pairs=4:5; order=natural; invalid_policy=zero; bdd_nodes=4418; hash=3281cffa97c0,unknown symmetry-canonical shared-BDD seed
ex287,ex287_unknown_symbdd_interleave_f10,unknown_symmetry_canonical_bdd,interleave_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/aigs/ex287_unknown_symbdd_interleave_f10.aig,1,1,1,1768,19,33592,2.553,pairs=4:5; order=interleave; invalid_policy=f10; bdd_nodes=1088; hash=581ca563b574,unknown symmetry-canonical shared-BDD seed
ex287,ex287_unknown_symbdd_interleave_f00,unknown_symmetry_canonical_bdd,interleave_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/aigs/ex287_unknown_symbdd_interleave_f00.aig,1,1,1,1771,19,33649,2.545,pairs=4:5; order=interleave; invalid_policy=f00; bdd_nodes=1051; hash=8e26dc54d35a,unknown symmetry-canonical shared-BDD seed
