case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex285,ex285_unknown_symbdd_interleave_f10,unknown_symmetry_canonical_bdd,interleave_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/aigs/ex285_unknown_symbdd_interleave_f10.aig,1038,17,17646,pairs=4:5; order=interleave; invalid_policy=f10; bdd_nodes=595; hash=f0ea3df23118,unknown symmetry-canonical shared-BDD seed
ex286,ex286_unknown_symbdd_interleave_zero,unknown_symmetry_canonical_bdd,interleave_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/verilog/ex286_unknown_symbdd_interleave_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex286/aigs/ex286_unknown_symbdd_interleave_zero.aig,1436,18,25848,pairs=4:5; order=interleave; invalid_policy=zero; bdd_nodes=852; hash=72b92720987e,unknown symmetry-canonical shared-BDD seed
ex287,ex287_unknown_symbdd_interleave_f10,unknown_symmetry_canonical_bdd,interleave_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/aigs/ex287_unknown_symbdd_interleave_f10.aig,1768,19,33592,pairs=4:5; order=interleave; invalid_policy=f10; bdd_nodes=1088; hash=581ca563b574,unknown symmetry-canonical shared-BDD seed
ex288,ex288_unknown_symbdd_interleave_f10,unknown_symmetry_canonical_bdd,interleave_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/aigs/ex288_unknown_symbdd_interleave_f10.aig,1944,20,38880,pairs=4:5; order=interleave; invalid_policy=f10; bdd_nodes=1170; hash=c70c05cc692f,unknown symmetry-canonical shared-BDD seed
ex289,ex289_unknown_symbdd_interleave_f00,unknown_symmetry_canonical_bdd,interleave_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/verilog/ex289_unknown_symbdd_interleave_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/aigs/ex289_unknown_symbdd_interleave_f00.aig,1818,21,38178,pairs=4:5; order=interleave; invalid_policy=f00; bdd_nodes=1070; hash=fe23424961c5,unknown symmetry-canonical shared-BDD seed
