case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop4_abc_g_aig.aig,1,1,1,800,35,28000,15078,1.857010,0,0,0.789,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop4_wreduce_abc_g_aig.aig,1,1,1,797,33,26301,15078,1.744329,0,0,0.793,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop4_synth_preset.aig,1,1,1,798,33,26334,15078,1.746518,0,0,0.991,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=synth_preset
ex273,ex273_square_hybrid_bddtop6_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop6+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop6.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop6_abc_g_aig.aig,1,1,1,1026,32,32832,15078,2.177477,0,0,0.840,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop6; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop6_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop6.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop6_wreduce_abc_g_aig.aig,1,1,1,1028,32,32896,15078,2.181722,0,0,0.880,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop6; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop6_synth_preset,unsigned_square_x_times_x,hybrid_bddtop6+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop6.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop6_synth_preset.aig,1,1,1,1010,31,31310,15078,2.076535,0,0,1.053,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop6; flow=synth_preset
ex273,ex273_square_wallace_square_outside_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel6_abc_g_aig.aig,1,1,1,718,39,28002,15078,1.857143,0,0,0.763,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig
ex273,ex273_square_wallace_square_outside_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel6_wreduce_abc_g_aig.aig,1,1,1,716,39,27924,15078,1.851970,0,0,0.765,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_outside_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel6_synth_preset.aig,1,1,1,715,39,27885,15078,1.849383,0,0,0.914,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=synth_preset
ex273,ex273_square_wallace_square_outside_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel8_abc_g_aig.aig,1,1,1,725,38,27550,15078,1.827165,0,0,0.745,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=abc_g_aig
ex273,ex273_square_wallace_square_outside_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel8_wreduce_abc_g_aig.aig,1,1,1,723,37,26751,15078,1.774174,0,0,0.763,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=wreduce_abc_g_aig
