case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_interval_case_bits_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_interval_case_bits+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_bits.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_bits_wreduce_abc_g_aig.aig,1,1,1,229,11,2519,848,2.970519,0,0,0.395,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_bits; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_interval_case_bits_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_interval_case_bits+synth_preset,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_bits.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_bits_synth_preset.aig,1,1,1,229,11,2519,848,2.970519,0,0,0.412,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_bits; flow=synth_preset
ex266,ex266_udiv_ex266_interval_case_bits_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_interval_case_bits+synth_preset_d8,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_bits.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_bits_synth_preset_d8.aig,1,1,1,229,11,2519,848,2.970519,0,0,0.411,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_bits; flow=synth_preset_d8
ex266,ex266_udiv_ex266_interval_case_bits_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_interval_case_bits+synth_preset_d10,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_bits.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_bits_synth_preset_d10.aig,1,1,1,229,11,2519,848,2.970519,0,0,0.412,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_bits; flow=synth_preset_d10
ex266,ex266_udiv_ex266_interval_case_low2_hiformula_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_interval_case_low2_hiformula+abc_g_aig,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_low2_hiformula.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_low2_hiformula_abc_g_aig.aig,1,1,1,228,11,2508,848,2.957547,0,0,0.350,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_low2_hiformula; flow=abc_g_aig
ex266,ex266_udiv_ex266_interval_case_low2_hiformula_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_interval_case_low2_hiformula+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_low2_hiformula.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_low2_hiformula_wreduce_abc_g_aig.aig,1,1,1,228,11,2508,848,2.957547,0,0,0.350,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_low2_hiformula; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_interval_case_low2_hiformula_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_interval_case_low2_hiformula+synth_preset,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_low2_hiformula.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_low2_hiformula_synth_preset.aig,1,1,1,230,12,2760,848,3.254717,0,0,0.407,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_low2_hiformula; flow=synth_preset
ex266,ex266_udiv_ex266_interval_case_low2_hiformula_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_interval_case_low2_hiformula+synth_preset_d8,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_low2_hiformula.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_low2_hiformula_synth_preset_d8.aig,1,1,1,230,12,2760,848,3.254717,0,0,0.406,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_low2_hiformula; flow=synth_preset_d8
ex266,ex266_udiv_ex266_interval_case_low2_hiformula_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_interval_case_low2_hiformula+synth_preset_d10,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_low2_hiformula.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_low2_hiformula_synth_preset_d10.aig,1,1,1,230,12,2760,848,3.254717,0,0,0.411,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_low2_hiformula; flow=synth_preset_d10
ex266,ex266_udiv_ex266_interval_case_low3_hiformula_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_interval_case_low3_hiformula+abc_g_aig,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_low3_hiformula.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_low3_hiformula_abc_g_aig.aig,1,1,1,225,11,2475,848,2.918632,0,0,0.354,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_low3_hiformula; flow=abc_g_aig
ex266,ex266_udiv_ex266_interval_case_low3_hiformula_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_interval_case_low3_hiformula+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_low3_hiformula.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_low3_hiformula_wreduce_abc_g_aig.aig,1,1,1,225,11,2475,848,2.918632,0,0,0.352,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_low3_hiformula; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_interval_case_low3_hiformula_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_interval_case_low3_hiformula+synth_preset,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_low3_hiformula.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_low3_hiformula_synth_preset.aig,1,1,1,229,12,2748,848,3.240566,0,0,0.408,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_low3_hiformula; flow=synth_preset
ex266,ex266_udiv_ex266_interval_case_low3_hiformula_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_interval_case_low3_hiformula+synth_preset_d8,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_low3_hiformula.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_low3_hiformula_synth_preset_d8.aig,1,1,1,229,12,2748,848,3.240566,0,0,0.410,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_low3_hiformula; flow=synth_preset_d8
ex266,ex266_udiv_ex266_interval_case_low3_hiformula_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_interval_case_low3_hiformula+synth_preset_d10,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/verilog/ex266_udiv_ex266_interval_case_low3_hiformula.v,student/work/ex266_frontend_udiv_formula_interval_20260609_0840/ex266/aigs/ex266_udiv_ex266_interval_case_low3_hiformula_synth_preset_d10.aig,1,1,1,229,12,2748,848,3.240566,0,0,0.412,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_interval_case_low3_hiformula; flow=synth_preset_d10
