case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex276,ex276_isqrt_cofbdd5_reverse_abc_g_aig,unsigned_floor_isqrt,cofbdd5_reverse+abc_g_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd5_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd5_reverse_abc_g_aig.aig,1,1,1,134,10,1340,632,2.120253,0,0,0.268,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd5_reverse; flow=abc_g_aig
ex276,ex276_isqrt_cofbdd5_reverse_wreduce_abc_g_aig,unsigned_floor_isqrt,cofbdd5_reverse+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd5_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd5_reverse_wreduce_abc_g_aig.aig,1,1,1,134,10,1340,632,2.120253,0,0,0.309,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd5_reverse; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_cofbdd5_reverse_arith_wreduce_aig,unsigned_floor_isqrt,cofbdd5_reverse+arith_wreduce_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd5_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd5_reverse_arith_wreduce_aig.aig,1,1,1,134,10,1340,632,2.120253,0,0,0.278,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd5_reverse; flow=arith_wreduce_aig
ex276,ex276_isqrt_cofbdd5_reverse_synth_preset,unsigned_floor_isqrt,cofbdd5_reverse+synth_preset,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd5_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd5_reverse_synth_preset.aig,1,1,1,119,10,1190,632,1.882911,0,0,0.364,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd5_reverse; flow=synth_preset
ex276,ex276_isqrt_cofbdd5_reverse_synth_preset_d6,unsigned_floor_isqrt,cofbdd5_reverse+synth_preset_d6,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd5_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd5_reverse_synth_preset_d6.aig,1,1,1,119,10,1190,632,1.882911,0,0,0.333,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd5_reverse; flow=synth_preset_d6
ex276,ex276_isqrt_cofbdd5_reverse_synth_preset_d8,unsigned_floor_isqrt,cofbdd5_reverse+synth_preset_d8,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd5_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd5_reverse_synth_preset_d8.aig,1,1,1,119,10,1190,632,1.882911,0,0,0.377,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd5_reverse; flow=synth_preset_d8
ex276,ex276_isqrt_cofbdd5_reverse_synth_preset_d10,unsigned_floor_isqrt,cofbdd5_reverse+synth_preset_d10,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd5_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd5_reverse_synth_preset_d10.aig,1,1,1,119,10,1190,632,1.882911,0,0,0.336,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd5_reverse; flow=synth_preset_d10
ex276,ex276_isqrt_cofbdd6_reverse_abc_g_aig,unsigned_floor_isqrt,cofbdd6_reverse+abc_g_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd6_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd6_reverse_abc_g_aig.aig,1,1,1,148,10,1480,632,2.341772,0,0,0.311,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd6_reverse; flow=abc_g_aig
ex276,ex276_isqrt_cofbdd6_reverse_wreduce_abc_g_aig,unsigned_floor_isqrt,cofbdd6_reverse+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd6_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd6_reverse_wreduce_abc_g_aig.aig,1,1,1,148,10,1480,632,2.341772,0,0,0.349,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd6_reverse; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_cofbdd6_reverse_arith_wreduce_aig,unsigned_floor_isqrt,cofbdd6_reverse+arith_wreduce_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd6_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd6_reverse_arith_wreduce_aig.aig,1,1,1,148,10,1480,632,2.341772,0,0,0.315,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd6_reverse; flow=arith_wreduce_aig
ex276,ex276_isqrt_cofbdd6_reverse_synth_preset,unsigned_floor_isqrt,cofbdd6_reverse+synth_preset,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd6_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd6_reverse_synth_preset.aig,1,1,1,142,10,1420,632,2.246835,0,0,0.373,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd6_reverse; flow=synth_preset
