case,metric,key,value,detail
ex289,topk_score_family,singleton_vote:identity:bias=edge,54/604,bit_matches=6420/9664;first=x=0x3;expected=0xc;got=0x6000
ex289,topk_score_family,singleton_vote:identity:bias=desc,54/604,bit_matches=6364/9664;first=x=0x3;expected=0xc;got=0x6000
ex289,topk_score_family,singleton_vote:identity:bias=none,54/604,bit_matches=6364/9664;first=x=0x3;expected=0xc;got=0x6000
ex289,topk_score_family,singleton_vote:identity:bias=center,52/604,bit_matches=6514/9664;first=x=0x3;expected=0xc;got=0x6000
ex289,topk_score_family,singleton_vote:identity:bias=asc,52/604,bit_matches=6504/9664;first=x=0x3;expected=0xc;got=0x6000
ex289,topk_score_family,singleton_distance:identity:bias=edge,26/604,bit_matches=6430/9664;first=x=0x3;expected=0xc;got=0x6000
ex289,topk_score_family,"prefix_suffix:reverse:a=1,b=1,bias=asc",22/604,bit_matches=5980/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"prefix_suffix:reverse:a=1,b=1,bias=desc",22/604,bit_matches=5980/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"prefix_suffix:reverse:a=1,b=1,bias=none",22/604,bit_matches=5980/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"prefix_suffix:reverse:a=3,b=2,bias=desc",20/604,bit_matches=6308/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"prefix_suffix:reverse:a=3,b=2,bias=none",20/604,bit_matches=6308/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"prefix_suffix:reverse:a=2,b=1,bias=desc",19/604,bit_matches=6394/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"prefix_suffix:reverse:a=2,b=1,bias=none",19/604,bit_matches=6394/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"prefix_suffix:reverse:a=2,b=3,bias=asc",19/604,bit_matches=5952/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,singleton_distance:identity:bias=asc,18/604,bit_matches=6418/9664;first=x=0x3;expected=0xc;got=0x6000
ex289,topk_score_family,singleton_distance:identity:bias=desc,18/604,bit_matches=6396/9664;first=x=0x3;expected=0xc;got=0x6000
ex289,topk_score_family,singleton_distance:identity:bias=none,18/604,bit_matches=6396/9664;first=x=0x3;expected=0xc;got=0x6000
ex289,topk_score_family,singleton_distance:identity:bias=center,18/604,bit_matches=6382/9664;first=x=0x3;expected=0xc;got=0x6000
ex289,topk_score_family,"prefix_suffix:reverse:a=3,b=2,bias=asc",18/604,bit_matches=6370/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"prefix_suffix:reverse:a=1,b=2,bias=asc",18/604,bit_matches=5938/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"prefix_suffix:reverse:a=2,b=3,bias=desc",18/604,bit_matches=5902/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"prefix_suffix:reverse:a=2,b=3,bias=none",18/604,bit_matches=5902/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"cyclic_window:identity:bias=asc,radius=2",14/604,bit_matches=6548/9664;first=x=0x1;expected=0x4000;got=0x8000
ex289,topk_score_family,"local_window:identity:bias=asc,radius=2",14/604,bit_matches=6532/9664;first=x=0x1;expected=0x4000;got=0x4
ex289,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=asc",14/604,bit_matches=6476/9664;first=x=0x1;expected=0x4000;got=0x1
ex289,layer_image,w0,1,"rows=1;fixed=0=0,1=0,2=0,3=0,4=0,5=0,6=0,7=0,8=0,9=0,10=0,11=0,12=0,13=0,14=0,15=0"
ex289,layer_image,w1,8,"rows=16;fixed=0=0,3=0,4=0,6=0,8=0,10=0,12=0,15=0"
ex289,layer_image,w2,36,rows=120;fixed=
ex289,layer_image,w3,111,rows=560;fixed=
ex289,layer_image,w4,299,rows=1820;fixed=
ex289,layer_image,w5,542,rows=4368;fixed=
ex289,layer_image,w6,877,rows=8008;fixed=
ex289,layer_image,w7,1052,rows=11440;fixed=
ex289,layer_image,w8,1193,rows=12870;fixed=
ex289,layer_image,w9,1052,rows=11440;fixed=
ex289,layer_image,w10,877,rows=8008;fixed=
ex289,layer_image,w11,542,rows=4368;fixed=
ex289,layer_image,w12,299,rows=1820;fixed=
ex289,layer_image,w13,111,rows=560;fixed=
ex289,layer_image,w14,36,rows=120;fixed=
ex289,layer_image,w15,8,"rows=16;fixed=0=1,3=1,5=1,7=1,9=1,11=1,12=1,15=1"
ex289,layer_image,w16,1,"rows=1;fixed=0=1,1=1,2=1,3=1,4=1,5=1,6=1,7=1,8=1,9=1,10=1,11=1,12=1,13=1,14=1,15=1"
