case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_wallace_square_outside_hcla4_default,unsigned_square_x_times_x,wallace_square_outside_hcla4+default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla4_default.aig,1,1,1,232,20,4640,2076,2.235067,0,0,0.300,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla4; flow=default
ex270,ex270_square_wallace_square_outside_hcla4_wreduce_default,unsigned_square_x_times_x,wallace_square_outside_hcla4+wreduce_default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla4_wreduce_default.aig,1,1,1,244,21,5124,2076,2.468208,0,0,0.256,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla4; flow=wreduce_default
ex270,ex270_square_wallace_square_outside_hcla4_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside_hcla4+no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla4_no_internal_abc.aig,1,1,1,302,26,7852,2076,3.782274,0,0,0.184,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla4; flow=no_internal_abc
ex270,ex270_square_wallace_square_outside_hcla4_wreduce_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside_hcla4+wreduce_no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla4_wreduce_no_internal_abc.aig,1,1,1,302,26,7852,2076,3.782274,0,0,0.186,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla4; flow=wreduce_no_internal_abc
ex270,ex270_square_wallace_square_outside_hcla4_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_hcla4+abc_g_aig,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla4_abc_g_aig.aig,1,1,1,188,20,3760,2076,1.811175,0,0,0.267,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla4; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_hcla6_default,unsigned_square_x_times_x,wallace_square_outside_hcla6+default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla6_default.aig,1,1,1,241,21,5061,2076,2.437861,0,0,0.272,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla6; flow=default
ex270,ex270_square_wallace_square_outside_hcla6_wreduce_default,unsigned_square_x_times_x,wallace_square_outside_hcla6+wreduce_default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla6_wreduce_default.aig,1,1,1,241,21,5061,2076,2.437861,0,0,0.280,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla6; flow=wreduce_default
ex270,ex270_square_wallace_square_outside_hcla6_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside_hcla6+no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla6_no_internal_abc.aig,1,1,1,292,25,7300,2076,3.516378,0,0,0.214,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla6; flow=no_internal_abc
ex270,ex270_square_wallace_square_outside_hcla6_wreduce_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside_hcla6+wreduce_no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla6_wreduce_no_internal_abc.aig,1,1,1,292,25,7300,2076,3.516378,0,0,0.229,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla6; flow=wreduce_no_internal_abc
ex270,ex270_square_wallace_square_outside_hcla6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_hcla6+abc_g_aig,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla6_abc_g_aig.aig,1,1,1,185,21,3885,2076,1.871387,0,0,0.270,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla6; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_default,unsigned_square_x_times_x,wallace_square_outside+default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_default.aig,1,1,1,252,21,5292,2076,2.549133,0,0,0.231,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside; flow=default
