case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix4_bitwise_synth_preset,unsigned_floor_isqrt,prefix4_bitwise+synth_preset,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset.aig,1,1,1,48,7,336,204,1.647059,0,0,0.283,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d6.aig,1,1,1,48,7,336,204,1.647059,0,0,0.322,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d6
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d8.aig,1,1,1,48,7,336,204,1.647059,0,0,0.290,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d8
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d10.aig,1,1,1,48,7,336,204,1.647059,0,0,0.301,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d10
ex275,ex275_isqrt_bdd_outside_abc_g_aig,unsigned_floor_isqrt,bdd_outside+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.196,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_aig
ex275,ex275_isqrt_bdd_outside_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_outside+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_bdd_outside_wreduce_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.196,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_outside_arith_wreduce_aig,unsigned_floor_isqrt,bdd_outside+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_bdd_outside_arith_wreduce_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.196,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_outside_synth_preset,unsigned_floor_isqrt,bdd_outside+synth_preset,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset.aig,1,1,1,42,8,336,204,1.647059,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset
ex275,ex275_isqrt_bdd_outside_synth_preset_d6,unsigned_floor_isqrt,bdd_outside+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d6.aig,1,1,1,42,8,336,204,1.647059,0,0,0.258,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d6
ex275,ex275_isqrt_bdd_outside_synth_preset_d8,unsigned_floor_isqrt,bdd_outside+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d8.aig,1,1,1,42,8,336,204,1.647059,0,0,0.257,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d8
ex275,ex275_isqrt_bdd_outside_synth_preset_d10,unsigned_floor_isqrt,bdd_outside+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d10.aig,1,1,1,42,8,336,204,1.647059,0,0,0.259,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d10
ex276,ex276_isqrt_supporthi1_p4ge_abc_g_aig,unsigned_floor_isqrt,supporthi1_p4ge+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi1_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi1_p4ge_abc_g_aig.aig,1,1,1,114,11,1254,632,1.984177,0,0,0.279,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi1_p4ge; flow=abc_g_aig
ex276,ex276_isqrt_supporthi1_p4ge_wreduce_abc_g_aig,unsigned_floor_isqrt,supporthi1_p4ge+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi1_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi1_p4ge_wreduce_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.278,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi1_p4ge; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_supporthi1_p4ge_arith_wreduce_aig,unsigned_floor_isqrt,supporthi1_p4ge+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi1_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi1_p4ge_arith_wreduce_aig.aig,1,1,1,114,11,1254,632,1.984177,0,0,0.276,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi1_p4ge; flow=arith_wreduce_aig
