case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_supporthi2_p4ge_synth_preset_d6,unsigned_floor_isqrt,supporthi2_p4ge+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi2_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi2_p4ge_synth_preset_d6.aig,1,1,1,47,9,423,204,2.073529,0,0,0.265,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi2_p4ge; flow=synth_preset_d6
ex275,ex275_isqrt_supporthi2_p4ge_synth_preset_d8,unsigned_floor_isqrt,supporthi2_p4ge+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi2_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi2_p4ge_synth_preset_d8.aig,1,1,1,47,9,423,204,2.073529,0,0,0.274,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi2_p4ge; flow=synth_preset_d8
ex275,ex275_isqrt_supporthi2_p4ge_synth_preset_d10,unsigned_floor_isqrt,supporthi2_p4ge+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi2_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi2_p4ge_synth_preset_d10.aig,1,1,1,47,9,423,204,2.073529,0,0,0.271,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi2_p4ge; flow=synth_preset_d10
ex275,ex275_isqrt_supporthi3_p4ge_abc_g_aig,unsigned_floor_isqrt,supporthi3_p4ge+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi3_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi3_p4ge_abc_g_aig.aig,1,1,1,51,7,357,204,1.750000,0,0,0.253,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi3_p4ge; flow=abc_g_aig
ex275,ex275_isqrt_supporthi3_p4ge_wreduce_abc_g_aig,unsigned_floor_isqrt,supporthi3_p4ge+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi3_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi3_p4ge_wreduce_abc_g_aig.aig,1,1,1,49,7,343,204,1.681373,0,0,0.291,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi3_p4ge; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_supporthi3_p4ge_arith_wreduce_aig,unsigned_floor_isqrt,supporthi3_p4ge+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi3_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi3_p4ge_arith_wreduce_aig.aig,1,1,1,50,7,350,204,1.715686,0,0,0.263,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi3_p4ge; flow=arith_wreduce_aig
ex275,ex275_isqrt_supporthi3_p4ge_synth_preset,unsigned_floor_isqrt,supporthi3_p4ge+synth_preset,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi3_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi3_p4ge_synth_preset.aig,1,1,1,44,8,352,204,1.725490,0,0,0.350,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi3_p4ge; flow=synth_preset
ex275,ex275_isqrt_supporthi3_p4ge_synth_preset_d6,unsigned_floor_isqrt,supporthi3_p4ge+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi3_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi3_p4ge_synth_preset_d6.aig,1,1,1,44,8,352,204,1.725490,0,0,0.312,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi3_p4ge; flow=synth_preset_d6
ex275,ex275_isqrt_supporthi3_p4ge_synth_preset_d8,unsigned_floor_isqrt,supporthi3_p4ge+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi3_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi3_p4ge_synth_preset_d8.aig,1,1,1,44,8,352,204,1.725490,0,0,0.347,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi3_p4ge; flow=synth_preset_d8
ex275,ex275_isqrt_supporthi3_p4ge_synth_preset_d10,unsigned_floor_isqrt,supporthi3_p4ge+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_supporthi3_p4ge.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_supporthi3_p4ge_synth_preset_d10.aig,1,1,1,44,8,352,204,1.725490,0,0,0.315,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=supporthi3_p4ge; flow=synth_preset_d10
ex275,ex275_isqrt_prefix4_ge_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_bitwise_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.237,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_bitwise; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_ge_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_bitwise_wreduce_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.226,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_bitwise; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix4_ge_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_bitwise_arith_wreduce_aig.aig,1,1,1,51,9,459,204,2.250000,0,0,0.227,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_bitwise; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix4_ge_bitwise_synth_preset,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_bitwise_synth_preset.aig,1,1,1,51,8,408,204,2.000000,0,0,0.295,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_bitwise; flow=synth_preset
ex275,ex275_isqrt_prefix4_ge_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_bitwise_synth_preset_d6.aig,1,1,1,51,8,408,204,2.000000,0,0,0.287,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_bitwise; flow=synth_preset_d6
ex275,ex275_isqrt_prefix4_ge_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_bitwise_synth_preset_d8.aig,1,1,1,51,8,408,204,2.000000,0,0,0.292,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_bitwise; flow=synth_preset_d8
ex275,ex275_isqrt_prefix4_ge_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_bitwise_synth_preset_d10.aig,1,1,1,51,8,408,204,2.000000,0,0,0.292,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_bitwise; flow=synth_preset_d10
ex275,ex275_isqrt_prefix4_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_bitwise_abc_g_aig.aig,1,1,1,48,7,336,204,1.647059,0,0,0.227,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_bitwise_wreduce_abc_g_aig.aig,1,1,1,48,7,336,204,1.647059,0,0,0.234,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix4_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_bitwise+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_supporthi_p4ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_bitwise_arith_wreduce_aig.aig,1,1,1,47,9,423,204,2.073529,0,0,0.233,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=arith_wreduce_aig
