case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex289,ex289_unknown_duality_symcof_split0_f00_bits_1_2_12_13_onehot_group,unknown_duality_symcof,split0_f00_bits_1_2_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split0_f00_bits_1_2_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split0_f00_bits_1_2_12_13_onehot_group.aig,1,1,1,1330,22,29260,8.498,"duality_wrapper=split0; original_pairs=4:5,6:7,8:9,10:11; pairs=3:4,5:6,7:8,9:10; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:1:11:12; inner_bits=2:3:4:5:6:7:8:9:10:13:14; classes=16; group_nodes=173:178:164:162:157:170:143:160:157:170:143:160:137:146:142:151; total_group_nodes=2513; anf_bits=; popcount_repair_bits=",unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split1_f00_bits_0_2_12_13_onehot_group,unknown_duality_symcof,split1_f00_bits_0_2_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split1_f00_bits_0_2_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split1_f00_bits_0_2_12_13_onehot_group.aig,1,1,1,1312,22,28864,8.706,"duality_wrapper=split1; original_pairs=4:5,6:7,8:9,10:11; pairs=3:4,5:6,7:8,9:10; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:1:11:12; inner_bits=2:3:4:5:6:7:8:9:10:13:14; classes=16; group_nodes=173:178:164:162:157:170:143:160:157:170:143:160:137:146:142:151; total_group_nodes=2513; anf_bits=; popcount_repair_bits=",unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_group,unknown_duality_symcof,split2_f00_bits_0_1_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_group.aig,1,1,1,1097,21,23037,6.587,"duality_wrapper=split2; original_pairs=4:5,6:7,8:9,10:11; pairs=3:4,5:6,7:8,9:10; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:1:11:12; inner_bits=2:3:4:5:6:7:8:9:10:13:14; classes=14; group_nodes=173:178:178:154:157:170:170:141:157:141:137:146:146:150; total_group_nodes=2198; anf_bits=; popcount_repair_bits=",unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split3_f00_bits_1_2_12_13_onehot_group,unknown_duality_symcof,split3_f00_bits_1_2_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_1_2_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split3_f00_bits_1_2_12_13_onehot_group.aig,1,1,1,1335,21,28035,6.949,"duality_wrapper=split3; original_pairs=4:5,6:7,8:9,10:11; pairs=3:4,5:6,7:8,9:10; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=1:2:11:12; inner_bits=0:3:4:5:6:7:8:9:10:13:14; classes=16; group_nodes=172:227:178:182:158:203:167:166:158:203:167:166:163:196:172:156; total_group_nodes=2834; anf_bits=; popcount_repair_bits=",unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split3_f00_bits_0_2_12_13_onehot_group,unknown_duality_symcof,split3_f00_bits_0_2_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_0_2_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split3_f00_bits_0_2_12_13_onehot_group.aig,1,1,1,1409,21,29589,7.015,"duality_wrapper=split3; original_pairs=4:5,6:7,8:9,10:11; pairs=3:4,5:6,7:8,9:10; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:2:11:12; inner_bits=1:3:4:5:6:7:8:9:10:13:14; classes=16; group_nodes=176:223:182:186:162:199:171:170:162:199:171:170:167:192:176:160; total_group_nodes=2866; anf_bits=; popcount_repair_bits=",unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split3_f00_bits_0_1_12_13_onehot_group,unknown_duality_symcof,split3_f00_bits_0_1_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_0_1_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split3_f00_bits_0_1_12_13_onehot_group.aig,1,1,1,1147,21,24087,6.658,"duality_wrapper=split3; original_pairs=4:5,6:7,8:9,10:11; pairs=3:4,5:6,7:8,9:10; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:1:11:12; inner_bits=2:3:4:5:6:7:8:9:10:13:14; classes=14; group_nodes=177:180:180:159:160:169:169:149:160:149:142:147:147:154; total_group_nodes=2242; anf_bits=; popcount_repair_bits=",unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_12_onehot_group,unknown_duality_symcof,split3_f00_bits_0_1_2_12_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_12_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_12_onehot_group.aig,1,1,1,1532,21,32172,7.464,"duality_wrapper=split3; original_pairs=4:5,6:7,8:9,10:11; pairs=3:4,5:6,7:8,9:10; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:1:2:11; inner_bits=3:4:5:6:7:8:9:10:12:13:14; classes=16; group_nodes=153:165:165:153:168:169:169:156:153:164:164:153:168:169:169:156; total_group_nodes=2594; anf_bits=; popcount_repair_bits=",unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_13_onehot_group,unknown_duality_symcof,split3_f00_bits_0_1_2_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_13_onehot_group.aig,1,1,1,1280,21,26880,7.013,"duality_wrapper=split3; original_pairs=4:5,6:7,8:9,10:11; pairs=3:4,5:6,7:8,9:10; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:1:2:12; inner_bits=3:4:5:6:7:8:9:10:11:13:14; classes=16; group_nodes=174:187:187:166:196:207:207:177:169:188:188:163:187:204:204:180; total_group_nodes=2984; anf_bits=; popcount_repair_bits=",unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split12_f00_bits_0_1_2_13_onehot_group,unknown_duality_symcof,split12_f00_bits_0_1_2_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split12_f00_bits_0_1_2_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split12_f00_bits_0_1_2_13_onehot_group.aig,1,1,1,1382,24,33168,6.947,"duality_wrapper=split12; original_pairs=4:5,6:7,8:9,10:11; pairs=4:5,6:7,8:9,10:11; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:1:2:12; inner_bits=3:4:5:6:7:8:9:10:11:13:14; classes=16; group_nodes=210:215:215:170:201:188:188:164:196:203:203:164:182:188:188:168; total_group_nodes=3043; anf_bits=; popcount_repair_bits=",unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split13_f00_bits_0_1_2_12_onehot_group,unknown_duality_symcof,split13_f00_bits_0_1_2_12_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split13_f00_bits_0_1_2_12_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split13_f00_bits_0_1_2_12_onehot_group.aig,1,1,1,1374,23,31602,6.902,"duality_wrapper=split13; original_pairs=4:5,6:7,8:9,10:11; pairs=4:5,6:7,8:9,10:11; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:1:2:12; inner_bits=3:4:5:6:7:8:9:10:11:13:14; classes=16; group_nodes=210:215:215:170:201:188:188:164:196:203:203:164:182:188:188:168; total_group_nodes=3043; anf_bits=; popcount_repair_bits=",unknown duality-wrapped symmetry cofactor seed
