case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,notes
ex289,ex289_unknown_duality_symcof_split0_f00_bits_1_2_12_13_onehot_group,unknown_duality_symcof,split0_f00_bits_1_2_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split0_f00_bits_1_2_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split0_f00_bits_1_2_12_13_onehot_group.aig,1,1,1330,22,29260,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split1_f00_bits_0_2_12_13_onehot_group,unknown_duality_symcof,split1_f00_bits_0_2_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split1_f00_bits_0_2_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split1_f00_bits_0_2_12_13_onehot_group.aig,1,1,1312,22,28864,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_group,unknown_duality_symcof,split2_f00_bits_0_1_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_group.aig,1,1,1097,21,23037,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split3_f00_bits_1_2_12_13_onehot_group,unknown_duality_symcof,split3_f00_bits_1_2_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_1_2_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split3_f00_bits_1_2_12_13_onehot_group.aig,1,1,1335,21,28035,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split3_f00_bits_0_2_12_13_onehot_group,unknown_duality_symcof,split3_f00_bits_0_2_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_0_2_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split3_f00_bits_0_2_12_13_onehot_group.aig,1,1,1409,21,29589,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split3_f00_bits_0_1_12_13_onehot_group,unknown_duality_symcof,split3_f00_bits_0_1_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_0_1_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split3_f00_bits_0_1_12_13_onehot_group.aig,1,1,1147,21,24087,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_12_onehot_group,unknown_duality_symcof,split3_f00_bits_0_1_2_12_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_12_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_12_onehot_group.aig,1,1,1532,21,32172,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_13_onehot_group,unknown_duality_symcof,split3_f00_bits_0_1_2_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split3_f00_bits_0_1_2_13_onehot_group.aig,1,1,1280,21,26880,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split12_f00_bits_0_1_2_13_onehot_group,unknown_duality_symcof,split12_f00_bits_0_1_2_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split12_f00_bits_0_1_2_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split12_f00_bits_0_1_2_13_onehot_group.aig,1,1,1382,24,33168,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split13_f00_bits_0_1_2_12_onehot_group,unknown_duality_symcof,split13_f00_bits_0_1_2_12_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split13_f00_bits_0_1_2_12_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split13_f00_bits_0_1_2_12_onehot_group.aig,1,1,1374,23,31602,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split14_f00_bits_1_2_12_13_onehot_group,unknown_duality_symcof,split14_f00_bits_1_2_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split14_f00_bits_1_2_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split14_f00_bits_1_2_12_13_onehot_group.aig,1,1,1412,24,33888,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split14_f00_bits_0_2_12_13_onehot_group,unknown_duality_symcof,split14_f00_bits_0_2_12_13_onehot_group,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/verilog/ex289_unknown_duality_symcof_split14_f00_bits_0_2_12_13_onehot_group.v,student/work/ex289_frontend_duality_symcof_splitbit_matrix_20260609_1114/ex289/aigs/ex289_unknown_duality_symcof_split14_f00_bits_0_2_12_13_onehot_group.aig,1,1,1494,23,34362,unknown duality-wrapped symmetry cofactor seed
