case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex281,ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_aig,unknown_shared_bdd_13x13,abc_g_aig,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex281/verilog/ex281_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex281/aigs/ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_aig.aig,1,1,1,1123,23,25829,2336,11.056935,0,0,synthflow_exact,Yosys abc gate set aig,0.502,Yosys abc gate set aig,1,25829,0,
ex281,ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_aig_d18,unknown_shared_bdd_13x13,abc_g_aig_d18,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex281/verilog/ex281_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex281/aigs/ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_aig_d18.aig,1,1,1,1123,23,25829,2336,11.056935,0,0,synthflow_exact,Yosys abc gate set aig delay target 18,0.506,Yosys abc gate set aig delay target 18,1,25829,0,
ex281,ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_aig_d19,unknown_shared_bdd_13x13,abc_g_aig_d19,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex281/verilog/ex281_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex281/aigs/ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_aig_d19.aig,1,1,1,1123,23,25829,2336,11.056935,0,0,synthflow_exact,Yosys abc gate set aig delay target 19,0.503,Yosys abc gate set aig delay target 19,1,25829,0,
ex281,ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_aig_d20,unknown_shared_bdd_13x13,abc_g_aig_d20,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex281/verilog/ex281_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex281/aigs/ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_aig_d20.aig,1,1,1,1123,23,25829,2336,11.056935,0,0,synthflow_exact,Yosys abc gate set aig delay target 20,0.500,Yosys abc gate set aig delay target 20,1,25829,0,
ex281,ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_aig_d21,unknown_shared_bdd_13x13,abc_g_aig_d21,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex281/verilog/ex281_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex281/aigs/ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_aig_d21.aig,1,1,1,1123,23,25829,2336,11.056935,0,0,synthflow_exact,Yosys abc gate set aig delay target 21,0.496,Yosys abc gate set aig delay target 21,1,25829,0,
ex281,ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_and_mux,unknown_shared_bdd_13x13,abc_g_and_mux,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex281/verilog/ex281_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex281/aigs/ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_abc_g_and_mux.aig,1,1,1,1200,24,28800,2336,12.328767,0,0,synthflow_exact,"Yosys abc gate set AND,MUX",0.510,"Yosys abc gate set AND,MUX",1,28800,0,
ex281,ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_extra_opt_share,unknown_shared_bdd_13x13,extra_opt_share,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex281/verilog/ex281_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex281/aigs/ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_extra_opt_share.aig,1,1,1,1179,23,27117,2336,11.608305,0,0,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap,0.513,extra opt_reduce/opt_muxtree/wreduce/share before techmap,1,27117,0,
ex281,ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_no_internal_abc,unknown_shared_bdd_13x13,no_internal_abc,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex281/verilog/ex281_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex281/aigs/ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_no_internal_abc.aig,1,1,1,1226,24,29424,2336,12.595890,0,0,synthflow_exact,skip Yosys internal abc pass,0.364,skip Yosys internal abc pass,1,29424,0,
ex281,ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_synth_preset,unknown_shared_bdd_13x13,synth_preset,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex281/verilog/ex281_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex281/aigs/ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_synth_preset.aig,1,1,1,1158,22,25476,2336,10.905822,0,0,synthflow_exact,Yosys synth preset with flatten,0.666,Yosys synth preset with flatten,1,25476,0,
ex282,ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig,unknown_shared_bdd_14x14,abc_g_aig,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex282/verilog/ex282_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex282/aigs/ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig.aig,1,1,1,1313,24,31512,2704,11.653846,0,0,synthflow_exact,Yosys abc gate set aig,0.638,Yosys abc gate set aig,1,31512,0,
ex282,ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig_d18,unknown_shared_bdd_14x14,abc_g_aig_d18,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex282/verilog/ex282_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex282/aigs/ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig_d18.aig,1,1,1,1313,24,31512,2704,11.653846,0,0,synthflow_exact,Yosys abc gate set aig delay target 18,0.654,Yosys abc gate set aig delay target 18,1,31512,0,
ex282,ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig_d19,unknown_shared_bdd_14x14,abc_g_aig_d19,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex282/verilog/ex282_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex282/aigs/ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig_d19.aig,1,1,1,1313,24,31512,2704,11.653846,0,0,synthflow_exact,Yosys abc gate set aig delay target 19,0.645,Yosys abc gate set aig delay target 19,1,31512,0,
ex282,ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig_d20,unknown_shared_bdd_14x14,abc_g_aig_d20,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex282/verilog/ex282_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex282/aigs/ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig_d20.aig,1,1,1,1313,24,31512,2704,11.653846,0,0,synthflow_exact,Yosys abc gate set aig delay target 20,0.635,Yosys abc gate set aig delay target 20,1,31512,0,
ex282,ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig_d21,unknown_shared_bdd_14x14,abc_g_aig_d21,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex282/verilog/ex282_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex282/aigs/ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig_d21.aig,1,1,1,1313,24,31512,2704,11.653846,0,0,synthflow_exact,Yosys abc gate set aig delay target 21,0.637,Yosys abc gate set aig delay target 21,1,31512,0,
ex282,ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_and_mux,unknown_shared_bdd_14x14,abc_g_and_mux,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex282/verilog/ex282_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex282/aigs/ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_and_mux.aig,1,1,1,1439,26,37414,2704,13.836538,0,0,synthflow_exact,"Yosys abc gate set AND,MUX",0.649,"Yosys abc gate set AND,MUX",1,37414,0,
ex282,ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_extra_opt_share,unknown_shared_bdd_14x14,extra_opt_share,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex282/verilog/ex282_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex282/aigs/ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_extra_opt_share.aig,1,1,1,1404,25,35100,2704,12.980769,0,0,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap,0.645,extra opt_reduce/opt_muxtree/wreduce/share before techmap,1,35100,0,
ex282,ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_no_internal_abc,unknown_shared_bdd_14x14,no_internal_abc,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex282/verilog/ex282_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex282/aigs/ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_no_internal_abc.aig,1,1,1,1452,26,37752,2704,13.961538,0,0,synthflow_exact,skip Yosys internal abc pass,0.525,skip Yosys internal abc pass,1,37752,0,
ex282,ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_synth_preset,unknown_shared_bdd_14x14,synth_preset,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex282/verilog/ex282_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex282/aigs/ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_synth_preset.aig,1,1,1,1365,26,35490,2704,13.125000,0,0,synthflow_exact,Yosys synth preset with flatten,0.812,Yosys synth preset with flatten,1,35490,0,
ex283,ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig,unknown_shared_bdd_15x15,abc_g_aig,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex283/verilog/ex283_unknown_shared_bdd_15x15_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex283/aigs/ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig.aig,1,1,1,1494,26,38844,3168,12.261364,0,0,synthflow_exact,Yosys abc gate set aig,0.948,Yosys abc gate set aig,1,38844,0,
ex283,ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig_d18,unknown_shared_bdd_15x15,abc_g_aig_d18,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex283/verilog/ex283_unknown_shared_bdd_15x15_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex283/aigs/ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig_d18.aig,1,1,1,1494,26,38844,3168,12.261364,0,0,synthflow_exact,Yosys abc gate set aig delay target 18,0.944,Yosys abc gate set aig delay target 18,1,38844,0,
ex283,ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig_d19,unknown_shared_bdd_15x15,abc_g_aig_d19,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex283/verilog/ex283_unknown_shared_bdd_15x15_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex283/aigs/ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig_d19.aig,1,1,1,1494,26,38844,3168,12.261364,0,0,synthflow_exact,Yosys abc gate set aig delay target 19,0.944,Yosys abc gate set aig delay target 19,1,38844,0,
ex283,ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig_d20,unknown_shared_bdd_15x15,abc_g_aig_d20,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex283/verilog/ex283_unknown_shared_bdd_15x15_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex283/aigs/ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig_d20.aig,1,1,1,1494,26,38844,3168,12.261364,0,0,synthflow_exact,Yosys abc gate set aig delay target 20,0.981,Yosys abc gate set aig delay target 20,1,38844,0,
ex283,ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig_d21,unknown_shared_bdd_15x15,abc_g_aig_d21,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex283/verilog/ex283_unknown_shared_bdd_15x15_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex283/aigs/ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig_d21.aig,1,1,1,1494,26,38844,3168,12.261364,0,0,synthflow_exact,Yosys abc gate set aig delay target 21,0.946,Yosys abc gate set aig delay target 21,1,38844,0,
ex283,ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_and_mux,unknown_shared_bdd_15x15,abc_g_and_mux,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex283/verilog/ex283_unknown_shared_bdd_15x15_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex283/aigs/ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_and_mux.aig,1,1,1,1636,27,44172,3168,13.943182,0,0,synthflow_exact,"Yosys abc gate set AND,MUX",0.974,"Yosys abc gate set AND,MUX",1,44172,0,
ex283,ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_extra_opt_share,unknown_shared_bdd_15x15,extra_opt_share,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex283/verilog/ex283_unknown_shared_bdd_15x15_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex283/aigs/ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_extra_opt_share.aig,1,1,1,1638,27,44226,3168,13.960227,0,0,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap,0.968,extra opt_reduce/opt_muxtree/wreduce/share before techmap,1,44226,0,
