case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex258,ex258_umul_booth_radix4_abc_g_aig_d20,1,346,37,12802,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/aigs/ex258_umul_booth_radix4_abc_g_aig_d20.aig,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=abc_g_aig_d20
ex258,ex258_umul_booth_radix4_abc_g_aig_d28,1,346,37,12802,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/aigs/ex258_umul_booth_radix4_abc_g_aig_d28.aig,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=abc_g_aig_d28
ex258,ex258_umul_booth_radix4_synth_preset_d20,1,389,35,13615,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/aigs/ex258_umul_booth_radix4_synth_preset_d20.aig,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=synth_preset_d20
ex258,ex258_umul_booth_radix4_synth_preset_d28,1,389,35,13615,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/aigs/ex258_umul_booth_radix4_synth_preset_d28.aig,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=synth_preset_d28
ex259,ex259_umul_booth_radix4_default,0,,,,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=default
ex259,ex259_umul_booth_radix4_abc_g_aig,0,,,,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=abc_g_aig
ex259,ex259_umul_booth_radix4_synth_preset,0,,,,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=synth_preset
ex259,ex259_umul_booth_radix4_abc_g_aig_d20,0,,,,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_abc_g_aig_d20.aig,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=abc_g_aig_d20
ex259,ex259_umul_booth_radix4_abc_g_aig_d28,0,,,,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_abc_g_aig_d28.aig,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=abc_g_aig_d28
ex259,ex259_umul_booth_radix4_synth_preset_d20,0,,,,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_synth_preset_d20.aig,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=synth_preset_d20
ex259,ex259_umul_booth_radix4_synth_preset_d28,0,,,,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_synth_preset_d28.aig,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=synth_preset_d28
