case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_booth_radix4_default,unsigned low4_high4:a*b,booth_radix4+default,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/aigs/ex255_umul_booth_radix4_default.aig,1,1,0,,,,836,,,,0.200,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=default
ex255,ex255_umul_booth_radix4_abc_g_aig,unsigned low4_high4:a*b,booth_radix4+abc_g_aig,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/aigs/ex255_umul_booth_radix4_abc_g_aig.aig,1,1,0,,,,836,,,,0.195,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=abc_g_aig
ex255,ex255_umul_booth_radix4_synth_preset,unsigned low4_high4:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/aigs/ex255_umul_booth_radix4_synth_preset.aig,1,1,0,,,,836,,,,0.260,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=synth_preset
ex255,ex255_umul_booth_radix4_abc_g_aig_d20,unsigned low4_high4:a*b,booth_radix4+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/aigs/ex255_umul_booth_radix4_abc_g_aig_d20.aig,1,1,0,,,,836,,,,0.196,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=abc_g_aig_d20
ex255,ex255_umul_booth_radix4_abc_g_aig_d28,unsigned low4_high4:a*b,booth_radix4+abc_g_aig_d28,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/aigs/ex255_umul_booth_radix4_abc_g_aig_d28.aig,1,1,0,,,,836,,,,0.193,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=abc_g_aig_d28
ex255,ex255_umul_booth_radix4_synth_preset_d20,unsigned low4_high4:a*b,booth_radix4+synth_preset_d20,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/aigs/ex255_umul_booth_radix4_synth_preset_d20.aig,1,1,0,,,,836,,,,0.259,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=synth_preset_d20
ex255,ex255_umul_booth_radix4_synth_preset_d28,unsigned low4_high4:a*b,booth_radix4+synth_preset_d28,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/aigs/ex255_umul_booth_radix4_synth_preset_d28.aig,1,1,0,,,,836,,,,0.270,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=synth_preset_d28
ex256,ex256_umul_booth_radix4_default,unsigned low5_high5:a*b,booth_radix4+default,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/verilog/ex256_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/aigs/ex256_umul_booth_radix4_default.aig,1,1,1,181,25,4525,1911,2.367870,0,0,0.258,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=default
ex256,ex256_umul_booth_radix4_abc_g_aig,unsigned low5_high5:a*b,booth_radix4+abc_g_aig,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/verilog/ex256_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/aigs/ex256_umul_booth_radix4_abc_g_aig.aig,1,1,1,176,25,4400,1911,2.302459,0,0,0.263,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=abc_g_aig
ex256,ex256_umul_booth_radix4_synth_preset,unsigned low5_high5:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/verilog/ex256_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/aigs/ex256_umul_booth_radix4_synth_preset.aig,1,1,1,179,22,3938,1911,2.060701,0,0,0.343,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=synth_preset
ex256,ex256_umul_booth_radix4_abc_g_aig_d20,unsigned low5_high5:a*b,booth_radix4+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/verilog/ex256_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/aigs/ex256_umul_booth_radix4_abc_g_aig_d20.aig,1,1,1,176,25,4400,1911,2.302459,0,0,0.265,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=abc_g_aig_d20
