case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_restoring_gt_guard_synth_preset,unsigned low4_high4:a/b dbz=max,restoring_gt_guard+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_restoring_gt_guard_synth_preset.aig,1,1,1,52,17,884,322,2.745342,0,0,0.298,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_gt_guard; flow=synth_preset
ex265,ex265_udiv_case_denominator_manual_default,unsigned low4_high4:a/b dbz=max,case_denominator_manual+default,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_case_denominator_manual_default.aig,1,0,0,,,,322,,,,0.014,semantic_udiv_exact,SynthError: Yosys failed exit=1; see student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/logs/ex265_udiv_case_denominator_manual_default.yosys.log
ex265,ex265_udiv_case_denominator_manual_abc_g_aig,unsigned low4_high4:a/b dbz=max,case_denominator_manual+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_case_denominator_manual_abc_g_aig.aig,1,0,0,,,,322,,,,0.013,semantic_udiv_exact,SynthError: Yosys failed exit=1; see student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/logs/ex265_udiv_case_denominator_manual_abc_g_aig.yosys.log
ex265,ex265_udiv_case_denominator_manual_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,case_denominator_manual+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_case_denominator_manual_wreduce_abc_g_aig.aig,1,0,0,,,,322,,,,0.011,semantic_udiv_exact,SynthError: Yosys failed exit=1; see student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/logs/ex265_udiv_case_denominator_manual_wreduce_abc_g_aig.yosys.log
ex265,ex265_udiv_case_denominator_manual_synth_preset,unsigned low4_high4:a/b dbz=max,case_denominator_manual+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_case_denominator_manual_synth_preset.aig,1,0,0,,,,322,,,,0.013,semantic_udiv_exact,SynthError: Yosys failed exit=1; see student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/logs/ex265_udiv_case_denominator_manual_synth_preset.yosys.log
ex265,ex265_udiv_case_dividend_ranges_default,unsigned low4_high4:a/b dbz=max,case_dividend_ranges+default,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_case_dividend_ranges_default.aig,1,1,0,,,,322,,,,0.231,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=default
ex265,ex265_udiv_case_dividend_ranges_abc_g_aig,unsigned low4_high4:a/b dbz=max,case_dividend_ranges+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_case_dividend_ranges_abc_g_aig.aig,1,1,0,,,,322,,,,0.232,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=abc_g_aig
ex265,ex265_udiv_case_dividend_ranges_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,case_dividend_ranges+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_case_dividend_ranges_wreduce_abc_g_aig.aig,1,1,0,,,,322,,,,0.239,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=wreduce_abc_g_aig
ex265,ex265_udiv_case_dividend_ranges_synth_preset,unsigned low4_high4:a/b dbz=max,case_dividend_ranges+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_case_dividend_ranges_synth_preset.aig,1,1,0,,,,322,,,,0.294,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=synth_preset
ex265,ex265_udiv_threshold_desc_default,unsigned low4_high4:a/b dbz=max,threshold_desc+default,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_threshold_desc_default.aig,1,1,0,,,,322,,,,0.275,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=default
