case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex255,ex255_umul_wallace_bits_abc_g_aig,unsigned low4_high4:a*b,wallace_bits+abc_g_aig,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig.aig,87,13,1131,836,1.352871,1,0,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=abc_g_aig
ex256,ex256_umul_wallace_bits_abc_g_aig,unsigned low5_high5:a*b,wallace_bits+abc_g_aig,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex256/aigs/ex256_umul_wallace_bits_abc_g_aig.aig,158,20,3160,1911,1.653585,0,0,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=abc_g_aig
ex257,ex257_umul_wallace_bits_prefix_abc_g_aig,unsigned low6_high6:a*b,wallace_bits_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex257/verilog/ex257_umul_wallace_bits_prefix.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex257/aigs/ex257_umul_wallace_bits_prefix_abc_g_aig.aig,245,23,5635,3952,1.425860,1,0,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=wallace_bits_prefix; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_abc_g_aig,unsigned low7_high7:a*b,wallace_bits+abc_g_aig,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex258/verilog/ex258_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig.aig,351,25,8775,6289,1.395293,1,0,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=wallace_bits; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_prefix_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex259/verilog/ex259_umul_wallace_bits_prefix.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex259/aigs/ex259_umul_wallace_bits_prefix_abc_g_aig.aig,483,28,13524,10000,1.352400,1,0,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=wallace_bits_prefix; flow=abc_g_aig
