case,best_area,best_delay,best_adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,candidate_id,notes
ex255,87,13,1131,836,1.352871,1,0,ex255_umul_wallace_bits_abc_g_aig,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=abc_g_aig
ex256,158,20,3160,1911,1.653585,0,0,ex256_umul_wallace_bits_abc_g_aig,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=abc_g_aig
ex257,245,23,5635,3952,1.425860,1,0,ex257_umul_wallace_bits_prefix_abc_g_aig,exact unsigned low6 * high6 over 4096 inputs; source=wallace_bits_prefix; flow=abc_g_aig
ex258,351,25,8775,6289,1.395293,1,0,ex258_umul_wallace_bits_abc_g_aig,exact unsigned low7 * high7 over 16384 inputs; source=wallace_bits; flow=abc_g_aig
ex259,483,28,13524,10000,1.352400,1,0,ex259_umul_wallace_bits_prefix_abc_g_aig,exact unsigned low8 * high8 over 65536 inputs; source=wallace_bits_prefix; flow=abc_g_aig
