case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_bdd_qor_order0_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_qor_order0+abc_g_aig,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/verilog/ex266_udiv_bdd_qor_order0.v,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_abc_g_aig.aig,1,1,1,160,13,2080,848,2.452830,0,0,0.220,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=abc_g_aig
ex266,ex266_udiv_bdd_qor_order0_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_qor_order0+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/verilog/ex266_udiv_bdd_qor_order0.v,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_wreduce_abc_g_aig.aig,1,1,1,160,13,2080,848,2.452830,0,0,0.223,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_qor_order0_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_qor_order0+synth_preset,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/verilog/ex266_udiv_bdd_qor_order0.v,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_synth_preset.aig,1,1,1,151,13,1963,848,2.314858,0,0,0.296,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=synth_preset
ex266,ex266_udiv_bdd_qor_order0_synth_preset_d8,unsigned low5_high5:a/b dbz=max,bdd_qor_order0+synth_preset_d8,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/verilog/ex266_udiv_bdd_qor_order0.v,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_synth_preset_d8.aig,1,1,1,151,13,1963,848,2.314858,0,0,0.292,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=synth_preset_d8
ex266,ex266_udiv_bdd_qor_order0_synth_preset_d10,unsigned low5_high5:a/b dbz=max,bdd_qor_order0+synth_preset_d10,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/verilog/ex266_udiv_bdd_qor_order0.v,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_synth_preset_d10.aig,1,1,1,151,13,1963,848,2.314858,0,0,0.291,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=synth_preset_d10
ex266,ex266_udiv_bdd_qor_order0_synth_preset_d12,unsigned low5_high5:a/b dbz=max,bdd_qor_order0+synth_preset_d12,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/verilog/ex266_udiv_bdd_qor_order0.v,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order0_synth_preset_d12.aig,1,1,1,151,13,1963,848,2.314858,0,0,0.295,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order0; flow=synth_preset_d12
ex266,ex266_udiv_bdd_qor_order1_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_qor_order1+abc_g_aig,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/verilog/ex266_udiv_bdd_qor_order1.v,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order1_abc_g_aig.aig,1,1,1,161,13,2093,848,2.468160,0,0,0.219,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order1; flow=abc_g_aig
ex266,ex266_udiv_bdd_qor_order1_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_qor_order1+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/verilog/ex266_udiv_bdd_qor_order1.v,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order1_wreduce_abc_g_aig.aig,1,1,1,161,13,2093,848,2.468160,0,0,0.224,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order1; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_qor_order1_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_qor_order1+synth_preset,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/verilog/ex266_udiv_bdd_qor_order1.v,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order1_synth_preset.aig,1,1,1,148,13,1924,848,2.268868,0,0,0.304,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order1; flow=synth_preset
ex266,ex266_udiv_bdd_qor_order1_synth_preset_d8,unsigned low5_high5:a/b dbz=max,bdd_qor_order1+synth_preset_d8,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/verilog/ex266_udiv_bdd_qor_order1.v,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order1_synth_preset_d8.aig,1,1,1,148,13,1924,848,2.268868,0,0,0.303,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order1; flow=synth_preset_d8
ex266,ex266_udiv_bdd_qor_order1_synth_preset_d10,unsigned low5_high5:a/b dbz=max,bdd_qor_order1+synth_preset_d10,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/verilog/ex266_udiv_bdd_qor_order1.v,student/work/ex266_frontend_udiv_bdd_qor_orders_20260609_0958/ex266/aigs/ex266_udiv_bdd_qor_order1_synth_preset_d10.aig,1,1,1,148,13,1924,848,2.268868,0,0,0.305,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_qor_order1; flow=synth_preset_d10
