case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18,1,1,186,29,5394,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18.aig,Yosys abc gate set aig delay target 18
ex280,ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19,1,1,186,29,5394,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19.aig,Yosys abc gate set aig delay target 19
ex280,ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d20,1,1,186,29,5394,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d20.aig,Yosys abc gate set aig delay target 20
ex280,ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d21,1,1,186,29,5394,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d21.aig,Yosys abc gate set aig delay target 21
ex281,ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18,1,1,205,30,6150,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18.aig,Yosys abc gate set aig delay target 18
ex281,ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19,1,1,205,30,6150,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19.aig,Yosys abc gate set aig delay target 19
ex281,ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d20,1,1,205,30,6150,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d20.aig,Yosys abc gate set aig delay target 20
ex281,ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d21,1,1,205,30,6150,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d21.aig,Yosys abc gate set aig delay target 21
ex282,ex282_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18,1,1,228,33,7524,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex282/aigs/ex282_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d18.aig,Yosys abc gate set aig delay target 18
ex282,ex282_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19,1,1,228,33,7524,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_synthflow_d_20260609_0142/ex282/aigs/ex282_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig_d19.aig,Yosys abc gate set aig delay target 19
