agent_id,domain,case,candidate,method_signature,old_area,old_delay,old_adp,new_area,new_delay,new_adp,improvement_adp,verilog_path,aig_path,log_path,source_csv,notes
unknown-large-r4,unknown,ex292,ex292_r4_adjacent_mod7_mask_mix,ex292|global_state_output_plane_mix|adjacent_mod7_over_mod4_base|mod4_base_adjacent_mid_pairs_mod7_edge_bits|yosys_internal_abc_g_aig|official_evaluate|mixed_planes_0_2_3_7_10_11_13,6789,20,135780,6760,20,135200,580,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex292/verilog/ex292_r4_adjacent_mod7_mask_mix.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex292/aigs/ex292_r4_adjacent_mod7_mask_mix.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex292/logs/ex292_r4_adjacent_mod7_mask_mix.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/best_improvements.csv,official evaluate.py OK candidate beats target frontend snapshot
fp8-tail-transfer-r2,float_fp8,ex247,ex247_r2_lowpred_truth_case_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|tail-direct table with 16-row low residual truth case|low_step/pat table only covers the low-underflow residual|abc_g_aig_frontend|official_evaluate|lowpred_truth_case,251,26,6526,249,26,6474,52,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/verilog/ex247_r2_lowpred_truth_case_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/aigs/ex247_r2_lowpred_truth_case_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/logs/ex247_r2_lowpred_truth_case_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/best_improvements.csv,Continuation of r4 breakthrough; ports the r5 area cut into this shard.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/logs/ex247_r2_lowpred_truth_case_abc_g_aig_frontend.yosys.log
fp8-tail-transfer-r2,float_fp8,ex247,ex247_r2_lowpred_step_mux_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|tail-direct table with low residual selected by low_step mux|step2 and step3 residual rows are named once and selected by low_step|abc_g_aig_frontend|official_evaluate|lowpred_step_mux,251,26,6526,250,26,6500,26,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/verilog/ex247_r2_lowpred_step_mux_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/aigs/ex247_r2_lowpred_step_mux_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/logs/ex247_r2_lowpred_step_mux_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/best_improvements.csv,Second low-tail predicate spelling to test area sensitivity.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/logs/ex247_r2_lowpred_step_mux_abc_g_aig_frontend.yosys.log
fp16-extra-r2,fp16,ex221,ex221_varying_signexp_nested_low10_hi5_abc_g_aig,ex221|fp16_exp2_field_shell|active_signexp_nested_low10_hi5|shared sign-exp decode plus high output run trees and low10 nested LUT|yosys_abc_g_aig|abc_xf_official_evaluate|active_signexp_low10_hi5,6974,22,153428,6811,18,122598,30830,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/verilog/ex221_varying_signexp_nested_low10_hi5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/aigs/ex221_varying_signexp_nested_low10_hi5_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/official_eval/ex221_varying_signexp_nested_low10_hi5_abc_g_aig/ex221_varying_signexp_nested_low10_hi5_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/best_improvements.csv,"truth-derived active sign-exp nested low table; active_groups=31; special_const_groups=33; special_full_groups=0; special_items=33; low_width=10; nested_hi=5; nested_lo=5; low_items=20336; const_buckets=368; b15:runs=31,max=1,const_groups=31; b14:runs=32,max=2,const_groups=30; b13:runs=34,max=2,const_groups=28; b12:runs=38,max=3,const_groups=25; b11:runs=46,max=5,const_groups=23; b10:runs=58,max=8,const_groups=22; truth-derived source exact by construction; official_status=OK"
fp16-extra-r2,fp16,ex221,ex221_varying_signexp_nested_low9_hi6_abc_g_aig,ex221|fp16_exp2_field_shell|active_signexp_nested_low9_hi6|shared sign-exp decode plus high output run trees and low9 nested LUT|yosys_abc_g_aig|abc_xf_official_evaluate|active_signexp_low9_hi6,6974,22,153428,7565,18,136170,17258,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/verilog/ex221_varying_signexp_nested_low9_hi6.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/aigs/ex221_varying_signexp_nested_low9_hi6_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/official_eval/ex221_varying_signexp_nested_low9_hi6_abc_g_aig/ex221_varying_signexp_nested_low9_hi6_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/best_improvements.csv,"truth-derived active sign-exp nested low table; active_groups=31; special_const_groups=33; special_full_groups=0; special_items=33; low_width=9; nested_hi=6; nested_lo=4; low_items=18604; const_buckets=876; b15:runs=31,max=1,const_groups=31; b14:runs=32,max=2,const_groups=30; b13:runs=34,max=2,const_groups=28; b12:runs=38,max=3,const_groups=25; b11:runs=46,max=5,const_groups=23; b10:runs=58,max=8,const_groups=22; b9:runs=88,max=16,const_groups=18; truth-derived source exact by construction; official_status=OK"
fp16-extra-r2,fp16,ex221,ex221_varying_signexp_wordmode_mh5_abc_g_aig,ex221|fp16_exp2_field_shell|active_signexp_wordmode_mh5|shared sign-exp decode plus per mant_hi mode default residuals|yosys_abc_g_aig|abc_xf_official_evaluate|wordmode_mant_hi5,6974,22,153428,7042,18,126756,26672,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/verilog/ex221_varying_signexp_wordmode_mh5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/aigs/ex221_varying_signexp_wordmode_mh5_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/official_eval/ex221_varying_signexp_wordmode_mh5_abc_g_aig/ex221_varying_signexp_wordmode_mh5_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/best_improvements.csv,truth-derived word-mode defaults by sign_exp and mant_hi; active_groups=31; mant_hi=5; buckets=992; const_buckets=367; overrides=14874; special_const_groups=33; special_full_groups=0; special_items=33; truth-derived source exact by construction; official_status=OK
fp16-extra-r2,fp16,ex229,ex229_odd_nested_low10_hi6_abc_g_aig,"ex229|fp16_tanh_odd_transition_shell|positive_exp_nested_low10_hi6|shared positive exp decode, high output run trees, and sign xor symmetry|yosys_abc_g_aig|abc_xf_official_evaluate|odd_positive_low10_hi6",3988,21,83748,3919,17,66623,17125,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/verilog/ex229_odd_nested_low10_hi6.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/aigs/ex229_odd_nested_low10_hi6_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/official_eval/ex229_odd_nested_low10_hi6_abc_g_aig/ex229_odd_nested_low10_hi6_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/best_improvements.csv,odd tanh positive-domain nested active exps 1..17; pos_special_const_exp=14; pos_special_full_exp=1; pos_special_items=1038; pos_low_width=10; nested_hi=6; pos_low_items=16088; pos_b15_runs=17; pos_b14_runs=17; pos_b13_runs=17; pos_b12_runs=18; pos_b11_runs=20; pos_b10_runs=23; python model exact; official_status=OK
fp16-extra-r2,fp16,ex229,ex229_odd_nested_low9_hi6_abc_g_aig,"ex229|fp16_tanh_odd_transition_shell|positive_exp_nested_low9_hi6|shared positive exp decode, high output run trees, and sign xor symmetry|yosys_abc_g_aig|abc_xf_official_evaluate|odd_positive_low9_hi6",3988,21,83748,3957,16,63312,20436,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/verilog/ex229_odd_nested_low9_hi6.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/aigs/ex229_odd_nested_low9_hi6_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/official_eval/ex229_odd_nested_low9_hi6_abc_g_aig/ex229_odd_nested_low9_hi6_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/best_improvements.csv,odd tanh positive-domain nested active exps 1..17; pos_special_const_exp=14; pos_special_full_exp=1; pos_special_items=1038; pos_low_width=9; nested_hi=6; pos_low_items=16088; pos_b15_runs=17; pos_b14_runs=17; pos_b13_runs=17; pos_b12_runs=18; pos_b11_runs=20; pos_b10_runs=23; pos_b9_runs=37; python model exact; official_status=OK
fp16-extra-r2,fp16,ex229,ex229_odd_wordmode_mh5_abc_g_aig,"ex229|fp16_tanh_odd_transition_shell|positive_exp_wordmode_mh5|shared positive exp decode, per mant_hi residual defaults, and sign xor symmetry|yosys_abc_g_aig|abc_xf_official_evaluate|odd_positive_wordmode_mant_hi5",3988,21,83748,3776,18,67968,15780,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/verilog/ex229_odd_wordmode_mh5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/aigs/ex229_odd_wordmode_mh5_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/official_eval/ex229_odd_wordmode_mh5_abc_g_aig/ex229_odd_wordmode_mh5_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/best_improvements.csv,odd tanh positive-domain word-mode defaults; mant_hi=5; buckets=544; overrides=15124; pos_special_const_exp=14; pos_special_full_exp=1; pos_special_items=1038; python model exact; official_status=OK
fp16-extra-r2,fp16,ex234,ex234_boundary_wordmode_mh5_abc_g_aig,ex234|fp16_reciprocal_square_boundary_split|core_formula_boundary_wordmode_mh5|shared core exponent formula plus boundary mantissa-high word-mode defaults|yosys_abc_g_aig|abc_xf_official_evaluate|core_formula_boundary_wordmode_mh5,1351,17,22967,1278,14,17892,5075,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/verilog/ex234_boundary_wordmode_mh5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/aigs/ex234_boundary_wordmode_mh5_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/official_eval/ex234_boundary_wordmode_mh5_abc_g_aig/ex234_boundary_wordmode_mh5_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/best_improvements.csv,reciprocal-square core formula plus boundary exp7/22 word-mode buckets; boundary_mant_hi=5; boundary_low=8; special_items=1039; core_mant_b9_runs=5; core_mant_b8_runs=9; core_mant_low_width=8; core_mant_nested_hi=5; core_mant_items=1024; truth-derived source exact by construction; official_status=OK
fp16-extra-r2,fp16,ex234,ex234_boundary_wordmode_mh4_abc_g_aig,ex234|fp16_reciprocal_square_boundary_split|core_formula_boundary_wordmode_mh4|shared core exponent formula plus coarser boundary word-mode defaults|yosys_abc_g_aig|abc_xf_official_evaluate|core_formula_boundary_wordmode_mh4,1351,17,22967,1289,16,20624,2343,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/verilog/ex234_boundary_wordmode_mh4.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/aigs/ex234_boundary_wordmode_mh4_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/official_eval/ex234_boundary_wordmode_mh4_abc_g_aig/ex234_boundary_wordmode_mh4_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/best_improvements.csv,reciprocal-square core formula plus boundary exp7/22 word-mode buckets; boundary_mant_hi=4; boundary_low=8; special_items=1039; core_mant_b9_runs=5; core_mant_b8_runs=9; core_mant_low_width=8; core_mant_nested_hi=5; core_mant_items=1024; truth-derived source exact by construction; official_status=OK
