domain,case,attempts,official_ok,non_ok,campaign_best_candidate,campaign_best_area,campaign_best_delay,campaign_best_adp,baseline_frontend_adp,delta_vs_baseline,improved_vs_baseline,reference_adp,verilog_path,aig_path,log_path,agent_id,method_signature
fp16,ex223,4,4,0,ex223_log_nested_low14_hi4_abc_g_aig,10621,20,212420,203395,-9025,0,120549,student/work/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/fp16_log_boundary/ex223/verilog/ex223_log_nested_low14_hi4.v,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/official_eval/ex223/ex223_log_nested_low14_hi4_abc_g_aig/ex223.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/official_eval_logs/ex223/ex223_log_nested_low14_hi4_abc_g_aig.evaluate.py.log,arith-unary-r2,ex223|fp16_log|log_nested_low14_hi4|abc_g_aig
fp16,ex224,2,2,0,ex224_posnormal_wordmode_mh5_abc_g_aig,5788,17,98396,93072,-5324,0,64708,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex224/verilog/ex224_posnormal_wordmode_mh5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex224/aigs/ex224_posnormal_wordmode_mh5_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex224/official_eval/ex224_posnormal_wordmode_mh5_abc_g_aig/ex224_posnormal_wordmode_mh5_abc_g_aig.evaluate.py.log,fp16-extra-r2,ex224|fp16_log2_non_nested_residual|positive_normal_wordmode_mh5|shared special sign-exp decode plus per mant_hi word-mode defaults|yosys_abc_g_aig|abc_xf_official_evaluate|non_nested_wordmode_mant_hi5
fp16,ex225,4,4,0,ex225_log_nested_low13_hi4_abc_g_aig,11243,20,224860,218595,-6265,0,116676,student/work/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/fp16_log_boundary/ex225/verilog/ex225_log_nested_low13_hi4.v,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/official_eval/ex225/ex225_log_nested_low13_hi4_abc_g_aig/ex225.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/official_eval_logs/ex225/ex225_log_nested_low13_hi4_abc_g_aig.evaluate.py.log,arith-unary-r2,ex225|fp16_log10|log_nested_low13_hi4|abc_g_aig
fp16,ex229,3,3,0,ex229_odd_nested_low9_hi6_abc_g_aig,3957,16,63312,83748,20436,1,57968,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/verilog/ex229_odd_nested_low9_hi6.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/aigs/ex229_odd_nested_low9_hi6_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/official_eval/ex229_odd_nested_low9_hi6_abc_g_aig/ex229_odd_nested_low9_hi6_abc_g_aig.evaluate.py.log,fp16-extra-r2,"ex229|fp16_tanh_odd_transition_shell|positive_exp_nested_low9_hi6|shared positive exp decode, high output run trees, and sign xor symmetry|yosys_abc_g_aig|abc_xf_official_evaluate|odd_positive_low9_hi6"
fp16,ex234,3,3,0,ex234_boundary_wordmode_mh5_abc_g_aig,1278,14,17892,22967,5075,1,15561,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/verilog/ex234_boundary_wordmode_mh5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/aigs/ex234_boundary_wordmode_mh5_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex234/official_eval/ex234_boundary_wordmode_mh5_abc_g_aig/ex234_boundary_wordmode_mh5_abc_g_aig.evaluate.py.log,fp16-extra-r2,ex234|fp16_reciprocal_square_boundary_split|core_formula_boundary_wordmode_mh5|shared core exponent formula plus boundary mantissa-high word-mode defaults|yosys_abc_g_aig|abc_xf_official_evaluate|core_formula_boundary_wordmode_mh5
fp16,ex236,2,2,0,ex236_core_clamp_hi5_abc_g_aig,1493,16,23888,24496,608,1,17290,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex236/verilog/ex236_core_clamp_hi5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex236/aigs/ex236_core_clamp_hi5_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex236/official_eval/ex236_core_clamp_hi5_abc_g_aig/ex236_core_clamp_hi5_abc_g_aig.evaluate.py.log,fp16-extra-r2,ex236|fp16_cube_core_clamp_partition|core_clamp_hi5|shared cube exponent delta/clamp predicates with low mantissa hi5 LUT|yosys_abc_g_aig|abc_xf_official_evaluate|core_clamp_nested_hi5
float_fp8,ex240,5,5,0,ex240_r3_shift_align_source_compress,611,44,26884,26230,-654,0,13299,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-output-plane-r3/ex240/verilog/ex240_r3_shift_align_source_compress.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-output-plane-r3/ex240/aigs/ex240_r3_shift_align_source_compress.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-output-plane-r3/ex240/logs/ex240_r3_shift_align_source_compress.evaluate.py.log,fp8-output-plane-r3,ex240|E4M3FN packed add|current-best source compression with variable align shifter|shared field decode same-sign GRS and compact diff normalizer|yosys_abc_g_aig_frontend|official_evaluate|output_plane_preserved
float_fp8,ex241,5,5,0,ex241_r3_product_output_plane_bits_abc_g_aig,587,35,20545,15544,-5001,0,7224,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-source-compress-r3/ex241/verilog/ex241_r3_product_output_plane_bits_abc_g_aig.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-source-compress-r3/ex241/aigs/ex241_r3_product_output_plane_bits_abc_g_aig.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-source-compress-r3/ex241/logs/ex241_r3_product_output_plane_bits_abc_g_aig.evaluate.py.log,fp8-source-compress-r3,ex241|E4M3FN packed multiply high byte times low byte|seven output-plane product range predicates over exp_sum/product|shared sign xor effective exponent sum and product; independent magnitude bit planes|abc_g_aig|official_evaluate|output_bit_planes
float_fp8,ex244,5,5,0,ex244_r2_current_tail_conemix_abc_g_aig_frontend,311,36,11196,10234,-962,0,4272,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/verilog/ex244_r2_current_tail_conemix_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/aigs/ex244_r2_current_tail_conemix_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/logs/ex244_r2_current_tail_conemix_abc_g_aig_frontend.evaluate.py.log,fp8-tail-transfer-r2,ex244|E4M3FN packed hypot abs high low|current max-eff BDD high bits with direct-tail low bits|two exact hypot shells are flattened for output-specific residual sharing|abc_g_aig_frontend|official_evaluate|current_high_tail_low
float_fp8,ex245,5,5,0,ex245_r3_same_diff_decision_graph,724,34,24616,23834,-782,0,11050,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-output-plane-r3/ex245/verilog/ex245_r3_same_diff_decision_graph.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-output-plane-r3/ex245/aigs/ex245_r3_same_diff_decision_graph.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-output-plane-r3/ex245/logs/ex245_r3_same_diff_decision_graph.evaluate.py.log,fp8-output-plane-r3,ex245|E5M2FN packed add|same-diff active-region decision graph|shared sorted field decode with selected same/diff residual only|yosys_abc_g_aig_frontend|official_evaluate|same_diff_decision_split
float_fp8,ex246,5,5,0,ex246_r3_seed12_output_plane_bits_abc_g_aig,465,24,11160,7502,-3658,0,2805,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-source-compress-r3/ex246/verilog/ex246_r3_seed12_output_plane_bits_abc_g_aig.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-source-compress-r3/ex246/aigs/ex246_r3_seed12_output_plane_bits_abc_g_aig.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-source-compress-r3/ex246/logs/ex246_r3_seed12_output_plane_bits_abc_g_aig.evaluate.py.log,fp8-source-compress-r3,ex246|E5M2FN packed multiply high byte times low byte|seed12 product completion expressed as output-plane predicates|shared sign xor exponent sum product; independent magnitude output predicates|abc_g_aig|official_evaluate|output_bit_planes
float_fp8,ex247,6,6,0,ex247_r2_lowpred_truth_case_abc_g_aig_frontend,249,26,6474,6474,0,0,2975,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/verilog/ex247_r2_lowpred_truth_case_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/aigs/ex247_r2_lowpred_truth_case_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/logs/ex247_r2_lowpred_truth_case_abc_g_aig_frontend.evaluate.py.log,fp8-tail-transfer-r2,ex247|E5M2FN packed low-over-high division|tail-direct table with 16-row low residual truth case|low_step/pat table only covers the low-underflow residual|abc_g_aig_frontend|official_evaluate|lowpred_truth_case
float_fp8,ex248,8,8,0,ex248_r3_shell_output_planes,290,27,7830,7857,27,1,4180,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-output-plane-r3/ex248/verilog/ex248_r3_shell_output_planes.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-output-plane-r3/ex248/aigs/ex248_r3_shell_output_planes.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-output-plane-r3/ex248/logs/ex248_r3_shell_output_planes.evaluate.py.log,fp8-output-plane-r3,ex248|E5M2FN packed fmod low mod high|special-range shell output-plane split around current rem core|shared nan zero less-than equality predicates before residual core|yosys_abc_g_aig_frontend|official_evaluate|shell_output_planes
float_fp8,ex249,4,4,0,ex249_r2_current_tail_conemix_abc_g_aig_frontend,169,28,4732,4368,-364,0,2079,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex249/verilog/ex249_r2_current_tail_conemix_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex249/aigs/ex249_r2_current_tail_conemix_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex249/logs/ex249_r2_current_tail_conemix_abc_g_aig_frontend.evaluate.py.log,fp8-tail-transfer-r2,ex249|E5M2FN packed hypot abs high low|current rawexp high bits with direct-tail low bits|two exact hypot shells are flattened for output-specific delta sharing|abc_g_aig_frontend|official_evaluate|current_high_tail_low
integer,ex256,12,12,0,ex256_umul_split_half_abc_g_aig,152,21,3192,2844,-348,0,1911,student/work/ex204_ex299_frontend_continuation_20260614_1216/integer-extra-r2/ex256/verilog/ex256_umul_split_half.v,student/runs/integer/ex204_ex299_frontend_continuation_20260614_1216/integer-extra-r2/ex256/official_eval/ex256_umul_split_half_abc_g_aig/ex256.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/integer-extra-r2/ex256/logs/ex256_umul_split_half_abc_g_aig.evaluate.py.log,integer-extra-r2,ex256|unsigned_multiplier_shared_compressor|split_half|shared_partial_products_with_alternate_final_carry/compressor_structure|abc_g_aig|unsigned_low5_high5_multiply|full_product_word
