case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex265,ex265_udiv_bdd_greedy_interleave_msb_synth_preset_d18,unsigned low4_high4:a/b dbz=max,bdd_greedy_interleave_msb+synth_preset_d18,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/verilog/ex265_udiv_bdd_greedy_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex265/aigs/ex265_udiv_bdd_greedy_interleave_msb_synth_preset_d18.aig,59,9,531,322,1.649068,0,0,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=synth_preset_d18
ex266,ex266_udiv_bdd_interleave_msb_synth_preset_d18,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+synth_preset_d18,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex266/aigs/ex266_udiv_bdd_interleave_msb_synth_preset_d18.aig,152,12,1824,848,2.150943,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d18
ex267,ex267_udiv_bdd_interleave_msb_synth_preset_d18,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+synth_preset_d18,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex267/aigs/ex267_udiv_bdd_interleave_msb_synth_preset_d18.aig,333,16,5328,2651,2.009808,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d18
ex268,ex268_udiv_small_divisor_fast_direct_synth_preset_d18,unsigned low7_high7:a/b dbz=max,small_divisor_fast_direct+synth_preset_d18,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex268/verilog/ex268_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex268/aigs/ex268_udiv_small_divisor_fast_direct_synth_preset_d18.aig,195,58,11310,7446,1.518936,0,0,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=small_divisor_fast_direct; flow=synth_preset_d18
ex269,ex269_udiv_direct_safe_synth_preset_d18,unsigned low8_high8:a/b dbz=max,direct_safe+synth_preset_d18,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex269/verilog/ex269_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_top_synthflow_20260609_0855/ex269/aigs/ex269_udiv_direct_safe_synth_preset_d18.aig,261,79,20619,11760,1.753316,0,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=direct_safe; flow=synth_preset_d18
