case,candidate_id,status,area,delay,adp,expected_adp,aig_path,notes
ex280,ex280_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,OK,115,26,2990,2990,student/new_seeds/unknown/ex280_ex299_current/ex280/aigs/ex280_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex281,ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,OK,128,26,3328,3328,student/new_seeds/unknown/ex280_ex299_current/ex281/aigs/ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex282,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,OK,144,28,4032,4032,student/new_seeds/unknown/ex280_ex299_current/ex282/aigs/ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex283,ex283_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,OK,150,30,4500,4500,student/new_seeds/unknown/ex280_ex299_current/ex283/aigs/ex283_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex284,ex284_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,OK,160,34,5440,5440,student/new_seeds/unknown/ex280_ex299_current/ex284/aigs/ex284_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex285,ex285_r9_boundary_mask_all_boundary,OK,772,16,12352,12352,student/new_seeds/unknown/ex280_ex299_current/ex285/aigs/ex285_r9_boundary_mask_all_boundary.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex286,ex286_linhyb_sweep_raw_3_5_6_8_f00_global_abc_g_aig,OK,1338,15,20070,20070,student/new_seeds/unknown/ex280_ex299_current/ex286/aigs/ex286_linhyb_sweep_raw_3_5_6_8_f00_global_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during ex286/ex287 refresh
ex287,ex287_orientfollow_k7_b2_b3_b11_f11_case_direct_abc_g_aig,OK,1697,14,23758,23758,student/new_seeds/unknown/ex280_ex299_current/ex287/aigs/ex287_orientfollow_k7_b2_b3_b11_f11_case_direct_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during ex286/ex287 refresh
ex288,ex288_r8_current_keybdd_synth_preset_control,OK,2173,14,30422,30422,student/new_seeds/unknown/ex280_ex299_current/ex288/aigs/ex288_r8_current_keybdd_synth_preset_control.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex289,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig,OK,1047,19,19893,19893,student/new_seeds/unknown/ex280_ex299_current/ex289/aigs/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex290,ex290_r8_rotate_parallel_case_attrs,OK,4376,14,61264,61264,student/new_seeds/unknown/ex280_ex299_current/ex290/aigs/ex290_r8_rotate_parallel_case_attrs.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex291,ex291_r8_rotate_parallel_case_attrs,OK,6447,14,90258,90258,student/new_seeds/unknown/ex280_ex299_current/ex291/aigs/ex291_r8_rotate_parallel_case_attrs.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex292,ex292_r8_mod7_4_drop_mod7_13,OK,6743,20,134860,134860,student/new_seeds/unknown/ex280_ex299_current/ex292/aigs/ex292_r8_mod7_4_drop_mod7_13.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex293,ex293_rotate_low_split_default_synth_preset,OK,8054,18,144972,144972,student/new_seeds/unknown/ex280_ex299_current/ex293/aigs/ex293_rotate_low_split_default_synth_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex294,ex294_r8_current_synth_preset,OK,10497,21,220437,220437,student/new_seeds/unknown/ex280_ex299_current/ex294/aigs/ex294_r8_current_synth_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex295,ex295_r67_bit_plane_cube_defaults_abc_g_aig,OK,7311,13,95043,95043,student/new_seeds/unknown/ex280_ex299_current/ex295/aigs/ex295_r67_bit_plane_cube_defaults_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex296,ex296_high_split_default_abc_g_aig,OK,8987,16,143792,143792,student/new_seeds/unknown/ex280_ex299_current/ex296/aigs/ex296_high_split_default_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex297,ex297_r9_casez_full_parallel_synth_preset,OK,26188,16,419008,419008,student/new_seeds/unknown/ex280_ex299_current/ex297/aigs/ex297_r9_casez_full_parallel_synth_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex298,ex298_r7_rotate_split_parallel_case_attrs,OK,33802,18,608436,608436,student/new_seeds/unknown/ex280_ex299_current/ex298/aigs/ex298_r7_rotate_split_parallel_case_attrs.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex299,ex299_r9_pairsel_center_quad_synth_preset,OK,96502,18,1737036,1737036,student/new_seeds/unknown/ex280_ex299_current/ex299/aigs/ex299_r9_pairsel_center_quad_synth_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
