case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids,candidate_count_target,candidate_count_actual,candidate_insufficient,candidate_shortfall_reason
ex280,1,ex280_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,115,26,2990,2415,1.238095,ex280_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,1,1,0,
ex281,1,ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,128,26,3328,2336,1.424658,ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,1,1,0,
ex282,1,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,144,28,4032,2704,1.491124,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,1,1,0,
ex283,1,ex283_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,150,30,4500,3168,1.420455,ex283_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,1,1,0,
ex284,1,ex284_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,160,34,5440,4240,1.283019,ex284_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,1,1,0,
ex285,1,ex285_r9_boundary_mask_all_boundary,772,16,12352,5499,2.246227,ex285_r9_boundary_mask_all_boundary,1,1,0,
ex286,1,ex286_linhyb_sweep_raw_3_5_6_8_f00_global_abc_g_aig,1338,15,20070,2376,8.446970,ex286_linhyb_sweep_raw_3_5_6_8_f00_global_abc_g_aig,1,1,0,
ex287,1,ex287_orientfollow_k7_b2_b3_b11_f11_case_direct_abc_g_aig,1697,14,23758,5782,4.108959,ex287_orientfollow_k7_b2_b3_b11_f11_case_direct_abc_g_aig,1,1,0,
ex288,1,ex288_r8_current_keybdd_synth_preset_control,2173,14,30422,16394,1.855679,ex288_r8_current_keybdd_synth_preset_control,1,1,0,
ex289,1,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig,1047,19,19893,13620,1.460573,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig,1,1,0,
ex290,1,ex290_r8_rotate_parallel_case_attrs,4376,14,61264,42328,1.447363,ex290_r8_rotate_parallel_case_attrs,1,1,0,
ex291,1,ex291_r8_rotate_parallel_case_attrs,6447,14,90258,66850,1.350157,ex291_r8_rotate_parallel_case_attrs,1,1,0,
ex292,1,ex292_r8_mod7_4_drop_mod7_13,6743,20,134860,84854,1.589318,ex292_r8_mod7_4_drop_mod7_13,1,1,0,
ex293,1,ex293_rotate_low_split_default_synth_preset,8054,18,144972,112966,1.283324,ex293_rotate_low_split_default_synth_preset,1,1,0,
ex294,1,ex294_r8_current_synth_preset,10497,21,220437,133365,1.652885,ex294_r8_current_synth_preset,1,1,0,
ex295,1,ex295_r67_bit_plane_cube_defaults_abc_g_aig,7311,13,95043,68064,1.396377,ex295_r67_bit_plane_cube_defaults_abc_g_aig,1,1,0,
ex296,1,ex296_high_split_default_abc_g_aig,8987,16,143792,104025,1.382283,ex296_high_split_default_abc_g_aig,1,1,0,
ex297,1,ex297_r9_casez_full_parallel_synth_preset,26188,16,419008,225900,1.854838,ex297_r9_casez_full_parallel_synth_preset,1,1,0,
ex298,1,ex298_r7_rotate_split_parallel_case_attrs,33802,18,608436,442296,1.375631,ex298_r7_rotate_split_parallel_case_attrs,1,1,0,
ex299,1,ex299_r9_pairsel_center_quad_synth_preset,96502,18,1737036,1013807,1.713379,ex299_r9_pairsel_center_quad_synth_preset,1,1,0,
